,Date_Time,Score
0,2020-04-24,0.5149
1,2020-02-05,0.1531
2,2019-12-05,0.8359
3,2019-10-23,0.9984
4,2019-10-22,0.9863
5,2019-07-23,0.9445
6,2019-04-24,0.9619
7,2020-04-24,0.984
8,2020-04-24,-0.8968
9,2020-04-03,0.7783
10,2018-07-25,-0.4537
11,2020-04-24,-0.5849
12,2018-07-06,0.9918
13,2020-04-24,0.296
14,2018-02-28,0.9937
15,2018-01-25,-0.0516
16,2018-01-04,0.8176
17,2020-04-24,0.9274
18,2020-04-24,0.889
19,2017-02-15,-0.9871
20,2016-12-09,0.9829
21,2016-11-29,-0.9911
22,2016-08-31,0.8767
23,2016-08-01,0.5131
24,2020-04-24,0.797
25,2020-04-24,-0.6794
26,2015-10-06,0.9863
27,2015-09-22,0.9932
28,2020-04-24,0.9744
29,2020-04-24,0.9404
30,2020-04-24,0.9709
31,2015-03-20,0.9948
32,2015-03-20,0.9815
33,2015-03-17,0.9877
34,2020-04-24,0.9961
35,2020-04-17,-0.9874
36,2020-04-24,0.9596
37,2020-04-24,0.9301
38,2015-01-12,0.9823
39,2020-04-24,-0.0516
40,2020-04-24,0.9913
41,2014-10-22,0.9022
42,2014-07-31,0.9748
43,2020-04-24,0.9246
44,2020-04-24,0.9782
45,2014-03-27,0.9852
46,2020-04-24,0.9953
47,2020-04-24,0.9531
48,2013-04-03,0.8591
49,2020-04-24,0.6845
50,2013-03-04,0.9676
51,2013-02-25,0.9149
52,2020-04-24,0.9938
53,2013-02-06,0.9559
54,2013-02-06,0.9254
55,2012-07-15,0.0954
56,2012-05-06,0.8352
57,2012-01-30,0.9766
58,2020-04-24,0.9918
59,2020-04-24,0.8337
60,2011-04-11,0.991
61,2011-03-11,0.9065
62,2010-10-27,0.6705
63,2010-07-26,0.9938
64,2010-07-16,0.8814
65,2010-07-02,0.9836
66,2010-06-10,0.9937
67,2010-03-08,0.6566
68,2020-04-24,-0.6225
69,2020-04-24,0.9398
70,2009-10-23,0.6858
71,2009-09-30,-0.4255
72,2009-09-15,0.8771
73,2009-09-04,0.431
74,2020-04-24,0.9382
75,2009-07-16,0.9966
76,2009-07-01,-0.2742
77,2009-06-29,0.99
78,2020-04-24,0.9934
79,2009-04-17,0.998
80,2009-04-09,0.2144
81,2020-04-24,0.9515
82,2009-02-01,0.9769
83,2009-01-27,0.9701
84,2009-01-26,0.9638
85,2020-04-03,0.7783
86,2009-01-14,0.7533
87,2009-01-13,0.966
88,2008-08-01,-0.5472
89,2008-08-01,0.8057
90,2008-07-31,-0.3239
91,2008-07-31,0.4019
92,2008-07-08,0.7199
93,2008-04-24,0.9963
94,2008-01-28,-0.9941
95,2008-01-11,-0.9953
96,2008-01-07,-0.8418
97,2007-12-14,-0.9701
98,2007-12-13,0.4879
99,2007-12-13,0.9261
100,2020-04-24,0.9451
101,2007-11-19,-0.1531
102,2007-10-16,0.9758
103,2007-10-16,0.9136
104,2007-10-15,0.9054
105,2020-04-24,0.9662
106,2007-10-12,0.9761
107,2020-04-03,0.7783
108,2007-09-13,0.9866
109,2007-09-04,0.7776
110,2007-06-01,0.9975
111,2007-05-30,0.9957
112,2007-04-23,0.997
113,2006-04-07,0.9877
114,2020-04-24,0.9287
115,2006-03-08,0.9719
116,2020-04-24,0.7463
117,2020-04-24,0.9892
118,2005-06-02,0.975
119,2020-04-24,0.6808
120,2005-04-22,0.8655
121,2005-03-04,0.9874
122,2005-02-28,0.9861
123,2005-02-28,0.9996
124,2005-02-28,0.8003
125,2020-04-16,0.9909
