,Date_Time,Score
0,2020-04-24,0.743
1,2020-04-24,0.975
2,2019-11-14,0.6805
3,2019-11-12,0.9381
4,2020-04-24,0.9836
5,2019-07-05,0.9562
6,2019-06-27,-0.9659
7,2020-04-24,0.9837
8,2019-03-19,0.7966
9,2020-04-17,0.9913
10,2019-02-27,-0.9599
11,2020-04-24,-0.9547
12,2018-12-03,0.908
13,2018-11-07,-0.9853
14,2018-10-12,0.9524
15,2018-09-12,0.7351
16,2018-08-21,0.8402
17,2018-07-26,0.9812
18,2020-04-24,0.9865
19,2018-05-30,0.959
20,2018-05-18,0.9935
21,2018-05-15,0.9794
22,2018-05-10,0.9898
23,2018-05-08,-0.9615
24,2018-05-06,0.9169
25,2020-04-24,0.7351
26,2018-04-02,0.9727
27,2020-04-24,0.9293
28,2018-03-29,0.9836
29,2018-03-29,0.9744
30,2020-04-24,0.9939
31,2018-03-28,0.9862
32,2018-03-28,0.9944
33,2020-04-16,0.9882
34,2018-03-22,0.9457
35,2020-04-24,0.9493
36,2018-03-16,0.979
37,2018-03-16,0.9886
38,2018-03-16,0.9545
39,2018-03-15,0.9825
40,2020-04-24,0.8868
41,2020-04-24,0.0772
42,2018-01-31,0.9251
43,2018-01-17,-0.8957
44,2018-01-16,-0.9535
45,2017-12-24,-0.4779
46,2020-04-24,-0.8862
47,2017-12-18,0.7506
48,2017-12-15,0.9539
49,2017-12-12,0.4336
50,2017-12-11,0.9542
51,2017-12-08,0.4045
52,2017-12-07,0.9515
53,2017-12-07,0.6478
54,2017-12-07,0.9571
55,2017-12-06,0.9796
56,2017-12-06,0.1501
57,2020-04-24,0.891
58,2017-12-04,0.8873
59,2020-04-17,-0.9874
60,2017-12-01,0.5181
61,2017-12-01,-0.8271
62,2017-12-01,-0.0772
63,2017-11-29,0.9201
64,2017-11-29,-0.6445
65,2020-04-24,0.2835
66,2017-11-14,0.8591
67,2020-04-24,0.9899
68,2017-10-31,0.9826
69,2017-10-31,0.9769
70,2017-10-10,0.9851
71,2020-04-24,0.9708
72,2017-10-06,0.9493
73,2017-10-03,0.8316
74,2020-04-24,0.9915
75,2020-04-24,0.9118
76,2017-09-18,0.9588
77,2017-09-15,0.9851
78,2017-06-21,-0.75
79,2017-06-05,0.9349
80,2017-04-27,0.6705
81,2017-04-21,0.9717
82,2017-04-12,-0.719
83,2020-04-24,0.8271
84,2020-04-03,0.7783
85,2017-02-02,0.9556
86,2017-01-23,0.4927
87,2016-12-16,0.9428
88,2016-11-17,0.9441
89,2016-11-11,0.8313
90,2020-04-24,0.101
91,2020-04-24,0.9657
92,2016-11-07,0.872
93,2020-04-24,0.9584
94,2016-08-15,0.9875
95,2016-08-08,0.9683
96,2016-07-13,-0.9804
97,2016-07-13,0.9429
98,2020-04-24,0.3954
99,2016-06-24,0.9169
100,2016-06-24,0.4404
101,2016-06-23,0.9524
102,2016-06-07,0.9794
103,2016-05-18,0.9719
104,2016-05-10,0.9287
105,2016-04-28,0.807
106,2016-04-28,0.91
107,2016-04-22,0.9891
108,2016-04-19,0.9943
109,2020-04-09,0.9956
110,2016-04-13,0.8608
111,2016-04-08,0.9455
112,2016-04-07,-0.5813
113,2016-04-07,-0.4215
114,2016-04-05,-0.9117
115,2016-04-01,0.9451
116,2016-03-29,0.9907
117,2016-03-21,-0.9543
118,2016-03-16,0.9071
119,2020-04-24,0.9747
120,2020-04-24,0.1796
121,2020-04-24,0.8957
122,2016-03-09,0.93
123,2016-03-04,0.9601
124,2016-03-04,0.7717
125,2016-03-01,0.9942
126,2016-03-01,0.9245
127,2016-03-01,0.9956
128,2016-03-01,0.8954
129,2016-02-26,0.8662
130,2016-02-10,0.8438
131,2016-01-29,-0.0754
132,2016-01-25,0.9788
133,2020-04-24,-0.9069
134,2016-01-06,0.9399
135,2015-12-16,0.6476
136,2020-04-24,-0.0516
137,2015-12-04,0.2732
138,2015-11-24,0.9123
139,2015-11-18,0.9953
140,2020-04-24,0.9879
141,2015-11-16,0.9902
142,2015-11-05,-0.9476
143,2015-11-04,-0.9922
144,2020-04-24,-0.9393
145,2015-10-28,0.8235
146,2015-10-26,-0.995
147,2015-10-15,-0.9926
148,2015-09-30,0.9977
149,2015-09-14,-0.988
150,2020-04-24,-0.9697
151,2015-08-18,0.9454
152,2020-04-24,0.0772
153,2015-07-26,0.9844
154,2015-07-14,0.9168
155,2020-04-24,0.128
156,2015-07-06,-0.9542
157,2015-06-25,-0.6929
158,2015-06-24,0.7391
159,2015-06-23,-0.9042
160,2015-06-15,0.6428
161,2015-06-09,0.9869
162,2015-05-06,0.7845
163,2015-05-06,-0.979
164,2015-05-03,0.9907
165,2020-04-24,-0.8933
166,2020-04-24,-0.9655
167,2015-04-29,0.9893
168,2015-04-28,-0.9841
169,2020-04-24,-0.9867
170,2015-04-13,0.9944
171,2015-03-25,-0.1251
172,2015-03-23,0.9723
173,2015-03-20,0.9319
174,2015-03-16,-0.9142
175,2015-03-13,-0.9758
176,2020-04-24,0.9867
177,2015-03-11,0.9357
178,2020-04-24,0.9922
179,2020-04-24,0.9957
180,2020-04-24,0.9688
181,2015-02-10,-0.7003
182,2015-02-05,-0.4767
183,2015-01-27,0.9818
184,2015-01-21,0.9121
185,2020-04-09,0.9882
186,2015-01-15,0.8271
187,2020-04-24,0.9504
188,2020-04-24,-0.5423
189,2015-01-12,-0.9565
190,2020-04-24,0.9932
191,2015-01-08,0.9814
192,2020-04-24,0.9941
193,2020-04-24,0.9932
194,2014-12-30,-0.9434
195,2014-12-11,0.9839
196,2014-12-09,0.9957
197,2014-12-04,0.9913
198,2020-04-24,0.9847
199,2014-11-20,0.9253
200,2014-11-16,0.9962
201,2014-11-12,0.9918
202,2014-11-06,0.8979
203,2014-11-04,0.9622
204,2014-11-04,0.9824
205,2014-11-04,0.9978
206,2014-11-04,0.966
207,2020-04-24,0.9938
208,2014-10-28,0.9855
209,2014-10-27,0.993
210,2014-10-27,-0.6321
211,2020-04-16,-0.9641
212,2014-10-22,0.9913
213,2014-10-16,0.5815
214,2014-10-15,-0.8641
215,2020-04-24,0.9872
216,2014-10-14,0.9202
217,2014-10-10,0.9971
218,2020-04-24,-0.9852
219,2014-10-07,0.9941
220,2014-10-03,-0.9178
221,2014-10-02,-0.9836
222,2014-09-26,0.9671
223,2014-09-26,0.9186
224,2014-09-15,0.9899
225,2020-04-24,0.9928
226,2014-09-11,0.9809
227,2014-09-09,0.9325
228,2014-09-07,0.9867
229,2014-08-25,0.9535
230,2014-08-18,0.9908
231,2014-08-12,0.1184
232,2020-04-24,0.8986
233,2020-04-24,0.6746
234,2014-07-31,0.9738
235,2020-04-24,0.9866
236,2020-04-16,0.9887
237,2014-07-16,0.9892
238,2014-07-11,0.9779
239,2014-07-09,0.7391
240,2020-04-24,0.7845
241,2014-06-16,0.9578
242,2020-04-24,-0.6027
