,Date_Time,Score
0,2020-04-23,0.9776
1,2020-02-25,0.9719
2,2019-12-06,0.9982
3,2019-09-05,0.3721
4,2019-09-05,0.9575
5,2019-08-25,0.9596
6,2019-07-25,0.9365
7,2019-07-25,-0.9869
8,2019-06-11,0.989
9,2020-04-09,0.9882
10,2019-06-10,0.991
11,2019-03-20,0.4543
12,2019-03-04,0.9712
13,2018-09-28,0.9934
14,2018-09-21,-0.8576
15,2018-09-17,-0.9257
16,2018-08-29,0.8651
17,2020-04-23,0.9936
18,2020-04-23,0.796
19,2018-03-20,0.9194
20,2018-02-23,0.9845
21,2018-01-22,0.9965
22,2018-01-21,0.9883
23,2017-11-22,0.9719
24,2017-11-21,0.9601
25,2017-11-06,0.9768
26,2017-11-06,0.9578
27,2017-10-26,0.9935
28,2017-08-22,0.9675
29,2017-05-25,0.9882
30,2020-04-23,-0.5499
31,2017-03-16,0.9929
32,2020-04-23,0.9624
33,2017-01-20,0.9946
34,2016-11-17,0.8689
35,2016-10-24,0.9627
36,2016-10-14,0.9559
37,2016-10-04,0.8446
38,2020-04-23,0.926
39,2016-09-23,0.991
40,2016-09-23,0.9937
41,2016-09-01,0.9642
42,2016-09-01,0.98
43,2016-07-19,0.977
44,2016-07-01,0.8519
45,2016-06-17,0.9661
46,2016-06-13,0.9959
47,2016-06-01,0.991
48,2020-04-23,0.9929
49,2016-04-03,0.9175
50,2016-02-25,0.9854
51,2020-04-23,0.9777
52,2020-04-23,-0.6559
53,2016-02-24,0.8625
54,2020-04-23,0.9478
55,2016-02-07,0.918
56,2016-01-31,-0.8468
57,2016-01-03,0.9991
58,2020-04-16,0.9887
59,2015-12-03,0.9781
60,2020-04-23,0.9966
61,2015-08-21,-0.6428
62,2015-07-22,0.9605
63,2020-04-23,0.9952
64,2015-06-10,0.3432
65,2015-05-21,0.9926
66,2015-05-08,0.9423
67,2015-05-07,0.9944
68,2015-03-19,0.9889
69,2020-04-23,0.9758
70,2015-02-26,0.9686
71,2015-01-22,0.9931
72,2015-01-13,-0.1801
73,2015-01-12,0.989
74,2014-12-11,0.915
75,2014-11-17,0.9916
76,2014-07-07,0.9961
77,2014-07-07,0.9948
78,2014-06-30,0.9894
79,2014-06-23,0.9264
80,2014-01-26,0.9944
81,2013-12-20,0.9577
82,2013-12-10,0.9824
83,2013-09-29,0.9925
84,2013-06-23,0.5407
85,2013-06-14,0.9977
86,2020-04-23,0.9949
87,2013-06-05,0.9501
88,2013-06-05,0.9306
89,2013-06-04,0.9234
90,2013-01-23,0.9909
91,2020-04-23,-0.9744
92,2012-06-27,0.9366
93,2012-06-05,0.9984
94,2012-06-04,0.9676
95,2012-05-22,0.9339
96,2012-04-02,-0.7391
97,2012-03-05,0.9506
98,2012-02-29,0.9851
99,2012-02-24,0.993
100,2012-02-23,0.9969
101,2012-02-22,0.9908
102,2012-02-09,0.9972
103,2012-02-09,0.9847
104,2012-01-24,0.9889
105,2012-01-19,0.9912
106,2012-01-16,0.9962
107,2012-01-04,0.982
108,2011-12-23,0.9951
109,2020-04-17,-0.9874
110,2011-12-21,0.9859
111,2011-12-21,0.9683
112,2020-04-23,0.9525
113,2011-12-12,0.9839
114,2011-12-08,0.9967
115,2011-12-05,0.9827
116,2011-12-03,0.9735
117,2011-11-18,0.0671
118,2020-04-23,0.955
119,2011-11-14,0.992
120,2020-04-23,0.9917
121,2011-10-24,0.9414
122,2020-04-23,0.9817
123,2011-05-31,0.0
124,2011-05-16,0.7227
125,2011-03-16,0.9662
126,2011-03-08,0.8082
127,2011-01-26,0.9945
128,2011-01-19,0.9618
129,2010-11-19,0.9965
130,2020-04-23,0.9929
131,2010-10-27,0.9929
132,2010-10-18,0.9955
133,2010-05-24,0.9313
134,2010-05-19,0.3071
135,2020-04-16,0.9887
136,2020-04-23,0.738
137,2010-03-02,0.9499
138,2020-04-23,0.9869
139,2009-09-22,0.9798
140,2009-09-15,-0.9044
141,2009-09-10,0.9844
142,2009-08-21,0.9976
143,2009-06-09,-0.719
144,2009-04-06,0.9801
145,2009-03-25,0.9985
146,2009-02-07,0.0
147,2008-11-04,0.9729
148,2008-10-21,0.9987
149,2008-10-07,0.9939
150,2008-10-07,0.9909
151,2008-09-16,0.9712
152,2008-09-15,0.9765
153,2008-09-10,0.9839
154,2008-08-27,0.9957
155,2008-08-13,0.9944
156,2008-07-08,0.9648
157,2008-06-08,0.9536
158,2008-05-29,0.9966
159,2008-05-29,0.984
160,2008-05-14,0.9923
161,2008-03-18,0.9854
162,2008-02-28,-0.9821
163,2008-02-27,0.9921
164,2008-01-29,0.9991
165,2008-01-29,0.9925
166,2008-01-29,0.994
167,2007-10-02,0.9993
168,2007-10-02,0.9955
169,2007-07-03,-0.5927
170,2007-07-02,0.7783
171,2007-06-05,0.8726
172,2007-05-09,0.9887
173,2007-01-24,-0.4939
174,2020-04-23,0.9571
175,2006-11-07,0.9701
176,2006-09-19,0.9081
177,2006-08-27,0.8865
178,2006-08-17,0.1145
179,2006-07-11,0.9176
180,2006-06-15,0.9844
181,2006-04-19,0.9702
182,2006-03-05,0.9122
183,2006-02-02,-0.743
184,2005-10-04,0.9921
185,2005-10-04,0.9932
186,2020-04-17,0.9913
187,2005-04-13,0.1761
188,2005-03-09,0.9973
