,Date_Time,Score
0,2019-11-06,0.9726
1,2019-06-11,0.9887
2,2019-04-09,0.8873
3,2019-02-20,0.926
4,2019-01-29,0.9981
5,2019-01-15,0.7539
6,2018-11-06,0.9891
7,2020-04-24,0.9964
8,2018-09-17,0.9817
9,2018-08-08,0.9911
10,2018-07-12,0.9191
11,2018-06-29,0.9839
12,2018-06-29,0.9733
13,2018-05-28,0.9782
14,2020-04-24,-0.4194
15,2020-04-24,0.936
16,2018-03-22,-0.8235
17,2018-03-08,0.9722
18,2018-03-07,0.9187
19,2018-03-06,0.6705
20,2020-04-24,-0.1531
21,2020-04-24,0.5859
22,2018-01-30,0.9176
23,2020-04-24,0.984
24,2017-12-04,0.9947
25,2017-12-04,0.8699
26,2020-04-24,0.91
27,2017-11-30,0.9477
28,2020-04-24,0.9787
29,2017-11-15,0.9971
30,2020-04-24,0.9871
31,2017-10-26,0.9632
32,2017-10-26,0.8578
33,2020-04-24,0.7906
34,2017-10-18,0.9919
35,2020-04-24,0.936
36,2017-10-06,0.9923
37,2017-06-26,0.9413
38,2016-11-08,0.802
39,2016-08-02,0.9865
40,2016-02-24,0.9245
41,2016-02-09,0.9607
42,2020-04-24,0.9887
43,2015-12-23,0.9979
44,2015-12-16,0.9841
45,2015-10-30,-0.9501
46,2020-04-24,-0.9217
47,2015-10-28,0.992
48,2015-08-04,0.9915
49,2020-04-24,0.1441
50,2020-04-24,0.9824
51,2020-04-24,0.9916
52,2015-05-21,0.9964
53,2020-04-24,0.9389
54,2015-01-05,0.9918
55,2014-10-27,-0.9257
56,2014-10-03,0.9893
57,2020-04-17,-0.9874
58,2020-04-24,0.9834
59,2014-09-18,-0.2263
60,2014-09-18,0.9726
61,2020-04-24,0.7444
62,2014-02-28,-0.9605
63,2014-02-11,0.9895
64,2020-04-24,0.9889
65,2014-02-07,0.9854
66,2020-04-24,0.8018
67,2020-04-24,0.7809
68,2014-02-05,0.9854
69,2014-02-05,0.0258
70,2014-02-05,0.9926
71,2013-12-02,0.8402
72,2020-04-24,0.9766
73,2013-04-17,0.9719
74,2020-04-24,-0.9676
75,2020-04-24,0.2681
76,2020-04-24,0.6664
77,2020-04-24,0.9623
78,2012-05-15,-0.9881
79,2011-12-21,0.9859
80,2011-12-20,0.8879
81,2011-11-14,0.9838
82,2011-10-17,0.3818
83,2020-04-16,-0.9641
84,2020-04-24,0.8355
85,2020-04-24,0.9882
86,2011-08-24,0.9895
87,2011-08-10,0.9648
88,2011-07-21,0.995
89,2011-05-27,0.7379
90,2011-05-05,0.8405
91,2011-05-04,0.9771
92,2011-03-22,0.1001
93,2011-02-03,0.996
94,2010-12-31,0.7283
95,2020-04-24,0.9686
96,2020-04-24,0.2263
97,2010-11-03,0.9924
98,2020-04-24,-0.9407
99,2010-09-28,0.5988
100,2020-04-24,0.9867
101,2010-07-28,0.983
102,2010-06-22,0.992
103,2010-06-17,0.955
104,2010-06-15,0.9717
105,2020-04-24,-0.946
106,2010-06-09,-0.9598
107,2020-04-24,-0.8176
108,2020-04-24,-0.8828
109,2020-04-16,0.9887
110,2010-05-19,0.962
111,2010-05-04,-0.4951
112,2010-04-06,0.996
113,2010-02-17,0.9623
114,2010-02-17,0.7935
115,2010-02-08,0.9476
116,2009-11-05,0.985
117,2020-04-24,0.1901
118,2009-09-30,-0.5106
119,2009-09-30,-0.6198
120,2009-09-29,0.9896
121,2009-04-13,0.9957
122,2009-03-05,0.8793
123,2009-02-19,-0.9635
124,2020-04-24,0.9869
125,2008-10-17,0.9239
126,2008-09-25,0.9904
127,2008-09-25,0.8126
128,2008-09-14,0.9584
129,2020-04-24,0.9769
130,2020-04-24,0.9401
131,2008-08-14,0.9283
132,2020-04-03,0.7783
133,2008-08-12,0.9555
134,2008-07-22,0.9987
135,2008-05-22,0.9587
136,2008-04-08,0.9702
137,2008-01-29,0.9628
138,2020-04-24,0.9032
139,2007-12-05,0.9358
140,2007-11-27,0.992
141,2007-11-01,-0.9844
142,2020-04-24,0.9485
143,2007-10-05,0.9733
144,2007-10-04,0.9447
145,2007-08-02,0.9984
146,2007-05-30,0.7845
147,2020-04-24,0.9514
148,2020-04-24,0.9753
149,2007-03-08,0.9903
150,2007-02-16,-0.6844
151,2020-04-24,0.975
152,2007-02-01,0.9201
153,2007-01-16,0.9042
154,2020-04-24,0.9428
155,2020-04-24,0.9734
156,2020-04-24,0.9786
157,2006-12-18,0.9786
158,2020-04-24,0.9893
159,2006-12-04,0.991
160,2006-11-03,0.8874
161,2006-11-02,0.9591
162,2006-11-02,0.9618
163,2006-11-02,0.9563
164,2006-11-01,0.9921
165,2006-10-05,0.9805
166,2006-10-05,0.9343
167,2020-04-24,-0.3776
168,2006-08-24,0.7044
169,2020-04-24,0.1531
170,2006-07-13,0.7579
171,2020-04-24,0.2744
172,2006-03-27,0.9702
173,2006-01-24,-0.8438
174,2006-01-23,0.9584
175,2020-04-24,0.988
176,2006-01-22,0.9821
177,2005-12-22,0.9887
178,2020-04-17,0.9913
179,2005-11-01,0.9983
