,Date_Time,Score
0,2020-02-21,0.9964
1,2019-07-02,0.9911
2,2019-06-20,0.9955
3,2020-04-25,0.9871
4,2017-12-05,0.802
5,2017-03-09,0.9955
6,2017-03-06,0.4019
7,2017-02-22,0.6361
8,2016-06-10,-0.936
9,2020-04-09,-0.9264
10,2016-04-28,0.6705
11,2016-04-22,-0.8592
12,2015-09-22,0.9647
13,2015-08-27,0.6908
14,2015-06-17,0.9635
15,2015-06-04,-0.9101
16,2015-03-17,0.9887
17,2015-01-30,-0.0516
18,2015-01-29,-0.1896
19,2015-01-09,0.8309
20,2020-04-25,0.9633
21,2014-10-10,-0.8483
22,2014-08-21,0.926
23,2014-05-29,0.9814
24,2014-05-22,0.9868
25,2014-03-26,0.9636
26,2014-03-05,0.9382
27,2014-02-23,0.9798
28,2020-04-25,-0.9816
29,2014-01-15,0.9919
30,2013-12-17,0.7778
31,2013-12-12,0.7269
32,2013-12-12,0.5083
33,2013-10-07,0.982
34,2013-08-15,0.9607
35,2020-04-09,0.9882
36,2013-08-06,0.9948
37,2020-04-25,0.9648
38,2013-07-16,0.9856
39,2013-07-05,0.9611
40,2013-07-03,-0.2263
41,2013-06-30,-0.1306
42,2013-06-26,0.9117
43,2013-06-21,0.9603
44,2013-06-20,0.9134
45,2013-06-19,0.9042
46,2013-06-19,0.875
47,2013-06-13,0.9501
48,2013-06-11,0.8846
49,2013-06-11,0.9985
50,2013-06-11,0.9979
51,2013-06-07,0.9973
52,2013-06-02,0.9518
53,2020-04-25,0.9723
54,2013-05-30,0.9898
55,2013-05-29,0.9855
56,2013-05-24,0.9766
57,2013-05-22,0.9515
58,2013-05-21,0.9383
59,2013-05-15,0.6124
60,2020-04-17,0.9913
61,2013-05-13,-0.5776
62,2013-05-09,0.9535
63,2013-05-05,0.9778
64,2013-04-30,0.9574
65,2013-04-23,0.9851
66,2013-04-21,0.972
67,2013-04-21,0.8923
68,2013-04-19,0.5239
69,2013-04-17,0.9962
70,2013-04-16,0.9745
71,2013-04-15,0.9912
72,2013-04-15,0.9871
73,2013-04-15,0.9977
74,2013-04-15,0.9182
75,2013-02-20,0.9636
76,2013-01-30,0.9889
77,2013-01-22,0.9788
78,2013-01-16,0.9816
79,2013-01-14,0.9659
80,2020-04-25,0.9829
81,2012-12-30,0.9877
82,2012-12-13,0.9795
83,2012-11-21,0.9709
84,2012-10-30,-0.7809
85,2020-04-03,0.7783
86,2012-09-24,0.9771
87,2012-03-07,0.8851
88,2012-03-06,0.9519
89,2012-02-06,0.9834
90,2012-01-31,0.9361
91,2012-01-18,0.9882
92,2012-01-10,0.9348
93,2012-01-08,0.3752
94,2012-01-03,0.9322
95,2011-12-20,0.9725
96,2011-12-20,-0.7162
97,2011-12-14,0.9861
98,2011-12-05,0.9975
99,2011-12-02,0.9406
100,2011-11-20,0.9957
101,2011-11-18,0.9587
102,2011-11-08,0.7363
103,2011-10-26,0.9441
104,2011-10-14,-0.5122
105,2011-10-10,0.9727
106,2011-09-24,0.9493
107,2011-09-23,0.743
108,2011-09-19,0.8883
109,2011-09-15,0.9698
110,2011-09-07,0.9961
111,2020-04-09,0.9882
112,2011-09-02,0.9899
113,2011-08-02,0.9821
114,2011-05-04,0.9969
115,2011-05-02,0.9957
116,2011-05-02,-0.3477
117,2020-04-25,0.9709
118,2011-04-06,0.9904
119,2011-04-06,0.984
120,2011-04-01,0.9889
121,2011-02-14,0.9892
122,2010-10-07,0.9398
123,2010-10-04,0.969
124,2010-07-26,0.9891
125,2010-07-05,0.916
126,2010-05-20,0.9723
127,2010-05-18,0.9954
128,2010-03-10,0.5267
129,2010-03-04,0.9207
130,2009-11-09,0.9949
131,2009-08-27,-0.5994
132,2009-06-03,-0.2828
133,2009-02-17,0.8694
134,2008-11-10,0.9781
135,2008-09-09,0.9299
136,2020-04-17,-0.9874
137,2008-03-23,-0.3607
138,2006-08-18,-0.25
