,Date_Time,Score
0,2018-09-07,0.8933
1,2018-03-04,0.9992
2,2017-12-01,-0.8914
3,2017-07-23,0.9871
4,2017-05-09,0.9963
5,2017-01-12,0.9947
6,2016-09-29,0.9756
7,2016-09-11,0.9976
8,2016-09-06,0.9892
9,2020-04-09,0.9956
10,2016-08-28,0.4886
11,2016-07-26,0.8112
12,2016-05-05,0.9866
13,2016-04-18,0.9914
14,2016-04-18,-0.823
15,2016-04-15,0.9865
16,2016-04-04,-0.9167
17,2016-02-24,-0.0516
18,2020-04-25,0.9533
19,2016-02-03,0.7279
20,2015-12-28,-0.2628
21,2015-12-16,0.9841
22,2015-11-17,0.7845
23,2015-10-01,0.9679
24,2015-09-06,-0.968
25,2015-05-06,0.9586
26,2015-05-06,-0.3501
27,2015-05-05,-0.7048
28,2015-05-04,0.7991
29,2015-03-24,0.9974
30,2015-03-19,-0.8374
31,2015-03-15,0.9961
32,2015-02-19,0.9596
33,2015-01-02,0.6463
34,2014-12-09,0.9935
35,2020-04-03,0.7783
36,2014-11-12,0.9954
37,2014-08-18,0.9694
38,2014-02-05,0.9469
39,2013-08-11,0.9608
40,2013-01-28,0.9714
41,2012-01-24,-0.8608
42,2011-12-12,0.8873
43,2011-12-01,0.9778
44,2011-11-02,0.9874
45,2011-10-19,0.9891
46,2011-10-10,0.9681
47,2011-06-22,-0.7709
48,2011-05-27,0.973
49,2011-05-06,0.8597
50,2011-03-22,0.1001
51,2011-02-14,0.9709
52,2011-02-03,0.9949
53,2011-01-13,0.9931
54,2010-12-07,0.9913
55,2020-04-25,-0.8322
56,2010-10-18,0.9042
57,2010-09-28,0.9781
58,2010-06-09,0.8462
59,2009-09-08,0.8805
60,2020-04-16,0.9887
61,2008-08-26,0.8674
62,2005-07-03,0.8945
63,2004-08-09,0.994
