,Date_Time,Score
0,2014-07-10,0.9729
1,2014-02-04,0.6808
2,2013-08-02,0.8314
3,2013-04-29,0.9935
4,2013-03-05,0.9637
5,2013-02-05,0.9807
6,2012-10-31,0.9612
7,2012-10-10,0.9833
8,2020-04-25,0.9887
9,2020-04-03,0.7783
10,2012-07-23,0.9779
11,2012-05-21,0.9731
12,2012-05-21,0.9867
13,2012-01-29,0.9866
14,2012-01-26,0.9765
15,2012-01-24,0.9935
16,2012-01-08,0.9528
17,2020-04-25,-0.973
18,2020-04-25,0.9823
19,2011-09-08,-0.9384
20,2011-08-03,0.9796
21,2011-07-25,0.8457
22,2011-07-18,-0.9765
23,2011-04-27,0.9881
24,2011-04-26,0.9897
25,2011-04-21,0.9927
26,2011-04-21,0.9942
27,2011-04-21,0.9812
28,2011-02-06,0.9678
29,2011-01-27,0.9918
30,2011-01-27,0.979
31,2011-01-21,0.9858
32,2011-01-14,0.9509
33,2011-01-11,0.9052
34,2020-04-16,-0.9641
35,2011-01-10,0.9959
36,2011-01-06,0.9993
37,2010-12-27,0.7957
38,2010-10-24,0.9954
39,2020-04-25,0.9788
40,2010-10-20,0.9859
41,2010-10-10,0.9931
42,2010-09-14,0.9161
43,2010-08-24,0.3167
44,2010-08-10,0.6187
45,2020-04-25,0.9975
46,2010-08-02,0.9215
47,2020-04-25,0.8885
48,2010-07-22,0.9922
49,2010-07-22,0.9983
50,2010-06-15,0.9325
51,2010-06-13,-0.6409
52,2010-06-10,0.9432
53,2010-04-23,0.9944
54,2010-04-21,0.9925
55,2010-01-25,0.9877
56,2009-10-19,0.9922
57,2009-02-02,0.9846
58,2008-10-20,0.9483
59,2008-08-06,0.9971
60,2020-04-09,-0.9264
61,2008-07-15,0.2846
62,2008-05-19,0.9935
63,2008-05-12,0.9648
64,2008-04-14,0.9418
65,2007-12-20,0.8442
66,2007-10-15,0.9054
67,2007-07-16,0.923
68,2007-07-16,0.9793
69,2007-07-02,0.9766
70,2007-01-10,0.9858
71,2006-07-18,0.9836
72,2020-04-25,0.9919
73,2006-07-17,0.8819
74,2020-04-25,0.9593
75,2005-09-21,0.9867
76,2005-09-20,0.9021
77,2005-09-16,0.9719
78,2005-09-13,0.9897
79,2005-08-26,0.993
80,2005-07-18,0.9937
81,2005-07-18,0.9854
82,2020-04-25,0.9042
83,2020-04-17,0.9913
