,Date_Time,Score
0,2020-04-24,0.9913
1,2020-04-24,0.9961
2,2020-04-24,0.9819
3,2020-04-24,0.9889
4,2020-04-24,0.9962
5,2020-04-24,0.9776
6,2020-03-24,0.9791
7,2020-03-04,0.9878
8,2020-03-02,0.7608
9,2020-04-17,-0.9874
10,2020-04-24,0.9869
11,2020-02-27,0.6124
12,2019-11-07,0.4922
13,2019-08-21,-0.7992
14,2019-08-18,0.82
15,2019-07-14,0.9573
16,2019-05-02,0.3818
17,2019-04-08,0.9861
18,2018-12-10,0.9891
19,2018-07-25,0.8934
20,2018-05-30,0.6256
21,2020-04-23,-0.1531
22,2020-04-23,-0.1531
23,2018-01-04,0.8176
24,2017-12-10,-0.7056
25,2020-04-23,0.9993
26,2020-04-23,0.9607
27,2017-10-05,0.8922
28,2017-08-30,0.9442
29,2017-08-29,-0.9754
30,2020-04-24,0.5106
31,2020-04-23,0.9708
32,2017-08-28,0.8942
33,2017-08-28,0.9663
34,2017-08-28,0.9663
35,2017-08-18,-0.9854
36,2017-08-08,0.9915
37,2017-07-26,0.9868
38,2017-05-02,0.882
39,2017-02-21,-0.9447
40,2017-02-13,0.9603
41,2017-02-08,-0.8555
42,2020-04-23,0.8542
43,2020-04-23,0.9983
44,2020-04-23,0.8133
45,2016-11-01,0.7964
46,2016-08-22,0.6457
47,2016-08-17,0.9455
48,2016-07-06,0.9828
49,2016-04-28,-0.0258
50,2016-03-31,0.9744
51,2016-02-25,0.9985
52,2016-02-02,0.7506
53,2016-01-31,0.9403
54,2020-04-24,0.9256
55,2016-01-18,-0.9403
56,2016-01-06,0.8864
57,2015-12-17,0.9892
58,2020-04-16,0.9887
59,2020-04-23,0.8175
60,2015-12-03,0.9827
61,2015-11-26,-0.9891
62,2020-04-23,0.797
63,2015-10-14,0.9987
64,2015-10-02,0.9882
65,2015-09-28,-0.8519
66,2015-09-27,-0.7734
67,2015-09-24,0.9937
68,2015-09-22,0.9667
69,2020-04-23,0.9927
70,2015-09-22,0.9932
71,2015-09-21,-0.4939
72,2015-09-09,0.8462
73,2020-04-24,0.3716
74,2020-04-24,0.9477
75,2015-07-29,0.9612
76,2015-07-12,0.9599
77,2015-05-13,-0.6369
78,2015-05-01,0.9966
79,2015-04-12,-0.2011
80,2015-03-10,0.9485
81,2020-04-23,0.9988
82,2015-02-04,0.9746
83,2015-02-04,0.9817
84,2015-02-02,0.9961
85,2020-04-23,0.9301
86,2020-04-24,0.8911
87,2015-01-14,-0.8537
88,2015-01-05,0.9918
89,2014-12-22,0.9322
90,2014-12-01,0.9842
91,2014-11-25,0.9982
92,2014-11-17,0.9863
93,2014-10-29,0.8442
94,2020-04-24,0.3134
95,2014-10-24,0.9965
96,2014-10-16,0.9949
97,2014-09-25,-0.6712
98,2020-04-24,0.9971
99,2014-09-15,0.9794
100,2014-09-02,0.9885
101,2014-08-14,0.9964
102,2014-07-31,0.9978
103,2020-04-23,-0.9725
104,2014-07-27,0.9268
105,2014-06-30,0.9246
106,2014-06-24,0.995
107,2020-04-23,0.9753
108,2014-06-10,0.9841
109,2020-04-16,0.9887
110,2014-06-06,0.6486
111,2014-05-08,0.9963
112,2014-04-23,0.9906
113,2014-04-23,0.9921
114,2014-04-13,0.7867
115,2014-04-11,0.9371
116,2020-04-24,-0.81
117,2020-04-24,0.9953
118,2020-04-23,0.5038
119,2014-03-22,-0.8315
120,2013-10-10,0.995
121,2020-04-24,0.9217
122,2013-05-21,-0.7954
123,2012-11-16,0.659
124,2020-04-24,0.9859
125,2012-02-17,0.9831
126,2012-02-03,0.9959
127,2020-04-24,0.9766
128,2012-01-26,0.872
129,2011-12-23,0.9572
130,2011-12-16,-0.9777
131,2011-11-27,0.9791
132,2011-11-25,-0.6787
133,2011-11-23,0.9689
134,2011-11-21,-0.9298
135,2020-04-09,-0.9264
136,2011-11-21,0.9796
137,2011-11-21,0.9814
138,2020-04-23,0.9918
139,2011-08-16,0.991
140,2011-07-13,0.9909
141,2011-07-13,-0.6705
142,2011-05-23,0.9936
143,2011-05-17,0.7906
144,2011-02-08,0.9881
145,2011-01-11,0.9452
146,2010-11-23,0.4854
147,2010-11-03,-0.9598
148,2010-07-22,0.9966
149,2010-07-21,0.0832
150,2010-07-20,-0.6105
151,2010-07-19,0.9873
152,2020-04-23,0.9922
153,2010-05-19,0.9917
154,2010-05-17,0.9687
155,2010-04-23,0.9887
156,2010-04-21,0.9489
157,2010-03-15,0.9416
158,2010-03-01,0.9434
159,2020-04-23,0.9478
160,2010-01-26,0.967
161,2020-04-09,0.9882
162,2009-12-15,0.9936
163,2009-12-15,0.9905
164,2009-12-14,0.9962
165,2020-04-23,0.9538
166,2009-11-30,0.993
167,2009-11-20,-0.5056
168,2009-11-03,0.9844
169,2009-10-25,0.9398
170,2009-10-11,0.9953
171,2009-09-02,-0.6812
172,2009-08-06,-0.8687
173,2009-05-13,0.8217
174,2009-05-13,0.9627
175,2009-04-28,-0.7053
176,2009-04-27,-0.6486
177,2009-04-22,0.9633
178,2009-04-16,0.9875
179,2009-04-03,0.9729
180,2009-03-16,0.8603
181,2009-03-16,0.942
182,2009-03-16,0.9393
183,2009-03-13,0.8909
184,2009-03-12,0.9476
185,2009-03-12,0.8787
186,2020-04-16,0.9887
187,2020-04-24,-0.8885
188,2007-06-18,0.9545
189,2007-02-02,0.9869
190,2006-10-02,0.92
191,2006-05-10,-0.4654
192,2006-01-31,-0.024
193,2005-11-16,-0.9354
194,2020-04-24,-0.9529
195,2005-04-27,0.9382
196,2005-04-27,-0.0516
