,Date_Time,Score
0,2020-02-06,0.51
1,2020-02-05,0.9925
2,2020-02-05,0.94
3,2019-12-05,0.9911
4,2019-11-11,0.915
5,2019-10-28,0.9964
6,2019-09-10,0.9393
7,2019-08-16,0.9936
8,2019-08-05,0.9714
9,2019-06-25,0.9437
10,2019-05-30,0.8616
11,2019-05-01,0.9605
12,2019-02-12,-0.9547
13,2019-02-07,0.8677
14,2019-01-24,-0.802
15,2018-10-01,0.9979
16,2018-08-30,0.3716
17,2018-08-21,0.8402
18,2018-08-03,0.9587
19,2018-06-08,-0.5733
20,2018-06-08,0.997
21,2018-06-05,0.9948
22,2018-05-22,0.9595
23,2018-05-22,0.7783
24,2020-04-24,0.835
25,2018-04-05,-0.8418
26,2018-04-05,0.9657
27,2018-03-27,0.9542
28,2020-04-24,0.8402
29,2018-03-16,0.979
30,2018-03-07,0.9724
31,2020-04-24,0.949
32,2018-01-23,0.647
33,2018-01-18,0.9972
34,2018-01-16,-0.9535
35,2018-01-11,0.4708
36,2017-12-20,0.9872
37,2020-04-24,0.9186
38,2017-11-08,0.9899
39,2017-11-02,0.9326
40,2020-04-24,0.983
41,2017-10-24,0.9783
42,2017-10-24,0.9698
43,2017-10-24,0.976
44,2017-10-12,0.9713
45,2020-04-24,0.7901
46,2017-09-26,0.979
47,2017-09-15,0.9851
48,2017-09-07,0.743
49,2017-09-06,0.9876
50,2017-08-15,0.8424
51,2017-08-08,0.9595
52,2020-04-24,0.9273
53,2017-06-09,0.9552
54,2020-04-24,0.8418
55,2017-05-17,0.9877
56,2017-05-08,0.872
57,2017-04-05,0.9857
58,2020-04-09,0.9956
59,2020-04-24,0.9879
60,2017-03-06,0.8807
61,2017-02-07,0.9439
62,2020-04-24,0.8321
63,2017-01-23,0.5719
64,2017-01-11,0.9907
65,2016-12-16,0.9428
66,2016-12-11,0.9913
67,2016-11-04,-0.9601
68,2016-11-01,0.9901
69,2016-10-17,0.7506
70,2016-10-17,-0.8625
71,2020-04-24,-0.4215
72,2016-10-17,0.9763
73,2016-10-03,0.8573
74,2016-08-18,0.9832
75,2016-08-18,0.8307
76,2016-08-16,0.7616
77,2016-08-16,0.891
78,2016-08-08,0.9683
79,2020-04-24,0.9561
80,2016-08-03,-0.7003
81,2016-07-25,-0.9854
82,2016-07-13,-0.9804
83,2020-04-09,0.9882
84,2016-07-13,0.9429
85,2016-07-06,0.8695
86,2016-07-04,0.3954
87,2020-04-24,0.9916
88,2016-05-10,-0.9967
89,2016-05-06,0.9475
90,2016-05-04,0.877
91,2016-05-04,0.9803
92,2016-04-29,-0.8911
93,2016-04-27,0.8442
94,2016-04-22,0.9891
95,2016-04-20,0.9216
96,2016-04-14,-0.7063
97,2016-04-13,0.8608
98,2016-04-08,0.9455
99,2016-04-04,0.27
100,2016-03-27,0.9141
101,2016-03-21,0.9942
102,2016-03-21,0.9946
103,2016-03-21,-0.9543
104,2016-03-18,0.9493
105,2016-03-16,0.9761
106,2016-03-10,0.8957
107,2016-03-09,0.93
108,2016-03-09,0.6369
109,2020-04-16,0.9887
110,2016-03-07,-0.6605
111,2016-03-04,0.9825
112,2016-03-03,0.9874
113,2016-03-01,0.9735
114,2016-03-01,0.9942
115,2016-03-01,0.9745
116,2016-03-01,0.9838
117,2020-04-24,0.9724
118,2016-03-01,0.9956
119,2016-03-01,0.7717
120,2016-03-01,0.6808
121,2016-03-01,0.8954
122,2016-02-12,0.6905
123,2016-02-05,0.9337
124,2016-02-04,0.9817
125,2016-02-04,0.992
126,2016-02-01,-0.85
127,2020-04-24,0.4854
128,2016-01-22,0.4443
129,2015-12-16,0.802
130,2015-12-09,0.7807
131,2015-11-24,0.9123
132,2015-11-16,0.9879
133,2015-11-05,-0.9476
134,2015-10-29,-0.9393
135,2015-10-28,0.9866
136,2020-04-24,0.98
137,2015-10-25,-0.9264
138,2015-10-16,-0.3892
139,2015-09-30,0.9977
140,2015-09-17,0.9325
141,2015-09-14,-0.988
142,2015-09-09,-0.9349
143,2015-07-28,0.9905
144,2015-07-23,0.8921
145,2015-07-09,0.3919
146,2020-04-24,-0.8918
147,2015-07-07,0.128
148,2015-06-25,0.9601
149,2015-06-23,-0.9042
150,2015-06-17,0.926
151,2015-06-15,0.6428
152,2015-06-07,-0.9001
153,2015-05-20,0.9517
154,2015-05-20,0.9874
155,2015-05-12,0.9813
156,2015-05-03,0.9907
157,2015-04-28,-0.9841
158,2015-04-20,-0.7269
159,2020-04-16,0.9882
160,2015-04-13,0.9944
161,2015-04-08,0.7586
162,2015-03-23,0.9723
163,2015-03-20,0.9319
164,2015-03-16,-0.9142
165,2015-03-13,-0.9758
166,2020-04-24,0.9867
167,2015-03-11,0.9357
168,2020-04-25,0.983
169,2020-04-25,-0.8463
170,2015-03-08,0.8862
171,2020-04-24,0.9688
172,2015-02-10,-0.7003
173,2015-02-05,0.9906
174,2015-01-27,0.8807
175,2015-01-26,0.9382
176,2020-04-24,0.9834
177,2020-04-24,0.9504
178,2015-01-08,0.9814
179,2015-01-07,0.631
180,2015-01-06,0.903
181,2014-12-30,-0.9434
182,2014-12-16,0.9218
183,2020-04-24,0.9493
184,2014-12-04,0.9913
185,2014-11-07,0.9524
186,2020-04-24,0.8873
187,2014-11-06,0.8979
188,2014-11-05,0.9563
189,2014-11-04,0.9622
190,2014-11-04,0.966
191,2014-11-04,0.992
192,2014-11-04,0.9723
193,2014-10-28,0.9855
194,2014-10-20,0.4005
195,2014-10-16,0.5815
196,2014-10-10,0.1681
197,2014-10-03,-0.9178
198,2014-09-26,0.9186
199,2014-09-16,-0.9073
200,2014-09-07,0.9867
201,2014-09-04,0.9616
202,2014-08-20,-0.4588
203,2014-07-28,0.9213
204,2014-07-22,0.8481
205,2020-04-24,0.9287
206,2014-07-21,-0.9946
207,2014-07-08,0.9734
208,2020-04-24,0.9382
209,2020-04-24,0.7845
210,2020-04-03,0.7783
