,Date_Time,Score
0,2018-05-17,0.6051
1,2018-04-11,0.7992
2,2018-03-02,0.9131
3,2018-02-22,0.9735
4,2017-10-26,0.9935
5,2017-10-17,-0.1511
6,2017-10-10,0.5499
7,2017-09-18,0.9883
8,2017-08-28,0.9963
9,2017-08-24,-0.638
10,2017-08-24,0.9789
11,2017-06-28,0.9832
12,2017-05-02,-0.8833
13,2017-02-27,0.9832
14,2017-02-23,0.9712
15,2017-02-16,0.9942
16,2016-11-17,-0.2778
17,2016-09-14,0.9565
18,2016-09-07,0.915
19,2016-08-18,0.597
20,2016-07-25,0.9864
21,2016-07-07,-0.9165
22,2016-06-13,0.9959
23,2016-06-07,0.996
24,2016-04-12,0.9839
25,2016-03-28,0.7788
26,2016-02-02,0.9493
27,2020-04-25,0.9766
28,2016-01-13,0.9946
29,2016-01-12,0.81
30,2015-12-04,0.9868
31,2015-11-24,0.9796
32,2015-09-07,0.9674
33,2015-02-10,0.997
34,2020-04-09,0.9956
35,2015-01-27,0.9921
36,2014-12-10,0.9844
37,2014-12-10,0.9916
38,2014-11-26,0.8534
39,2014-11-20,0.3291
40,2014-11-10,0.997
41,2014-11-07,0.9961
42,2014-10-21,0.998
43,2014-10-21,0.9377
44,2014-10-14,0.9643
45,2014-09-19,0.9938
46,2014-09-12,0.9949
47,2014-08-05,0.9059
48,2014-07-16,0.9958
49,2014-07-08,0.9971
50,2014-06-27,0.3185
51,2014-05-27,0.9992
52,2014-05-25,0.8151
53,2014-04-10,0.9928
54,2014-02-20,0.9942
55,2014-01-28,0.9887
56,2014-01-26,0.961
57,2014-01-16,0.9985
58,2014-01-15,0.989
59,2014-01-15,0.9844
60,2020-04-09,-0.9264
61,2013-12-03,0.4404
62,2013-11-26,0.9446
63,2013-10-24,0.55
64,2013-10-08,0.2964
65,2013-09-27,0.9982
66,2013-09-17,0.9976
67,2013-09-15,0.9953
68,2013-09-12,-0.8936
69,2013-09-03,0.9884
70,2013-08-20,0.9989
71,2013-08-14,0.9032
72,2013-08-06,0.4941
73,2013-08-02,0.9987
74,2013-07-23,0.8689
75,2013-07-22,0.9918
76,2013-07-11,0.9993
77,2013-07-10,0.2342
78,2013-07-08,0.9917
79,2013-06-25,0.9595
80,2013-06-24,0.9694
81,2013-06-13,0.9968
82,2013-06-05,0.9306
83,2013-06-04,0.9988
84,2013-06-04,0.504
85,2020-04-25,0.9966
86,2013-05-08,0.9871
87,2013-05-02,0.7237
88,2013-04-24,0.9947
89,2013-04-22,0.9001
90,2013-04-18,0.997
91,2013-04-10,0.9985
92,2013-04-04,0.9802
93,2013-03-26,0.9981
94,2013-03-26,0.996
95,2013-03-15,0.9838
96,2013-03-08,0.9891
97,2013-02-27,0.9944
98,2013-02-25,0.9805
99,2013-02-22,0.985
100,2013-02-19,0.9989
101,2013-02-19,0.9853
102,2013-02-05,0.9966
103,2013-02-05,0.9787
104,2013-01-25,0.9892
105,2013-01-25,0.9259
106,2013-01-22,-0.395
107,2013-01-18,0.9915
108,2013-01-17,0.9811
109,2013-01-16,0.9809
110,2020-04-17,-0.9874
111,2013-01-14,0.992
112,2013-01-06,0.7876
113,2013-01-03,0.9758
114,2012-12-21,0.9844
115,2012-12-17,0.9181
116,2012-12-12,0.9993
117,2012-12-10,0.9856
118,2012-12-04,0.9899
119,2012-11-29,0.9955
120,2012-11-28,0.9896
121,2012-11-20,0.9947
122,2012-10-23,0.9571
123,2012-10-22,0.8505
124,2012-10-22,0.9571
125,2012-10-12,-0.7099
126,2012-10-11,0.5821
127,2012-10-11,-0.5151
128,2012-10-10,0.5017
129,2012-09-25,0.9954
130,2012-09-24,0.9995
131,2012-09-07,0.9978
132,2012-09-07,0.9766
133,2012-08-29,0.9937
134,2012-08-24,0.9934
135,2012-08-17,0.9451
136,2012-08-17,0.9622
137,2012-08-16,0.9633
138,2020-04-25,0.6059
139,2012-08-15,0.9766
140,2012-08-14,0.7845
141,2012-08-08,0.9702
142,2012-07-31,0.9982
143,2012-07-15,0.9216
144,2012-07-13,0.1088
145,2012-07-09,0.9306
146,2012-07-02,0.9786
147,2012-06-10,0.9849
148,2012-06-04,0.9987
149,2012-05-31,0.9157
150,2012-05-25,-0.9707
151,2012-05-24,-0.2484
152,2012-05-22,0.9944
153,2020-04-25,0.9513
154,2012-05-11,0.9978
155,2012-05-02,-0.6654
156,2012-04-24,0.0176
157,2012-04-23,0.9979
158,2012-04-23,0.7425
159,2012-04-20,-0.9002
160,2020-04-09,0.9882
161,2012-04-18,0.7954
162,2012-04-17,0.9144
163,2012-04-16,0.9964
164,2012-04-10,0.9712
165,2012-03-29,0.9947
166,2012-03-26,0.9401
167,2012-03-25,0.9573
168,2012-03-23,0.9698
169,2012-03-23,0.9978
170,2012-03-11,0.9806
171,2012-03-08,0.9966
172,2012-03-01,0.9774
173,2012-02-29,0.7438
174,2012-02-28,0.998
175,2012-02-24,0.982
176,2012-02-24,0.9987
177,2012-02-24,0.9944
178,2012-02-24,0.9975
179,2012-02-24,0.9934
180,2012-02-23,0.9686
181,2012-02-15,0.9949
182,2012-02-12,0.9074
183,2012-02-09,0.9972
184,2012-02-06,0.999
185,2012-01-19,0.9632
186,2020-04-16,-0.9641
187,2012-01-18,0.9948
188,2012-01-13,-0.9382
189,2012-01-11,0.2218
190,2012-01-11,0.8271
191,2012-01-05,0.9895
192,2012-01-03,0.9961
193,2011-12-29,0.9369
194,2011-12-23,0.9989
195,2011-12-15,0.891
196,2011-12-14,-0.9474
197,2011-12-08,0.9877
198,2011-12-06,0.9776
199,2011-12-06,0.9835
200,2011-12-06,0.9816
201,2011-12-06,0.9971
202,2011-12-06,0.9973
203,2011-12-02,0.6761
204,2011-11-09,0.7906
205,2011-11-08,0.9989
206,2011-11-08,0.963
207,2011-11-03,0.9949
208,2011-10-30,0.9714
209,2011-10-28,-0.9712
210,2011-10-28,0.9976
211,2020-04-16,0.9882
212,2011-10-26,0.9953
213,2011-10-19,-0.1857
214,2011-10-18,0.998
215,2011-10-17,0.9562
216,2011-10-14,0.9894
217,2020-04-25,0.9329
218,2020-04-25,0.9258
219,2011-10-06,0.9332
220,2011-10-04,0.9997
221,2011-09-29,0.9868
222,2011-09-27,0.985
223,2011-09-20,0.9822
224,2011-09-18,0.6746
225,2011-09-16,0.9996
226,2011-09-08,-0.7227
227,2011-08-25,0.9922
228,2011-08-15,0.9885
229,2011-08-12,0.989
230,2011-08-11,0.9212
231,2011-08-03,0.966
232,2011-08-03,0.9812
233,2011-07-27,0.9911
234,2011-07-25,0.9973
235,2011-07-24,0.995
236,2011-07-22,0.9833
237,2020-04-17,-0.9874
238,2011-07-21,0.9829
239,2011-07-20,0.9883
240,2011-07-14,0.8807
241,2011-07-04,0.9578
242,2011-06-22,0.9946
243,2011-06-11,0.9973
244,2011-05-31,0.0
245,2011-05-26,0.9979
246,2011-05-25,0.9917
247,2011-05-19,0.978
248,2020-04-25,0.997
249,2011-05-17,0.9927
250,2011-05-12,0.9956
251,2011-05-12,0.9605
252,2011-05-09,0.9702
253,2011-05-06,-0.9665
254,2011-05-05,0.9986
255,2011-05-04,0.9955
256,2011-04-27,0.128
257,2011-04-27,0.9768
258,2011-04-25,0.9993
259,2011-04-24,0.9841
260,2011-04-24,0.6059
261,2011-04-22,0.9713
262,2011-04-19,0.9926
263,2020-04-09,-0.9264
264,2011-04-19,-0.962
265,2011-04-19,0.8516
266,2011-04-18,0.9979
267,2011-04-17,0.9984
268,2020-04-25,0.9973
269,2011-04-14,0.9253
270,2020-04-25,0.9743
271,2011-04-11,0.997
272,2011-04-11,0.9638
273,2011-04-07,0.9828
274,2011-04-07,-0.9812
275,2011-04-07,0.9674
276,2011-04-07,0.8556
277,2011-04-06,0.953
278,2011-04-02,-0.836
279,2011-03-30,0.3054
280,2011-03-25,-0.9841
281,2011-03-22,0.9891
282,2011-03-15,0.8402
283,2011-03-15,0.9956
284,2011-03-11,-0.9042
285,2011-03-08,0.9837
286,2011-03-03,0.34
287,2011-02-20,-0.3149
288,2011-02-17,-0.8566
289,2020-04-16,0.9882
290,2011-02-17,0.8657
291,2011-02-16,0.9712
292,2011-02-15,0.987
293,2011-02-13,0.9874
294,2011-02-13,0.8419
295,2011-02-11,0.7781
296,2011-02-11,0.9966
297,2011-02-11,0.988
298,2011-02-09,0.8481
299,2011-01-25,0.9716
300,2011-01-25,0.9874
301,2011-01-25,0.9994
302,2011-01-22,0.988
303,2011-01-19,0.5403
304,2011-01-14,0.9913
305,2020-04-25,0.9402
306,2010-12-29,0.9916
307,2010-12-23,0.9986
308,2010-12-17,0.9733
309,2010-12-16,0.9979
310,2010-12-14,0.7171
311,2010-12-08,0.6992
312,2010-12-07,0.9822
313,2010-12-07,0.9988
314,2010-12-07,0.9989
315,2020-04-09,0.9882
316,2010-12-03,0.9951
317,2010-11-29,0.8555
318,2010-11-24,0.9968
319,2010-11-24,0.5128
320,2010-11-19,-0.2043
321,2010-11-14,0.9885
322,2010-11-11,0.997
323,2010-11-11,0.4404
324,2010-11-10,0.9481
325,2010-11-08,0.859
326,2010-11-08,0.9986
327,2010-11-05,-0.4672
328,2010-11-04,0.9859
329,2010-11-04,0.836
330,2010-10-27,0.9929
331,2010-10-27,0.9973
332,2010-10-27,0.9882
333,2010-10-26,0.9693
334,2010-10-21,0.9797
335,2010-10-20,0.994
336,2010-10-18,0.985
337,2010-10-15,0.998
338,2010-10-15,0.9705
339,2010-10-15,0.9799
340,2010-10-14,-0.8442
341,2020-04-09,-0.9264
342,2010-10-14,0.9899
343,2010-10-13,0.9224
344,2010-10-02,-0.5255
345,2010-09-28,-0.4545
346,2010-09-27,0.9735
347,2010-09-22,0.9984
348,2010-09-13,0.9187
349,2010-09-02,0.9788
