,Date_Time,Score
0,2020-04-25,0.9738
1,2020-04-25,0.9969
2,2020-02-18,-0.6797
3,2020-02-18,-0.9868
4,2020-02-15,-0.9929
5,2020-02-14,0.9856
6,2020-02-13,0.5058
7,2019-10-31,0.9799
8,2019-09-26,-0.951
9,2019-09-17,0.9403
10,2019-08-20,-0.9747
11,2019-08-15,-0.9701
12,2019-08-08,-0.8766
13,2019-06-20,-0.5223
14,2019-06-07,0.9109
15,2019-05-18,0.9968
16,2020-04-25,0.9928
17,2019-05-10,0.9958
18,2019-05-06,-0.6249
19,2019-04-29,0.9834
20,2019-04-26,0.9791
21,2020-04-25,0.9873
22,2019-04-23,0.9821
23,2019-04-22,0.7717
24,2019-04-22,0.989
25,2019-04-11,0.9819
26,2019-03-19,0.9704
27,2019-03-18,-0.9826
28,2019-03-17,0.973
29,2019-03-01,0.9606
30,2019-03-01,-0.3814
31,2019-02-28,-0.7808
32,2019-02-27,0.9662
33,2020-04-25,0.9941
34,2020-04-03,0.7783
35,2019-02-25,0.4451
36,2019-02-25,-0.9103
37,2019-02-25,0.9588
38,2019-02-22,0.9799
39,2019-02-22,-0.9017
40,2019-02-22,-0.1726
41,2019-02-22,-0.6339
42,2019-02-21,0.1708
43,2020-04-25,0.6518
44,2020-04-25,-0.8815
45,2019-02-19,0.998
46,2018-11-29,0.9834
47,2018-11-12,0.9318
48,2018-11-01,0.9752
49,2018-08-13,0.8968
50,2018-08-03,0.9931
51,2018-07-12,0.9962
52,2018-07-08,0.9843
53,2018-07-06,-0.9486
54,2018-07-02,0.9981
55,2018-05-29,0.9836
56,2018-05-24,0.7519
57,2018-05-18,-0.9246
58,2018-05-14,-0.992
59,2020-04-25,0.9902
60,2018-05-02,0.9863
61,2018-05-02,0.9955
62,2018-04-20,0.9966
63,2018-04-19,-0.6187
64,2018-04-18,0.9758
65,2018-03-21,0.34
66,2018-03-19,-0.9658
67,2018-03-15,0.9972
68,2018-02-28,0.9975
69,2018-02-27,0.9381
70,2020-04-25,0.9628
71,2018-02-21,0.9675
72,2018-02-16,0.3912
73,2018-02-16,0.9873
74,2018-01-09,0.9048
75,2017-12-03,0.9917
76,2020-04-25,0.9779
77,2017-10-24,0.9805
78,2017-10-19,0.977
79,2017-10-11,0.9668
80,2017-08-09,0.9905
81,2017-08-04,0.9892
82,2017-08-03,0.0644
83,2020-04-09,-0.9264
84,2020-04-25,0.4201
85,2017-08-03,0.9955
86,2017-07-21,0.9992
87,2017-05-08,0.9876
88,2017-05-07,0.9995
89,2017-05-07,1.0
90,2017-05-07,0.3597
91,2017-05-03,0.3291
92,2017-04-27,0.928
93,2017-04-09,0.9582
94,2017-04-06,0.9955
95,2020-04-25,0.9144
96,2017-03-16,0.9936
97,2017-03-15,0.9473
98,2017-03-14,0.9485
99,2017-03-05,0.9963
100,2017-03-02,0.9917
101,2020-04-25,0.8132
102,2017-02-26,0.9203
103,2020-04-25,-0.127
104,2017-02-24,0.9941
105,2017-02-24,0.9222
106,2020-04-25,0.9897
107,2020-04-16,-0.9641
108,2017-02-22,0.9919
109,2017-02-22,0.91
110,2017-02-22,0.981
111,2017-02-21,0.9684
112,2020-04-25,0.9885
113,2017-02-20,0.9967
114,2017-02-20,-0.9567
115,2017-02-20,0.9904
116,2020-04-25,0.908
117,2017-02-20,0.9896
118,2017-02-20,0.967
119,2017-02-19,0.8217
120,2017-02-19,0.9776
121,2017-02-19,0.9946
122,2017-02-17,0.9963
123,2017-02-17,0.9271
124,2017-02-17,-0.9175
125,2017-02-17,0.9922
126,2017-02-17,-0.9595
127,2020-04-25,-0.7269
128,2017-02-17,0.9798
129,2020-04-25,0.7003
130,2017-02-17,0.9349
131,2020-04-16,0.9909
132,2017-02-16,0.8481
133,2020-04-25,0.9796
134,2016-08-31,-0.9698
135,2016-08-30,0.9968
136,2016-08-04,0.9624
137,2016-06-14,0.9974
138,2016-06-01,0.6415
139,2016-05-17,0.9274
140,2016-05-06,-0.7269
141,2016-04-12,0.9602
142,2016-04-04,0.9807
143,2016-01-14,0.9975
144,2015-11-10,0.9974
145,2015-08-11,0.9803
146,2015-08-06,0.9867
147,2015-08-06,0.9709
148,2020-04-17,-0.9874
