,Date_Time,Score
0,2019-06-25,0.7535
1,2019-03-27,0.9963
2,2019-01-09,0.8205
3,2018-11-28,-0.7801
4,2017-11-03,0.7692
5,2017-11-02,0.9509
6,2017-10-30,0.7579
7,2017-07-11,0.9442
8,2016-12-19,0.9913
9,2020-04-16,-0.9641
10,2016-09-19,0.9632
11,2016-08-23,0.9854
12,2016-06-21,0.9917
13,2016-03-29,0.9902
14,2016-03-29,0.9769
15,2016-01-13,0.9808
16,2016-01-07,0.3545
17,2015-09-21,0.9916
18,2015-06-24,0.996
19,2020-04-25,0.1058
20,2015-03-15,0.1901
21,2015-01-26,0.9906
22,2014-11-10,0.9949
23,2014-11-03,0.999
24,2014-09-24,0.9565
25,2014-09-17,0.9887
26,2014-08-19,0.9969
27,2014-08-18,0.9694
28,2014-07-28,0.9684
29,2014-07-24,0.9738
30,2014-07-16,0.9958
31,2014-06-30,0.9881
32,2014-06-17,0.9799
33,2014-05-28,0.9857
34,2014-04-24,0.9971
35,2020-04-17,0.9913
36,2014-02-18,0.7269
37,2014-02-06,0.995
38,2014-01-28,0.9933
39,2013-11-26,0.9946
40,2013-10-14,-0.8788
41,2013-09-16,0.9954
42,2013-06-27,0.9419
43,2013-06-25,0.9508
44,2013-06-25,0.9941
45,2013-03-20,0.9963
46,2013-03-04,0.9947
47,2013-02-26,0.9915
48,2013-02-20,0.9391
49,2013-02-18,0.9887
50,2013-01-30,0.6285
51,2013-01-29,0.9953
52,2013-01-15,0.9861
53,2012-12-19,0.9777
54,2012-10-05,0.9967
55,2012-10-03,0.9429
56,2012-09-26,0.8963
57,2012-09-25,0.979
58,2012-09-24,0.9693
59,2012-09-24,0.9946
60,2012-07-30,0.9938
61,2012-06-01,-0.9614
62,2012-05-16,0.9343
63,2012-03-29,0.9592
64,2012-03-27,0.9938
65,2012-03-27,0.9853
66,2012-03-23,0.6466
67,2012-03-09,0.9313
68,2012-02-29,0.9696
69,2012-02-14,0.9932
70,2012-01-31,0.9924
71,2012-01-27,0.9945
72,2012-01-26,0.9776
73,2012-01-13,0.9946
74,2012-01-12,0.7146
75,2011-12-30,0.9758
76,2011-12-29,0.8969
77,2011-12-27,0.5984
78,2011-12-20,0.8879
79,2011-12-19,0.9328
80,2011-10-24,0.9267
81,2011-10-18,0.986
82,2011-09-20,0.9957
83,2011-09-19,0.9959
84,2011-08-31,0.9712
85,2020-04-09,0.9882
86,2011-06-23,-0.699
87,2011-05-17,-0.9906
88,2011-05-09,0.4194
89,2011-03-29,0.9392
90,2011-03-23,-0.9905
91,2011-03-16,-0.9968
92,2011-01-11,0.9598
93,2010-12-28,0.9806
94,2020-04-25,0.959
95,2010-12-16,0.9584
96,2010-12-02,0.9813
97,2010-11-30,-0.105
98,2010-11-17,0.9963
99,2010-09-20,0.9919
100,2010-09-20,-0.9602
101,2010-09-16,0.9582
102,2010-08-16,0.9377
103,2010-07-26,0.9938
104,2010-07-20,0.6369
105,2010-07-14,0.9753
106,2010-06-25,0.8912
107,2010-06-24,-0.0063
108,2020-04-25,0.9624
109,2010-05-18,0.9771
110,2020-04-09,0.9956
111,2010-04-28,0.9961
112,2010-03-24,0.8241
113,2010-02-24,0.9915
114,2009-12-22,0.9959
115,2009-11-12,0.9179
116,2009-10-28,-0.81
117,2009-09-22,0.9834
118,2009-09-21,0.659
119,2009-08-27,0.9926
120,2009-08-26,0.9734
121,2009-08-25,0.9774
122,2009-08-21,0.9976
