,Date_Time,Score
0,2019-12-19,0.9652
1,2018-10-12,0.998
2,2018-09-11,-0.9734
3,2018-08-17,-0.8791
4,2017-11-28,0.9639
5,2017-10-02,0.9902
6,2020-04-25,0.8834
7,2017-06-15,0.9994
8,2017-02-01,0.5347
9,2017-01-13,0.9885
10,2016-12-04,0.9861
11,2016-07-24,0.9955
12,2016-07-10,0.9739
13,2016-06-28,0.9986
14,2016-06-17,0.9997
15,2016-03-13,0.7731
16,2016-02-29,-0.8036
17,2015-11-20,0.9801
18,2015-11-12,0.9848
19,2015-08-28,0.9589
20,2015-07-22,0.9939
21,2015-04-10,0.5789
22,2014-01-06,0.9962
23,2013-11-12,0.6361
24,2013-10-09,0.9803
25,2013-06-21,0.9967
26,2013-04-18,0.9994
27,2013-04-08,0.9957
28,2013-03-06,-0.9816
29,2013-03-03,0.9682
30,2013-01-23,0.9395
31,2013-01-22,0.9612
32,2020-04-16,0.9882
33,2012-09-19,0.9823
34,2012-08-08,0.9827
35,2012-07-17,0.8669
36,2012-07-13,0.9634
37,2012-03-16,0.8093
38,2012-02-23,0.9832
39,2012-02-03,0.994
40,2012-01-18,0.9882
41,2011-11-07,0.8063
42,2011-09-06,0.9821
43,2011-08-31,0.981
44,2011-07-14,0.9892
45,2011-07-07,0.4956
46,2011-06-13,0.9577
47,2011-05-05,0.9599
48,2011-04-01,0.8599
49,2011-03-23,0.9927
50,2011-02-11,0.9913
51,2010-12-31,-0.9062
52,2010-11-16,0.9336
53,2010-09-29,-0.9552
54,2009-12-23,0.6858
55,2009-11-03,0.9382
56,2020-04-25,0.9854
57,2009-10-08,0.9337
58,2020-04-16,0.9882
59,2009-05-07,0.7906
60,2009-03-01,0.994
61,2009-02-10,0.9028
62,2009-02-09,0.4201
63,2009-02-06,0.9811
64,2009-02-04,0.9934
65,2009-01-13,0.9643
66,2008-06-24,0.9953
67,2008-06-19,-0.659
68,2008-06-03,0.8973
69,2008-04-03,0.9492
70,2008-03-24,-0.128
71,2007-10-11,0.9645
72,2007-08-06,0.9727
73,2020-04-25,0.9592
74,2007-02-23,0.9584
75,2020-04-03,0.7783
