,Date_Time,Score
0,2020-02-20,0.7906
1,2019-09-25,0.6249
2,2018-05-02,0.9955
3,2018-05-01,-0.5119
4,2020-04-25,0.9628
5,2018-04-30,0.9895
6,2018-04-30,0.9393
7,2017-05-08,0.989
8,2016-11-22,0.9154
9,2020-04-09,-0.9264
10,2016-11-21,0.8814
11,2016-09-15,0.9839
12,2016-06-30,0.9836
13,2016-06-29,0.9715
14,2016-06-28,0.0516
15,2016-06-12,0.8729
16,2020-04-25,0.9847
17,2016-01-27,-0.9314
18,2015-12-16,-0.984
19,2015-07-27,0.4937
20,2015-07-13,0.9917
21,2015-07-13,0.9872
22,2014-12-03,-0.9729
23,2014-11-06,-0.7193
24,2014-06-25,0.9909
25,2014-01-12,-0.9106
26,2013-10-10,0.6168
27,2013-02-08,-0.9971
28,2013-01-27,0.9867
29,2012-10-12,-0.4019
30,2020-04-25,0.4079
31,2012-10-08,0.982
32,2012-09-26,-0.9888
33,2012-09-19,0.9935
34,2020-04-09,0.9956
35,2012-09-18,-0.9802
36,2012-09-18,0.34
37,2020-04-25,-0.9929
38,2020-04-25,0.9788
39,2012-05-07,-0.8422
40,2020-04-25,0.9418
41,2012-02-01,0.989
42,2012-01-20,0.9973
43,2012-01-12,-0.4489
44,2012-01-06,0.9874
45,2012-01-05,0.9735
46,2011-12-06,0.9894
47,2011-11-16,-0.9097
48,2011-11-09,-0.9907
49,2011-10-25,-0.9717
50,2011-09-13,0.9747
51,2011-08-22,-0.9787
52,2011-07-25,0.8457
53,2011-07-18,0.9529
54,2011-01-13,0.6594
55,2011-01-13,0.9931
56,2007-08-02,-0.9934
57,2020-04-17,-0.9874
