,Date_Time,Score
0,2019-07-22,0.9107
1,2018-10-25,0.9375
2,2020-04-25,0.9918
3,2017-10-25,0.9844
4,2017-07-27,0.9838
5,2017-07-26,0.9538
6,2017-04-26,0.9217
7,2020-04-25,0.8689
8,2017-01-19,0.9904
9,2020-04-09,-0.9264
10,2016-06-16,0.9492
11,2016-04-20,0.9772
12,2016-04-11,0.7391
13,2016-04-11,0.9908
14,2016-04-11,0.9786
15,2016-03-01,-0.4588
16,2016-02-26,-0.1902
17,2016-01-27,-0.4145
18,2016-01-21,0.7684
19,2015-12-23,0.5994
20,2015-12-16,0.9638
21,2015-12-16,0.9858
22,2015-12-16,0.9638
23,2015-12-08,0.8487
24,2020-04-25,0.8338
25,2015-12-04,0.9818
26,2020-04-25,0.979
27,2015-11-17,0.9595
28,2015-11-16,0.7796
29,2015-11-10,0.4569
30,2015-11-10,0.97
31,2015-09-14,0.9689
32,2020-04-25,0.8363
33,2020-04-25,-0.979
34,2020-04-25,0.9719
35,2020-04-09,-0.9264
36,2015-03-26,0.2342
37,2014-11-21,0.9392
38,2014-10-21,-0.9647
39,2014-10-13,0.9795
40,2014-04-23,0.9906
41,2014-02-26,-0.9839
42,2014-01-23,0.979
43,2014-01-22,0.8736
44,2013-12-02,-0.986
45,2013-05-14,0.984
46,2013-04-14,0.913
47,2013-04-07,0.8932
48,2020-04-25,0.9846
49,2013-01-22,0.9134
50,2020-04-25,0.4654
51,2012-10-16,0.9623
52,2012-09-23,0.7844
53,2020-04-25,-0.8406
54,2012-09-20,0.9562
55,2012-09-19,0.9133
56,2012-03-14,-0.7311
57,2011-10-19,0.9918
58,2011-09-21,0.9446
59,2011-09-21,0.9811
60,2011-08-30,0.9756
61,2011-08-22,0.9756
62,2011-08-22,0.9269
63,2020-04-25,0.9805
64,2011-02-03,0.9912
65,2010-11-28,0.9849
66,2010-10-13,0.0543
67,2010-10-06,0.5702
68,2010-10-06,0.9051
69,2010-09-22,0.9336
70,2020-04-25,0.5009
71,2010-08-23,-0.8862
72,2010-01-20,0.627
73,2009-11-03,0.9646
74,2009-10-28,-0.81
75,2009-09-20,0.9716
76,2009-06-02,0.0516
77,2009-05-26,0.4664
78,2009-02-08,0.9656
79,2008-10-29,0.9586
80,2008-09-29,0.9822
81,2008-09-22,0.9993
82,2008-08-31,-0.9105
83,2008-07-23,0.9974
84,2007-11-13,0.9645
85,2020-04-09,-0.9264
86,2007-11-12,0.836
87,2007-11-12,0.8747
88,2007-05-16,0.9319
89,2007-05-16,0.9942
90,2007-04-09,0.9617
91,2007-01-19,0.9848
92,2006-09-20,0.6486
93,2006-09-19,0.1779
94,2006-08-21,0.9004
95,2006-07-26,-0.889
96,2006-06-28,-0.2716
97,2006-03-15,0.8957
98,2005-08-14,-0.2047
99,2005-02-10,0.8021
100,2005-01-28,0.8352
101,2005-01-26,0.8782
102,2004-12-21,0.9934
