,Date_Time,Score
0,2019-10-18,0.9875
1,2019-09-26,0.8515
2,2019-09-25,0.9299
3,2019-09-25,-0.1531
4,2019-08-30,-0.9795
5,2019-08-28,0.9395
6,2019-08-27,0.9655
7,2019-08-27,0.9967
8,2020-04-09,0.9956
9,2019-08-27,0.9515
10,2019-07-25,0.6883
11,2019-07-18,0.8705
12,2019-06-19,0.9981
13,2019-05-01,0.9945
14,2019-04-09,-0.8859
15,2019-04-01,-0.9923
16,2019-03-21,0.2756
17,2019-03-04,0.0826
18,2019-01-22,0.9419
19,2018-10-10,0.7047
20,2018-10-01,0.9834
21,2018-10-01,-0.6249
22,2020-04-23,0.85
23,2020-04-23,0.9837
24,2018-06-21,0.9875
25,2018-05-18,-0.9813
26,2018-05-02,0.9955
27,2018-04-20,-0.9821
28,2018-04-19,0.7297
29,2020-04-23,0.9432
30,2018-03-16,0.9887
31,2018-03-09,0.9981
32,2020-04-23,0.6771
33,2018-01-16,-0.8519
34,2020-04-03,0.7783
35,2017-12-08,0.9496
36,2020-04-23,0.6562
37,2017-09-19,-0.965
38,2017-09-15,0.7832
39,2017-09-13,0.9827
40,2017-08-02,0.3502
41,2017-07-31,0.9752
42,2017-07-30,0.2716
43,2017-07-28,0.9462
44,2017-07-28,0.7351
45,2017-07-20,-0.85
46,2017-07-20,0.9217
47,2020-04-23,-0.793
48,2017-06-19,0.975
49,2017-04-20,0.9098
50,2017-02-16,0.9967
51,2017-01-10,0.9928
52,2016-10-18,0.9467
53,2016-09-29,-0.5023
54,2020-04-23,-0.8911
55,2016-09-07,-0.9287
56,2016-07-08,-0.9286
57,2020-04-23,-0.9226
58,2016-05-20,0.9716
59,2016-05-19,0.242
60,2016-05-19,-0.9665
61,2016-05-06,0.8902
62,2016-05-03,0.5267
63,2016-04-26,0.6124
64,2016-04-17,-0.9649
65,2016-04-13,0.9371
66,2016-04-03,-0.3595
67,2016-03-17,0.9705
68,2016-02-19,0.967
69,2020-04-23,0.8541
70,2015-12-23,0.9313
71,2020-04-23,-0.9065
72,2020-04-23,-0.9388
73,2020-04-23,-0.9929
74,2015-11-16,-0.7184
75,2020-04-23,0.979
76,2015-10-02,0.0772
77,2020-04-23,0.7184
78,2015-07-19,-0.9897
79,2015-06-02,-0.9531
80,2015-04-19,-0.9571
81,2015-03-18,0.9738
82,2015-02-05,0.9903
83,2015-02-03,-0.9371
84,2020-04-17,-0.9874
85,2020-04-23,-0.9217
86,2015-01-22,-0.4436
87,2020-04-23,-0.9812
88,2014-12-11,0.915
89,2020-04-23,0.765
90,2014-11-03,0.9596
91,2014-10-22,0.2263
92,2014-10-06,-0.6712
93,2014-07-17,0.9515
94,2014-07-15,0.9393
95,2014-06-29,0.9668
96,2020-04-23,-0.4486
97,2020-04-23,-0.9349
98,2020-04-23,-0.8704
99,2014-05-09,-0.9271
100,2014-04-25,-0.746
101,2014-04-14,-0.9825
102,2014-03-27,0.9416
103,2014-03-14,-0.2616
104,2020-04-23,0.9852
105,2013-11-14,0.8903
106,2013-11-04,0.4854
107,2013-08-15,0.9834
108,2013-08-12,0.6971
109,2013-07-23,-0.1779
110,2020-04-17,-0.9874
111,2020-04-23,-0.9062
112,2020-04-23,-0.9274
113,2013-07-14,0.9129
114,2020-04-23,0.9416
