,Date_Time,Score
0,2020-04-25,0.9711
1,2020-02-27,0.6124
2,2019-02-11,0.8622
3,2018-05-01,0.6152
4,2017-10-05,0.2023
5,2017-07-02,-0.9662
6,2017-03-24,0.9937
7,2017-03-23,0.9795
8,2017-03-12,0.9303
9,2020-04-17,0.9913
10,2017-01-12,-0.8627
11,2017-01-06,0.81
12,2017-01-05,-0.6808
13,2016-10-17,-0.1027
14,2016-08-22,0.7988
15,2020-04-24,0.9944
16,2016-04-01,0.9851
17,2016-03-31,0.9744
18,2016-03-09,0.8689
19,2016-02-25,0.8301
20,2015-10-12,0.9812
21,2015-10-06,0.9969
22,2015-07-12,0.9599
23,2020-04-25,0.9916
24,2015-06-09,0.9719
25,2020-04-25,0.9992
26,2015-01-22,0.9301
27,2014-09-18,0.9971
28,2014-09-02,0.9885
29,2014-07-30,0.994
30,2014-04-15,0.9861
31,2020-04-09,-0.9264
