,Date_Time,Score
0,2020-02-21,0.4301
1,2020-02-05,0.918
2,2020-04-24,0.6566
3,2020-01-29,0.3758
4,2019-12-06,0.994
5,2020-04-24,0.9807
6,2019-10-15,0.9845
7,2019-09-30,-0.9869
8,2020-04-03,0.7783
9,2019-09-24,-0.7669
10,2020-04-24,-0.9882
11,2019-09-04,0.9776
12,2019-07-25,0.9741
13,2020-04-24,0.8431
14,2019-07-22,0.9786
15,2019-06-27,0.9881
16,2019-06-18,0.9941
17,2019-06-04,0.9889
18,2019-05-17,0.8248
19,2019-05-07,0.9081
20,2019-04-25,0.9531
21,2020-04-24,0.9325
22,2019-02-19,0.6868
23,2020-04-24,0.7753
24,2019-02-14,-0.9614
25,2020-04-24,0.9438
26,2019-02-01,0.9342
27,2019-01-28,0.857
28,2020-04-24,0.9747
29,2020-04-24,0.9391
30,2018-12-14,0.9984
31,2020-04-24,0.9918
32,2020-04-09,0.9882
33,2020-04-24,0.9729
34,2018-12-09,0.9981
35,2018-11-13,-0.128
36,2018-11-12,0.9318
37,2018-11-01,0.9779
38,2018-10-10,0.9896
39,2018-10-09,0.9716
40,2020-04-24,0.9136
41,2020-04-24,0.499
42,2018-09-18,0.9857
43,2018-09-05,0.9949
44,2018-08-31,0.967
45,2020-04-24,0.4864
46,2020-04-24,0.2732
47,2020-04-24,0.9187
48,2020-04-24,0.9893
49,2020-04-24,-0.1531
50,2020-04-24,0.9726
51,2020-04-24,0.9628
52,2020-04-24,-0.8265
53,2020-04-24,0.9623
54,2018-06-19,0.9862
55,2020-04-16,0.9909
56,2020-04-24,0.9962
57,2018-06-13,-0.9239
58,2018-06-06,0.9937
59,2018-06-04,0.8908
60,2018-06-01,0.9953
61,2018-05-30,-0.9778
62,2018-05-29,0.9836
63,2020-04-24,-0.6374
64,2018-05-07,0.9725
65,2018-05-07,0.998
66,2018-05-07,0.9648
67,2020-04-24,0.5423
68,2018-05-02,0.886
69,2018-04-28,0.9958
70,2020-04-24,0.968
71,2018-04-20,-0.8727
72,2018-04-17,0.9657
73,2020-04-24,0.5371
74,2020-04-24,0.9991
75,2020-04-24,0.9981
76,2018-01-25,0.9975
77,2018-01-17,0.9072
78,2017-12-05,0.979
79,2017-11-03,0.0735
80,2020-04-24,0.9648
81,2017-10-24,0.9509
82,2017-10-24,0.992
83,2020-04-24,-0.915
84,2017-08-28,0.9963
85,2017-08-22,-0.9956
86,2017-08-02,0.9468
87,2017-07-28,0.9462
88,2017-07-28,0.9509
89,2017-07-28,-0.8481
90,2020-04-24,0.9844
91,2017-07-27,0.9657
92,2017-07-16,0.9991
93,2020-04-24,-0.1027
94,2017-04-28,0.9325
95,2017-04-27,0.9853
96,2017-04-25,0.987
97,2017-04-21,0.9936
98,2017-03-22,0.9966
99,2017-03-17,0.9945
100,2017-02-28,0.9792
101,2017-02-25,0.9966
102,2017-02-14,-0.8901
103,2020-04-17,-0.9874
104,2017-02-09,0.9924
105,2017-01-31,0.9287
106,2017-01-26,0.9935
107,2017-01-03,0.988
108,2020-04-24,0.9905
109,2016-12-27,0.9881
110,2016-12-02,0.9667
111,2016-12-02,0.984
112,2016-12-02,0.9955
113,2016-12-01,0.9688
114,2020-04-24,0.9873
115,2016-11-13,0.9977
116,2016-11-04,0.9936
117,2016-11-03,0.9846
118,2016-08-30,-0.1725
119,2016-08-24,0.8182
120,2016-07-26,0.9626
121,2016-07-26,0.8625
122,2020-04-24,0.9638
123,2016-07-22,-0.9708
124,2016-06-28,0.872
125,2016-06-20,0.9964
126,2016-06-02,0.9186
127,2016-05-15,0.998
128,2020-04-16,0.9882
129,2016-05-01,0.9679
130,2016-04-29,0.9754
131,2016-04-22,0.9139
132,2016-04-21,0.9565
133,2016-04-19,-0.8738
134,2020-04-24,0.9873
135,2016-04-12,0.7187
136,2020-04-24,0.9971
137,2016-03-31,0.9818
138,2016-03-16,0.9749
139,2020-04-24,0.976
140,2020-04-24,0.9317
141,2020-04-24,0.988
142,2016-02-09,0.9975
143,2020-04-24,0.9874
144,2016-01-29,-0.9937
145,2020-04-24,0.7184
146,2020-04-24,0.6177
147,2016-01-20,0.9926
148,2016-01-14,-0.9703
149,2020-04-24,0.9618
150,2016-01-12,-0.9739
151,2020-04-24,0.9513
152,2016-01-11,0.2001
153,2020-04-24,0.9991
154,2016-01-03,0.9989
155,2020-04-24,0.903
156,2015-12-29,0.9789
157,2015-12-16,0.9841
158,2015-12-15,0.9712
159,2015-12-07,0.9906
160,2015-11-26,0.974
161,2020-04-24,-0.9764
162,2015-11-19,0.9583
163,2015-11-12,0.9857
164,2015-10-25,0.9837
165,2015-10-21,0.8618
166,2020-04-24,-0.9705
167,2015-10-21,0.79
168,2020-04-24,0.9292
169,2015-10-15,0.9696
170,2020-04-24,0.8705
171,2020-04-24,-0.8738
172,2015-10-09,0.8965
173,2015-10-08,0.993
174,2020-04-24,0.9911
175,2015-10-03,-0.9955
176,2015-09-30,0.9826
177,2020-04-03,0.7783
178,2020-04-24,0.9047
179,2015-09-24,0.76
180,2015-09-17,0.788
181,2015-08-27,0.9963
182,2020-04-24,0.9972
183,2015-08-06,0.9803
184,2020-04-24,0.9892
185,2020-04-24,0.9744
186,2020-04-24,0.9629
187,2020-04-24,0.9591
188,2020-04-24,0.9831
189,2015-06-16,0.7735
190,2015-06-09,-0.101
191,2015-06-04,0.997
192,2015-05-05,0.8402
193,2020-04-24,0.9932
194,2015-04-24,0.9977
195,2015-04-23,0.9666
196,2015-04-10,0.9975
197,2015-04-08,0.6124
198,2015-04-01,-0.8361
199,2015-03-26,-0.2263
200,2020-04-09,-0.9264
201,2015-03-24,0.9903
202,2020-04-24,0.3852
203,2020-04-24,-0.8999
204,2015-03-17,0.8555
205,2015-03-12,0.7293
206,2015-03-11,0.9974
207,2015-03-10,0.9991
208,2020-04-24,0.9887
209,2015-02-24,0.9944
210,2015-02-11,0.9973
211,2020-04-24,0.9879
212,2020-04-24,0.9917
213,2020-04-24,0.8507
214,2020-04-24,0.9707
215,2014-12-05,-0.5384
216,2014-12-04,0.9974
217,2020-04-24,0.7163
218,2020-04-24,-0.91
219,2020-04-24,0.9484
220,2014-11-05,0.997
221,2020-04-24,-0.982
222,2014-10-29,0.4019
223,2020-04-24,0.9906
224,2020-04-09,-0.9264
225,2020-04-24,-0.9377
226,2014-10-07,0.7549
227,2014-10-02,0.9821
228,2014-09-24,0.9565
229,2014-09-24,0.991
230,2014-09-17,0.9212
231,2020-04-24,-0.8042
232,2014-09-09,0.9604
233,2014-09-05,0.9565
234,2020-04-24,0.9728
235,2014-08-21,0.9982
236,2020-04-24,0.6812
237,2020-04-24,0.9888
238,2020-04-24,0.9852
239,2014-07-31,0.9652
240,2014-07-17,0.8956
241,2020-04-24,0.0004
242,2014-07-06,0.9598
243,2014-07-06,-0.5608
244,2014-07-03,0.8805
245,2020-04-24,-0.7134
246,2020-04-24,0.5376
247,2020-04-24,0.9924
248,2020-04-24,0.9709
249,2014-06-11,0.9934
250,2020-04-17,0.9913
251,2014-06-11,0.9792
252,2014-05-20,0.8335
253,2014-05-20,0.9843
254,2014-04-30,0.9983
255,2020-04-24,0.9828
