,Date_Time,Score
0,2019-04-10,0.9783
1,2019-04-10,0.8481
2,2019-04-09,0.8788
3,2019-04-09,0.5574
4,2019-04-02,-0.9818
5,2018-11-07,0.9728
6,2018-09-19,-0.6784
7,2018-07-03,-0.211
8,2018-07-02,0.4939
9,2020-04-16,0.9887
10,2018-06-01,0.926
11,2018-05-14,-0.8411
12,2018-05-14,0.5574
13,2018-05-02,0.7269
14,2018-05-02,-0.9161
15,2018-05-01,0.8074
16,2018-04-25,0.6166
17,2018-04-24,0.9454
18,2018-04-18,0.8807
19,2018-04-16,0.7269
20,2018-03-23,0.8779
21,2018-03-09,-0.9175
22,2018-03-02,0.9976
23,2018-02-13,-0.1779
24,2018-02-08,0.3612
25,2018-02-07,0.4582
26,2018-02-07,0.82
27,2018-02-07,-0.886
28,2018-01-30,-0.9694
29,2018-01-29,-0.8847
30,2018-01-29,-0.1522
31,2018-01-29,0.7096
32,2018-01-29,-0.8176
33,2018-01-28,0.9364
34,2018-01-26,-0.0516
35,2020-04-03,0.7783
36,2020-04-25,0.9907
37,2017-12-21,-0.8838
38,2017-10-02,-0.6908
39,2017-07-25,0.1134
40,2017-07-03,0.4215
41,2017-05-21,0.9839
42,2017-01-27,0.9186
43,2016-12-09,0.9786
44,2016-11-21,0.9974
45,2016-11-02,0.9604
46,2016-09-01,0.9642
47,2016-07-29,0.6908
48,2016-07-29,0.9849
49,2016-05-02,0.3182
50,2016-04-07,0.9931
51,2016-04-07,0.9612
52,2016-04-06,0.9899
53,2016-03-31,0.743
54,2016-03-22,0.9348
55,2016-03-01,0.9451
56,2016-02-12,0.997
57,2016-01-15,-0.3098
58,2016-01-07,0.3545
59,2016-01-04,0.921
60,2016-01-03,0.9987
61,2015-10-16,0.8088
62,2015-10-02,0.9882
63,2015-08-04,0.9001
64,2015-05-01,-0.5267
65,2015-04-29,0.87
66,2015-04-29,0.7322
67,2015-04-24,-0.795
68,2014-10-29,0.9379
69,2014-08-26,0.9915
70,2014-06-03,0.1027
71,2014-05-02,0.9963
72,2014-04-01,0.9975
73,2014-02-11,0.8752
74,2013-12-29,0.9701
75,2013-09-19,0.9787
76,2013-02-05,-0.743
77,2012-12-04,0.8959
78,2012-11-01,0.9865
79,2020-04-25,0.9972
80,2012-07-18,0.736
81,2012-07-15,0.9752
82,2012-06-05,0.9882
83,2012-05-11,0.5346
84,2012-05-02,0.9872
85,2020-04-16,0.9882
86,2012-05-02,0.992
87,2012-03-14,0.5996
88,2012-03-13,-0.9279
89,2012-03-12,-0.8119
90,2012-03-02,0.9416
91,2020-04-25,0.9939
92,2012-02-24,-0.8078
93,2012-02-24,-0.7008
94,2012-02-22,-0.9849
95,2012-02-22,0.6542
96,2012-02-21,0.9878
97,2012-02-20,0.9741
98,2012-02-20,0.9705
99,2012-02-20,0.8961
100,2012-01-12,0.7579
101,2012-01-03,0.9674
102,2011-12-27,0.5984
103,2011-12-19,0.9328
104,2011-11-28,0.9887
105,2011-11-15,-0.5859
106,2011-10-20,0.9958
107,2011-10-07,0.9826
108,2011-10-03,-0.9485
109,2020-04-09,0.9956
110,2011-09-30,-0.9284
111,2020-04-25,0.9977
112,2011-09-26,0.886
113,2011-07-19,0.8591
114,2011-07-06,0.8434
115,2011-07-01,0.9962
116,2011-05-24,0.9837
117,2011-04-25,0.9896
118,2020-04-25,-0.7568
119,2011-04-04,-0.9153
120,2011-03-31,0.9928
121,2011-03-31,-0.9207
122,2011-03-26,0.966
123,2011-02-04,0.9921
124,2011-01-24,0.9732
125,2011-01-18,0.9918
126,2010-10-25,0.9908
127,2010-10-11,0.9947
128,2010-09-29,0.9628
129,2010-06-16,0.9741
130,2010-05-23,0.9041
131,2010-05-03,0.9971
132,2020-04-25,-0.6705
133,2010-01-04,0.9979
134,2009-11-08,0.9878
135,2020-04-16,0.9882
136,2009-11-03,0.4767
137,2009-10-19,0.5106
138,2009-10-09,0.9484
139,2009-10-05,0.2023
140,2009-10-05,0.9961
141,2009-09-30,0.9286
142,2009-09-24,0.4417
143,2009-09-23,0.9864
144,2009-09-20,0.9679
145,2009-09-09,0.9306
146,2009-07-22,0.9633
147,2009-07-21,0.7017
148,2009-07-21,0.9897
149,2009-07-20,0.9891
150,2009-07-20,-0.2422
151,2009-05-05,0.9887
152,2009-04-27,0.7691
153,2008-11-11,0.9449
154,2008-10-31,0.9729
155,2008-09-21,0.9879
156,2008-09-14,0.9217
157,2008-07-16,0.3641
158,2008-07-10,0.4214
159,2020-04-09,0.9882
160,2008-07-10,0.836
161,2008-04-24,-0.7426
162,2020-04-25,0.6597
163,2008-04-23,0.9282
164,2008-01-15,0.9379
165,2008-01-15,0.9659
166,2007-08-10,0.9513
167,2007-08-07,0.9887
168,2007-08-07,0.8519
169,2007-07-12,0.9948
170,2007-07-05,0.9971
171,2007-06-27,0.9783
172,2007-06-08,0.9756
173,2020-04-25,0.9967
174,2007-05-22,0.9971
175,2006-10-26,0.8953
176,2006-10-05,-0.9517
177,2006-08-02,0.984
178,2006-04-25,0.8647
179,2006-03-16,0.9643
180,2006-03-06,0.9804
181,2005-06-01,0.9818
182,2005-04-19,0.8176
183,2020-04-09,-0.9264
184,2005-04-18,0.9806
185,2004-11-10,0.9753
