;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;BIIB;Biogen Inc;2020-04-24T21:00:03+0000;Roche and Eli Lilly drugs fail ‘inherited’ Alzheimer’s trial;Setback deals another blow to most common hypothesis about causes of the disease;Alzheimer’s drugs made by Eli Lilly and Roche have disappointed in a late-stage trial, dealing another blow to the most common hypothesis about what causes the devastating degenerative disease.An initial analysis of the trial results found the drugs both failed to slow cognitive decline, as measured by tests of thinking and memory, in patients who have a rare inherited form of Alzheimer’s that can cause deterioration in their 40s or 50s — or even earlier.The trial — which followed 197 patients for up to seven years — was an important attempt to slow the symptoms of Alzheimer’s before they manifested.Shares in Eli Lilly, which makes the drug solanezumab, fell 2.7 per cent to $142.61, as the US drugmaker said it did not intend to pursue an approval for the drug for people with this type of Alzheimer’s, known as “dominantly inherited”, which is less than 1 per cent of all sufferers.But Daniel Skovronsky, Eli Lilly’s chief scientific officer, said the company was still “committed to finding treatments for patients and remains excited about the potential of our medicines under development in the area of Alzheimer’s”.Analysts at Mizuho Healthcare said some Eli Lilly investors had been “cautiously optimistic” about the potential of this trial despite Alzheimer’s being an “extremely difficult disease for successful drug development”.Roche said it would continue to examine the study, adding that it is pressing ahead with another study using the drug candidate, which is designed to maximise the dose that participants receive. Shares in Roche, whose subsidiary Genentech makes gantenerumab, were flat.Levi Garraway, chief medical officer and head of global product development at Roche, said even though the trial did not reach its goals, it was “the first of its kind and a bold undertaking by all partners involved”.The trial targets the same potential cause of Alzheimer’s — a build-up of amyloid protein plaques in the brain — as a drug that Biogen intends to submit for US regulatory approval soon. Many trials based on the so-called amyloid hypothesis, that clearing these plaques would slow patients decline, have failed.Biogen surprised the market by reviving an abandoned trial last October, adding $10bn to its market value in one day. Its shares fell 0.8 per cent to $335.98 in mid-morning trading on Monday after the announcement.Marc Goodman, an analyst at SVB Leerink Research, said it was wrong to draw conclusions from this trial on the potential efficacy of Biogen’s drug candidate aducanumab. He explained that the Eli Lilly and Roche drug candidates were applied to a different population, only in a small number of patients, and targeting different molecules.
1;BIIB;Biogen Inc;2020-02-05T20:40:52Z;Biogen shares soar after patent victory;Mylan had lodged dispute over a drug for multiple sclerosis;Shares in Biogen jumped as much as 32 per cent after the US biotech company won a patent battle against the generic drugmaker Mylan over its bestselling medicine for multiple sclerosis. Biogen will now be able to sell Tecfidera, which generated $4.4bn in revenue last year, until the patent expires in 2028. The US Patent Trial and Appeal Board said Mylan had not demonstrated that some claims were patentable. The Boston-based biotech company said that it was pleased with the decision. It added that since it was approved in March 2013, Tecfidera set a “new standard of care” and has been used to treat 415,000 patients. Sales of Tecfidera, which treats the disease of the central nervous system, contributed 30 per cent of Biogen’s revenue last year. The majority of sales were in the US.Mylan said it strongly disagreed with the decision and will pursue all options for appeal. The generic drugmaker is also battling the patent in courts in Virginia and Delaware.Mylan has argued that the patent should be invalidated because the active ingredient in Tecfidera had been known for years.Investors had been nervous that Biogen could lose the dispute. Umer Raffat, an analyst at Evercore, said in a note published ahead of the decision that many people had been “waiting on the sidelines” until after the judgment to buy into Biogen, which is preparing to file for approval for its potential Alzheimer’s drug. Biogen shares soared in late October when the company said data from trials of aducanumab, the drug candidate for Alzheimer’s, showed it worked in higher doses, despite having shut down the trials after an independent analysis decided it was futile in March. In mid-afternoon trading in New York, shares in Mylan, which is in the process of merging with Pfizer’s generics business Upjohn, were up 2.6 per cent to $22.83. Biogen soared more than 19 per cent to $339. The patent decision comes on the same day as Gilead lost its bid to dispute two patents granted to the US government over the use of Truvada to prevent HIV in a case that has caused waves because of the high price of the drug.The Patent Trial and Appeals Board said Gilead failed to demonstrate it was likely to win the argument to overturn the patents owned by the Centers for Disease Control and Prevention. Both sides await a decision in another set of patents related to the drug. Gilead said in a statement that it continued to believe all four of the government patents are invalid.Shares in Gilead fell 2.3 per cent to $65.89.
2;BIIB;Biogen Inc;2019-12-05T19:14:46Z;Biogen divulges more data on trials for Alzheimer’s drug;Biotech’s shares fluctuate as it tries to win over sceptics of aducanumab;Biogen tried to win over sceptics of its prospective Alzheimer’s drug by unveiling more detailed data which showed that patients receiving the highest dose experienced a significant slowing of their cognitive decline in two clinical trials.The US biotech start-up is seeking approval for aducanumab, which would become the first drug for the neurodegenerative disease, from which almost 50m people suffer worldwide. Biogen must convince regulators to trust the data from the two studies, which it had previously abandoned as futile. One of the two — virtually identical — trials, known respectively as Emerge and Engage, was unsuccessful.Samantha Budd Haeberlein, Biogen’s vice-president responsible for late-stage clinical development in Alzheimer’s, made a company presentation at an Alzheimer’s conference in San Diego. She reported that the patients who had received the maximum quantity of the drug, for the full regime of 14 doses, showed a 30 per cent slowing of the decline in the Emerge trial, and a 27 per cent decline in the Engage trial.Chief medical officer Alfred Sandrock asked analysts concerned that approval could be denied to put faith in Biogen’s history of not filing studies that were not ready for regulators.“We don’t file willy-nilly,” he said.Shares in Biogen fluctuated as investors digested the detail from the presentation. The stock closed up 3.4 cent to $299.39.Cognitive decline is measured by surveys asking patients and caregivers about their ability to do daily tasks at home and in the community. Sharon Cohen, a medical director in Toronto who was a principal investigator on the study, said that people who suffer from Alzheimer’s lose themselves “slice by slice”.The community at large fears Alzheimer’s disease and rightly so, because of the loss of autonomy that comes with this disease. So slowing the loss of autonomy is key“The community at large fears Alzheimer’s disease and rightly so, because of the loss of autonomy that comes with this disease. So slowing the loss of autonomy is key,” she said.The final analysis of the studies showed that the results of the trials still diverged when all patients were included.The average patient on the high dose in the Emerge study showed a 22 per cent decline, but patients in the Engage study actually performed slightly worse than the placebo group. Biogen attributed this difference to a change in the study to allow higher doses, which meant that a greater proportion of the Emerge study participants started after the change had already been made.Stephen Salloway, a professor of psychiatry, human behaviour and neurology at Brown University, said the study was an important start — a “biological foothold” for the fight against Alzheimer’s.“It could open an era of precision medicine in Alzheimer’s disease,” he said.Shares in Biogen soared — adding more than $10bn to its market value — in October when the biotech announced that it would seek approval for the Alzheimer’s drug. But the stock did not regain all its losses from March when they abandoned the trials because an independent monitoring committee determined it would be futile to continue.Analysts had significant questions about whether the US Food and Drug Administration is likely to approve a drug on the basis of one successful trial, when the drug candidate had failed in a similar trial. After the presentation, analysts at BTIG and SVB Leerink both said their share price targets were based on a 50 per cent chance of approval.Geoffrey Porges, senior biotechnology analyst at SVB Leerink, said the 50 per cent probability was probably conservative. “This is conceptually close enough to our expectations for the drug’s effect and performance that it likely to be generally endorsed by most non-statistician specialists and physicians,” he said.Earlier this week, Brian Skorney, an analyst at Baird, downgraded the stock because of what he called “Alzheimer’s hype”.He suggested that investors were buying shares because of “Fomo” — fear of missing out — but that the “preponderance of data” suggests aducanumab does not provide a clinical benefit.Aducanumab is one of the last remaining drug candidates to be based on the so-called “amyloid hypothesis” that Alzheimer’s is caused by the build-up of sticky plaques in the brain.Initially, Biogen had been cautious about giving higher doses because of a side effect that swelled the brain, known as ARIA-E. The majority of patients did not experience any symptoms. However, the side effects may be a concern for regulators.The more detailed results showed that patients on higher doses were more likely to experience the brain swelling, with just over a third exhibiting the side effect in both studies. Patients with a gene that shows a predisposition for Alzheimer’s — ApoE — were even more likely to have ARIA-E.However, most of these patients did not experience the symptoms, which include headaches and vomiting, and only knew about the temporary side effect because it was picked up on an imaging scan.
3;BIIB;Biogen Inc;2019-10-23T04:00:29Z;Alzheimer’s drug revival gives hope to millions — and investors;Biogen says seeking approval for aducanumab hails ‘turning point’ in fight against disease;The revival of a potential drug to fight Alzheimer’s, whose clinical trials had been declared futile just months ago, proved the value of sticking with the search for treatments for the disease when other pharmaceuticals companies are “running away”, according to the chief executive of its developer, Biogen.By announcing on Tuesday that it would seek regulatory approval after all for its drug aducanumab, the US biotech company gave new hope to millions of patients and caregivers — and its shareholders.Michel Vounatsos, Biogen chief executive, told the Financial Times that the new data analysed since the company halted a patient trial in March marked a “turning point in the fight against Alzheimer’s disease”. But among Alzheimer’s researchers and campaigners, who have lived through decades of dashed hopes, the unmistakable excitement was tempered by a battle-hardened caution. Biogen shares reflected that: having opened almost 40 per cent higher, they closed on Tuesday with a somewhat more modest 26 per cent gain.While the opportunity is huge, so are the hurdles. The theory that Alzheimer’s patients suffer from a build-up of amyloid plaques — hard clumps of protein between nerve cells in the brain — may have found statistical support in a large-scale human trial for the first time, but the full data will not be published until December.Biogen licensed aducanumab in 2007 from Neurimmune, a Swiss company which had found evidence some people benefited from antibodies that cleared away the plaques, and has been working to turn these antibodies into a potential drug ever since.In March a so-called futility analysis of its two late-stage trials for the drug found the benefits did not outweigh the risks. The company abandoned the trials, seemingly adding aducanumab to the list of once-promising Alzheimer’s drugs that have failed in the late stages of testing, leaving the industry with little to show for the billions of dollars spent.Mr Vounatsos said Biogen remained focused on finding treatments for the degenerative condition when other “companies are running away” and called the reversal “a testament to our persistence and pioneering role”.The Cambridge, Massachusetts-based company said studying a larger data set had shown aducanumab did work if it was taken at higher doses, improving patient cognition and their ability to perform daily tasks such as cleaning and shopping and slowing their clinical decline by 23 per cent compared to a placebo. Crucially, it announced that the US drug regulator was open to it filing for an approval. One of the two trials met its goal. On the study that failed, a subset of patients saw success: those who had taken more of the drug also had their decline slowed. Biogen had at first been cautious about giving higher doses because of a side effect that swelled the brain — but the majority of patients did not experience any symptoms. Paola Barbarino, chief executive of Alzheimer’s Disease International, which represents 100 Alzheimer’s associations and federations around the world, described the announcement as “the most positive piece of news we have had in decades” but warned that it was “quite early stages”. If one company is successful . . . that will create more interest and more pharmacological innovationAnalysts questioned whether the data really would be enough to convince the US Food and Drug Adminstration to approve the drug. Evan Seigerman, an analyst at Credit Suisse, warned investors to beware of “hype” around the prospective Alzheimer’s drug while it remains unclear which patients it works best for or how to decide on the right dose while avoiding side effects. Others were relieved they had not been wrong to be shocked in March. “After months of apologising for getting this story so wrong, we are relieved and not entirely surprised,” said Thomas Shrader, an analyst at BTIG. “Our detailed molecular thesis for aducanumab was that removing ‘junk’ from a patient’s brain should help.”Biogen must have received a “very strong signal” from the FDA to announce that it will seek approval, just a day after its second meeting with the agency, said Geoffrey Porges, an analyst at SVB Leerink. “I think the FDA of five to 10 years ago would have thrown this out and said, ‘Go and do another study.’ But the current FDA is fairly patient — and industry-friendly and seems inclined to find a way to approve the drug,” he said.Even if it does win approval, Biogen will have to be careful how it prices the treatment, given insurers and healthcare systems may struggle to pay for it for millions of patients. Mr Vounatsos would not discuss pricing at this stage, but said the disease created half a trillion dollars in direct and indirect costs, indicating how the company will seek to justify its price tag.James Kupiec, chief medical officer of PromisNeurosciences and the former head of Pfizer’s neuroscience unit, said Biogen’s reversal will “revitalise” the work pursuing the hypothesis that amyloid plaque causes the cognitive decline seen in Alzheimer’s patients, which many scientists had recently “poo-pooed”.Ms Barbarino agreed it could catalyse investment in the field. “If one company is successful . . . that will create more interest and more pharmacological innovation,” she said. It would also help draw new young researchers, with fresh ideas, to the work. “If all you hear is failure, people are less likely to join the fray,” she said. Few companies had given up entirely on Alzheimer’s research, Ms Barbarino suggested, since many big-name pharma businesses were at least continuing to explore data sets. Shares in smaller, Alzheimer’s-focused biotechs Denali Therapeutics and Alector rose more than 5 per cent on Tuesday.Alison Evans, head of policy at Alzheimer’s Research UK, said that scientists should also continue to look beyond the amyloid plaque. “It is really important we explore all avenues,” she said. “We have so much unmet need, we need as many shots on goal as possible.”
4;BIIB;Biogen Inc;2019-10-22T20:13:54Z;Biogen shares soar on plan to seek Alzheimer’s drug approval;Biotech group says new analysis shows benefits of aducanumab when taken at a high dose;Biogen plans to seek approval for an experimental Alzheimer’s drug that could be the first to treat the devastating disease, reversing course after abandoning the treatment earlier this year and sending its shares soaring by more than a quarter. The US biotech company said new analysis of a larger data set from its trial for aducanumab showed the drug had an impact on those suffering from the early stages of the neurological disease when taken at a high dose. Patients that received a high dose “experienced significant benefits on measures of cognition and function such as memory, orientation, and language”, the company said. They were better able to complete tasks such as cleaning and shopping, conducting personal finances and travelling independently. “Today is about hope and opportunity for patients first but also for the shareholders,” said Michel Vounatsos, Biogen’s chief executive. The share price rise — up $58.36 to $281.87 — added more than $10bn to Biogen’s market value.The company’s stock had dropped in March when it and its Japanese partner Eisai said they would halt trials after a futility analysis by an independent monitoring committee indicated the drug was not going to be effective. The end of two late-stage trials was a blow to patients suffering from the debilitating disease, which affects 5.7m people in the US alone. It was also seen as a sign that it was time to abandon the so-called amyloid hypothesis that memory loss is caused by a build-up of sticky plaques in the brain. Mr Vounatsos said Tuesday’s announcement was “truly heartening” in the fight against Alzheimer’s. “This is the result of groundbreaking research and is a testament to Biogen’s steadfast determination to follow the science and do the right thing for patients,” he said. “We are hopeful about the prospect of offering patients the first therapy to reduce the clinical decline of Alzheimer’s disease and the potential implication of these results for similar approaches targeting amyloid beta.”Since the studies were abandoned, more data have become available, with the data set now including 3,285 patients, more than 2,000 of whom took the drug for 18 months. Dr Anton Porsteinsson, director of the University of Rochester Alzheimer’s Disease Care, research and education programme, and principal investigator, said the larger data set was the first time a phase III study — a trial used to win approval for a drug — demonstrated that clearance of the plaque known as amyloid beta can reduce Alzheimer’s patients’ clinical decline. Participants in the trials will now be able to go back on the drug.The company will file for approval with the US Food and Drug Administration in early 2020 and is in talks with regulators in Europe and Japan.The findings could also be positive for other potential drugs that Biogen has in development, including another that targets amyloid plaques and some which try to tackle a build-up of tau protein, which disrupts brain function. It could even affect research and development of drugs in different neurlogical conditions. In third-quarter results released on Tuesday, Biogen’s adjusted earnings per share were $9.17, beating the average analyst estimate of $8.27. Net income was $1.5bn, up 7 per cent year on year. Revenue was $3.6bn in the quarter, higher than the consensus forecast of $3.5bn and up 5 per cent year on year. Shares in Biogen were 30 per cent higher at $289.82 in New York in morning trade. 
5;BIIB;Biogen Inc;2019-07-23T11:11:22Z;Biotech group Biogen boosted by sales of key drugs;Treatments for multiple sclerosis and spinal muscular atrophy help Biogen beat forecasts;Biogen, the neuroscience-focused biotech company, raised full-year guidance and beat earnings and revenue expectations, driven by sales of drugs for multiple sclerosis and the serious genetic disease spinal muscular atrophy.The Cambridge, Massachusetts-based company said it now expects revenue of about $14bn to $14.2bn for the full year, up from its prior guidance of between $13.6bn to $13.8bn. It raised its forecasts for statutory diluted earnings per share to between $29.60 and $30.40, an increase from the previous range of between $26.65 and $27.65.Michel Vounatsos, Biogen’s chief executive, said the company was on track for a “strong year”. He said the company has added four new assets to its pipeline, including two from its March acquisition of Nightstar Therapeutics for $877m.In the second quarter, Biogen reported better than expected adjusted earnings per share of $9.15, significantly higher than the average analyst estimate for $7.53.Net income was $1.5bn, 72 per cent higher than the same period last year, when the company spent on several deals including a 10-year pact with Ionis Pharmaceuticals and the acquisition of an asset it hopes could be used to treat schizophrenia from Pfizer.Revenues were $3.6bn in the quarter, compared to the consensus forecast of $3.47bn, and up 8 per cent year-on-year.Biogen’s stock plummeted earlier this year after it shut down a trial for a treatment for Alzheimers, along with its partner Japanese pharmaceutical company Eisai. The failure in a key disease area wiped $18bn from its market capitalisation in one day. Shares in Biogen, which are far from fully recovering their losses, rose 1 per cent on Tuesday to $234.48.
6;BIIB;Biogen Inc;2019-04-24T14:53:38Z;Biogen promises to plug pipeline gap after Alzheimer’s failure;Drug company’s chief Michel Vounatsos says it has the cash for share buybacks and M&A;Biogen said it was on the hunt for acquisitions to bolster its pipeline of drugs, as it tries to soothe shareholders disappointed by the failure of its experimental treatment for Alzheimer’s last month. Michel Vounatsos, chief executive, said the neuroscience-focused biotech company had the cash flow and balance sheet to do deals while buying back billions of dollars of shares.“I believe Biogen is set to rebound and I fundamentally believe that we will be back,” he said on a call with analysts to discuss first-quarter earnings. “We can do both buying back and M&A activities.” Shares in Biogen dipped almost 3 per cent in early trading in New York, despite the company beating expectations on earnings and revenue. Biogen has bought back $1.1bn of stock so far this year, part of a $5bn buyback programme. The stock fell 30 per cent in one day after the failure of a trial of an experimental drug for Alzheimer’s developed by Biogen with its Japanese partner Eisai. The companies discontinued two global Phase III trials of aducanumab after an independent monitoring committee found that the drug was not going to prove effective.The decision was a blow to efforts to defeat the disease, which more than 40m patients suffer from worldwide, after many other once-promising drugs had also failed. Biogen said it will examine the results of the failed trial to decide whether to push ahead with other programmes based on the same hypothesis that targeting amyloids — folded proteins in the brain — could treat Alzheimers. Michael Ehlers, executive vice-president of research and development, said it would continue to pursue potential treatments based on targeting another protein, called tau. He said Phase II trials of these alternative drugs showed “good target engagement”, but warned that the work was still “relatively early” and so “remains a risky programme”. As analysts raised concerns about the paucity of new drugs in the pipeline, the company stressed that it has 10 mid- to late-stage trials, from which it expects to publish data by 2020. Meanwhile, sales of Spinraza, the first drug approved for treating spinal muscular atrophy, soared 42 per cent year-on-year as it went on the market in more countries. Its US sales were $223m in the quarter and $295m from overseas. The number of patients receiving it grew about 5 per cent in the US and 24 per cent outside the US, compared with the previous quarter. The drug is now being sold in 40 countries. In February, Biogen received approval in China for Spinraza to treat the most common form of spinal muscular atrophy.Total sales of all Biogen’s drugs were $3.5bn in the three months until the end of March, above the average estimate for $3.4bn and an increase of 11 per cent year-on-year. Sales of a treatment for multiple sclerosis also contributed to the solid sales, as did biosimilars, in particular sales of a generic alternative to Abbvie’s blockbuster Humira in Europe. Biogen reported adjusted earnings per share of $6.98 in the first quarter, higher than the average analyst estimate of $6.84. Net income rose 7.7 per cent to $1.4bn compared the same quarter the year before. Mark Phipps, an analyst at William Blair, said that while growth in the near-term looks good for Spinraza, he is concerned about impending competition.Biogen said it believes Spinraza will be the standard of care for spinal muscular atrophy for years to come, and expanded its estimate of the number of patients suffering from the disease worldwide from about 20,000 to 45,000. 
7;BIIB;Biogen Inc;2020-04-24T21:00:03+0000;What next for Alzheimer’s research after latest drug failure?;Biogen’s aducanumab was last hope of one approach to the disease, but there are others;More than 40m Alzheimer’s patients worldwide suffered a setback this week when Biogen and Eisai dropped trials on an experimental treatment for the disease which leads to the loss of memory and mental functions.The US biotech company and its Japanese partner said on Thursday that aducanumab was not going to be effective, sending shares in Biogen tumbling 29 per cent.Brad Loncar, founder of Loncar Investments, which runs two biotech funds, said this was “a blow” for the hypothesis that has dominated Alzheimer’s research for the past five to 10 years: that you could stop symptoms by clearing the build-up of amyloid plaques in ageing brains that destroy connections between nerve cells.“This is really the final data point that shows we do not really know what is causing this disease and how to make an impact with a pharmaceutical,” he said.The first trial using a similar approach failed over 10 years ago and many including studies by Eli Lilly and Pfizer have failed since. Disappointed, Pfizer pulled out of neuroscience research last year.However, Biogen’s drug looked more promising after a paper published in Nature in 2016 showed that in a small drug, there was “a fairly meaningful stabilisation”, said Dr Adam Boxer, a professor in neurology at the University of California San Francisco.“It is a particularly big setback because there was more hope for this drug than for many of the other recent anti-amyloid therapies for which the trials were stopped,” he said.Biogen and Eisai have not yet released the full results of their trail but experts believe the drug may have been working on the wrong target.Scientists have been chasing ways to remove plaques since they first discovered them in autopsy studies of Alzheimer’s patients. But we now know there are many other indications of Alzheimer’s in the brain including tangles, twisted fibres of a protein called “tau”.Dr Howard Fillit, founding executive director of the Alzheimer’s Drug Discovery Foundation, explained that even though these kind of therapies can clear the plaques — the clear-up does not lead to an improvement in a patient’s progression.There are still some ongoing trials focused on removing plaques. Biogen has one in progress with a different treatment — known as BAN2401 — but analysts predict the company will also abandon it.Two large pharmaceutical companies are conducting trials using the same target, but earlier in the progression of the disease. Both are funded by the US National Institute of Aging. Roche has a five-year study in Colombia looking at people who are genetically predisposed to the disease but have not yet developed symptoms. Eli Lilly is working on a study of people who have normal memory function but when their brains are scanned, show an already elevated level of the amyloid plaques.Dr Heather Snyder, senior director at the Alzheimer’s Association in the US, said she believed it was important that “all avenues are explored”, especially the trials that were looking at people before they even have any symptoms. Just like in heart disease or cancer, they might discover treatments that work earlier — but wouldn’t work later, she said.Yes — but many are at very early stages.There are more than a hundred different drugs being explored and more than half of those are not focused on plaques at all, said Dr Fillit.Researchers are investigating different ways the brain ages such as how it processes glucose and inflammation problems, leading to trials at UK universities looking at repurposing, for example, diabetes and anti-inflammatory drugs.Biotech companies are taking a variety of approaches, with Bay Area start-up Denali Therapuetics exploring anti-inflammation strategies and Alector targeting the brain’s immune system. Arnon Rosenthal, chief executive of Alector, said the company was working on two trials: one of a drug that increases the activity of certain proteins linked to the disease, and another that decreases the activity of other associated proteins.“We found out the common denominator is that the immune system in the brain is not functioning. It is the police force or the national guard that makes sure everything works normally, that the good citizens, the nerve cells, are protected, and the pathological proteins are eliminated,” he said.Public market shareholders were burnt on Thursday as Biogen dropped dramatically and even companies with different approaches to Alzheimer’s fell: Alector was down 2 per cent and Denali Therapeutics dropped 7 per cent.As scientists return to the labs to work on earlier stage prospects, Mr Loncar of Loncar Investments believes that more government and academic funders would have to step up to replace funds from Big Pharma and public market investors, who might now make a different calculation about the likely return on an investment in Alzheimer’s, at least for the time being.There is already significant public funding for research, with the US National Institute of Health spending about $1.9bn a year in 2018, according to the Alzheimer’s Association. There are also many public-private partnerships, including a $250m Dementia Discovery Fund with contributions from the UK government, pharma companies and philanthropists including Bill Gates.The search for an effective treatment may have been pushed back, but with the Alzheimer’s Association forecasting the number of people in the US alone with the disease could triple to 14m by 2050, the need for an effective treatment is only growing — and a wide range of funders eager to help provide it.
8;BIIB;Biogen Inc;2020-04-24T21:00:03+0000;Biogen shares slump on Alzheimer’s drug trial failure;Drugmaker loses $18bn from market value after deciding to discontinue trials;US drugmaker Biogen and its Japanese partner Eisai will cease trials of an experimental Alzheimer’s treatment, the companies said on Thursday, dealing another blow to efforts to defeat the disease and sending Biogen shares down more than 29 per cent.The companies said they decided to discontinue the two global Phase III trials of aducanumab after a “futility analysis”, conducted by an independent monitoring committee, indicated the drug was not going to prove effective.The disappointment adds aducanumab to the list of once-promising Alzheimer’s drugs that have failed in the late stages of testing, leaving the industry with little to show for the billions of dollars spent. Alzheimer’s is the sixth leading cause of death among adults in the US, affecting an estimated 5.7m people in the US alone.Aducanumab was being tested on Alzheimer’s patients with mild cognitive impairment and mild dementia. The Biogen-Eisai statement said the recommendation to stop the studies was not based on safety concerns.“This disappointing news confirms the complexity of treating Alzheimer’s disease and the need to further advance knowledge in neuroscience,” said Michel Vounatsos, Biogen’s chief executive.Biogen shares were down 29 per cent in afternoon trading in New York, wiping off about $18bn from its market capitalisation, which stood at slightly more than $63bn on Wednesday. That sent the stock to its lowest level since mid-2016.The Alzheimer’s treatment was Biogen’s single most significant prospect in a pipeline of new drugs that investors hoped would secure the company’s future as existing products faced intensifying competition. Its multiple sclerosis treatment Tecfidera now has a rival from Genentech, and a muscular dystrophy drug Spinraza is expected soon to have a new rival from PTC Therapeutics. Tom Shrader, biotech analyst at BTIG, cut his rating on Biogen from “buy” to “neutral” as a result of the failure of aducanumab. A stroke drug in Phase III trials is not very exciting, he said, and the rest of the pipeline consists of “novel, high risk” medicines.But, Mr Shrader said, Biogen is “still an aggressive company with a knack for finding new directions”.A favourable performance of aducanumab in mid-stage Phase II studies last year appeared to offer some validation of the so-called amyloid hypothesis. This is the most common explanation for what might cause Alzheimer’s, and proposes that memory loss and other impairments are the result of a build-up of sticky plaques in the brain.The popularity of the hypothesis has fallen in recent years after drugs from Merck & Co, Eli Lilly and AstraZeneca, stumbled in final Phase III trials.Jim Kupiec, chief medical officer at ProMIS Neurosciences and the former head of Pfizer’s neuroscience unit, said targeting plaque had now been proven to be the wrong tactic. An alternative approach targeting different proteins in the brain called toxic oligomers is showing great promise, he said, although large-scale human trials are years away.“I’ve been in this piece of business for 15, 20 years or so and I don’t think I’ve ever been more encouraged and optimistic, there is real hope on the horizon for patients that have Alzheimer’s disease,” he said. Analysts took a knife to their Biogen share price targets on Thursday morning. Paul Matteis, co-head of biotech research at investment bank Stifel, forecast the stock could trade in the $200 to $240 range, compared with its previous close of $320.59. Mr Matteis also noted Thursday’s press release made no mention of another Alzheimer’s treatment, BAN2401, the companies had in development, whose future is cloudy. “We think Biogen could potentially pull back on its plans here (and we think that’s what investors would want),” he wrote in a note to clients.
9;BIIB;Biogen Inc;2020-04-03T03:00:05Z;Emerging market debt burdens may be sorely understated;Recent paper suggests overseas liabilities of EMs are greater than previously thought;For emerging economies, coronavirus struck first through the financial markets. Long before the numbers of cases and deaths in these countries began to spread alarm, many emerging markets experienced a sudden halt in foreign investment inflows.Overseas investors have taken $95bn out of EM stocks and bonds since late January, according to the Institute of International Finance, dwarfing the withdrawals that followed the onset of the global financial crisis in September 2008.As Covid-19 infections rise and fragile health systems struggle to cope, foreign investors may be low on the list of concerns for EM governments. But these outflows will have a big impact on the fiscal measures policymakers can bring to bear on the crisis.Emerging markets’ overseas liabilities, moreover, may be bigger than previously imagined. A paper published by Matteo Maggiori at Stanford and colleagues at Harvard, Chicago Booth and Columbia Business School suggests the true ownership of EM bonds by overseas investors is much greater than shown in standard data — in some countries, by many multiples.The paper also suggests that foreign holdings of shares issued by Chinese companies may be many times greater than the $160bn that shows up in US national accounts. Should US-China relations sour in the aftermath of the coronavirus crisis, these giant holdings could become a source of significant risk.Mr Maggiori and his colleagues question the normal practice of allocating securities in national accounts on the basis of the residency rather than the nationality of their issuer. It may make sense, for example, for a bond issued by a Brazilian subsidiary of Banco Santander to be added to the debt statistics of Brazil (the residency of its issuer) rather than Spain (the nationality of the issuer’s ultimate owner), because the bond’s proceeds are likely to be put to use in Brazil.But it makes much less sense for a bond issued by Petrobras International Finance Company, a Cayman Island subsidiary of the Brazilian oil group, to be added to the debt statistics of the Cayman Islands. Yet that is what happens in standard, residency-based financial statistics such as the US’s Treasury International Capital data (TIC) and the IMF’s Coordinated Portfolio Investment Survey (CPIS).Mr Maggiori says this results in a vast understatement of the investments by US, European and other international investors in emerging economies. So the academics developed an algorithm to reallocate the securities logged in the TIC and CPIS data according to nationality rather than residency.The results are startling. TIC data show that US ownership of Brazilian bonds at the end of 2017 amounted to $8bn, based on the residency of issuers. But restated by nationality, the total rises to $68bn. For Chinese bonds, the total rises from $3bn to $55bn. Mr Maggiori says the results sound a warning as the coronavirus crisis threatens to tip emerging markets into a debt crisis.“If we are going to see a wave of corporate defaults, it’s a risk worth thinking about that a lot of issuance has taken place offshore,” he said. “[Our work] shows that exposures are quite large.”What is also striking is the role played by tax havens such as the Cayman Islands. In the TIC data, of Brazil’s $59bn in reallocated bonds, $42bn were issued in tax havens. Of China’s $52bn, $44bn were issued in tax havens. The results also shine a light on the role of so-called variable interest equity structures in US investments in Chinese companies. VIEs allow US investors to hold shares in these companies, circumventing Chinese restrictions on foreign ownership of some operating businesses. But in these transactions what investors actually buy are shares in listed companies, generally resident in the Cayman Islands, that give them a claim on the profits of Chinese operating businesses.By reallocating such investments on the basis of nationality rather than residence, the paper shows that US “ownership” of Chinese companies at the end of 2017 was not $160bn, as shown in US national statistics, but $700bn. This puts it closer to the amount of Chinese ownership of US Treasuries, of about $1.1tn. This is significant because Chinese regulators are certainly aware of the smoke-and-mirrors act being carried out by VIEs. They could, should they wish, bring the practice to an end.Mr Maggiori is not suggesting they will. But he thinks the risk is worth noting. “You read a lot about the possibility of China dumping its US Treasuries but very little about the possibility of China imposing its own regulations. If we’re talking about one, we should certainly be talking about the other,” he said.jonathan.wheatley@ft.com
