;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;CF;Cf Industries Holdings;2016-05-24T17:34:40Z;Tax inversion crackdown claims $8bn fertiliser deal;CF Industries and OCI scrap planned tie-up after US rules change ‘materially reduced’ its value;A US government crackdown on tax inversions has prompted two fertiliser makers to scrap their $8bn deal because it “materially reduced” the value of a planned tie-up between CF Industries and its smaller Dutch-listed rival OCI.The deal’s collapse makes it the latest high-profile inversion to fall apart since the US Treasury stepped up efforts to curb the financial benefits to US companies of buying overseas companies and moving their tax domicile abroad.The same crackdown last month prompted drugmakers Pfizer and Allergan to walk away from $160bn merger that would have seen Pfizer relocate to Ireland for tax purposes.Tony Will, chief executive of CF since 2014, said: “Although the original deal created significant value for both parties, changes in the regulatory and commercial environments forced us to re-evaluate the combination.”The move brings this year’s total of withdrawn deals to $492bn, according to Dealogic.The deal’s collapse was cheered by Democrats on Capitol Hill who have been critical of inversions.Senator Elizabeth Warren, a liberal firebrand, told the Financial Times: “I’m glad to see American taxpayers won’t have to foot the bill for another giant company that wants all the benefits of doing business in the United States while skipping out on its taxes. This is exactly the kind of tax scheme I wanted Treasury to crack down on, and here’s proof that the new regulations are working.”CF will pay a break fee of $150m to OCI, which is run by Nassef Sawiris, Egypt’s richest man and the company’s chief executive. Shares in OCI fell almost 10 per cent to €12.22, giving it a market value €2.6bn. CF shares rose 6.3 per cent to $30.40 just after midday in New York.The OCI deal was Mr Will’s second failed attempt to clinch a tax inversion transaction. An earlier attempt to combine with Norway’s Yara International was also unsuccessful.Under a complex deal first agreed in August, CF would have set up its headquarters in the UK after buying OCI’s North America and Europe businesses. By doing so, the Illinois-based company would have been able to reduce its corporate tax rate from 35 per cent to 20 per cent.The move prompted fury from some US lawmakers including from Dick Durbin, the senior US senator from Illinois, who called CF’s plans “simply wrong”.After Treasury took some steps to crack down on inversions last year, CF and OCI modified their planned transaction and said the new company’s headquarters would be in the Netherlands.But the Obama administration further roiled the international mergers market in April by announcing a series of additional and unexpectedly aggressive steps to thwart inversions. The Treasury declined to comment on the decision by CF and OCI.I’m glad to see American taxpayers won’t have to foot the bill for another giant company that wants all the benefits of doing business in the United States while skipping out on its taxesThe administration’s moves made it harder for deals to qualify as inversions — and gain the attendant tax benefits — by changing the way the size of the companies is calculated.They also made it more difficult for inverted companies to minimise their US tax bills using a technique known as “earnings stripping”, which involves using internal loans to American subsidiaries to reduce taxable income.Sander Levin, a senior member of the House of Representatives, told the Financial Times: “Today’s announcement from CF Industries shows that Treasury’s actions are already having their intended effect of protecting the US tax base and stopping corporate tax inversions.”Rosa DeLauro, another House Democrat who welcomed the end of the fertiliser deal, said: “Every year, hardworking Americans fulfil their civic duty to pay taxes and it is completely outrageous that corporations exploit the US tax code to avoid doing the same.”The deal’s collapse will be a blow to CF, which has been facing lower margins because of lower fertiliser prices. Grain prices remain relatively low and China is flooding international market with lower-grade nitrogen fertilisers, pushing down the price.The sharp fall in natural gas prices had prompted new players into the nitrogen market, threatening margins at leading nitrogen fertiliser players such as CF, Koch Industries, PotashCorp and Agrium“The deal’s collapse will mean that CF has a weakened position . . . An independent OCI can only increase competition among suppliers for business, pushing prices and margins lower for all North America producers as a wave of new US capacity comes to market,” said Alistair Wallace, principal at consultancy CRU.A deal would have allowed CF to gain control of OCI’s new plant in Iowa, in the heart of the US corn belt. It will produce urea ammonium nitrate, a high-quality nitrogen fertiliser.
1;CF;Cf Industries Holdings;2016-05-23T20:05:18Z;US stocks drift lower in light trading;;The S&P 500 sputtered on Monday, with trading volume on the Big Board running about 25 per cent below the 30-day average, as investors eyed a smattering of corporate news.The materials sector stole the spotlight on the benchmark S&P 500, rallying 1.2 per cent, as Monsanto got a bid after Germany’s Bayer offered to buy the US agribusiness group for $62bn and CF Industries rallied after the US fertiliser company said it would ditch its planned buyout of the European and North American operations of Dutch rival OCI.On the other end of the spectrum, the utilities sector struggled after sliding more than 2 per cent last week as rising expectations for a rate rise by the Federal Reserve this summer put pressure on the group that is seen as a bond alternative because of its consistent dividend streams.Elsewhere, on the economic front, investors got a disappointing report on the US manufacturing sector from Markit, which showed factory growth nearly stalled this month. The continued struggle for manufacturers underscores the complexity of the decision faced by policymakers on when the Fed should raise interest rates.In commodities, US crude oil prices dipped by 0.7 per cent to $48.08 a barrel.The US dollar slipped by 0.1 per cent against a basket of six global currencies, but the greenback is set for its biggest monthly rise in half-a-year.
2;CF;Cf Industries Holdings;2016-05-23T06:10:22Z;CF Industries-OCI deal nixed in tax inversion crackdown;;CF Industries’ proposed $8bn takeover of the European and North American assets of Dutch rival OCI has fallen apart amid the latest US government crackdown on so-called tax inversion deals, whereby companies seek to cut their tax bill by acquiring a foreign company.Last August the US agricultural fertiliser maker said it had agreed to acquire the assets in a deal that would have made it one of the largest nitrogen fertiliser makers in the world. As part of that agreement, the Illinois-based company would have redomiciled in the UK to benefit from a lower tax regime.However in April the US Treasury announced it was taking additional steps to curb inversions, saying they are draining billions of dollars from the US tax system.On Monday Tony Will, chief executive of CF Industries, said that “changes in the regulatory and commercial environments” had forced a rethink. From the groups’ joint statement:The Treasury announcement on April 4, 2016 materially reduced the structural synergies of the combination. Since that time, both companies have worked together collaboratively to explore alternative transactions and structures that would be attractive to their respective shareholders. However, the companies were unable to identify an alternative acceptable to both parties and, therefore, agreed to terminate the combination.CF will pay OCI a termination fee of $150m. Nassef Sawiris, chief executive of OCI, added:Despite not having been able to reach an agreement on an alternative transaction or structure, we have the utmost respect for CF’s management and I would like to thank Tony and his team for all the effort.The level of goodwill and collaboration between the two companies has been positive at all levels of management since our discussions started last year, which leads me to believe that in the future we can explore alternative ways of collaboration or structures to create value for our respective shareholders.
3;CF;Cf Industries Holdings;2016-04-05T18:06:15Z;Washington slams shut Pfizer’s tax loophole;Rule tweaks are not the answer to a dysfunctional system;"When a public outcry greeted the announcement of Pfizer’s tax-driven $160bn takeover of Allergan last year, Ian Read, the US pharmaceuticals group’s boss, expressed astonishment that anyone might want to frustrate such a bounteous transaction.Far from a scandal, it was, he said, “a great deal for the US, given that it frees us up to invest in American science”.Even then, this was an eccentric interpretation and it is one that Washington has now comprehensively rejected. A number of US Treasury rules, announced on Monday, place fresh obstacles in the path not only of so-called inversions whereby US companies cut their tax bills if they move their domicile to another country. They also put a barrier directly in the path of Mr Read’s tax-inverting Allergan deal.The administration has tightened the rules that require the non-US party to such a transaction to own at least 20 per cent of the combined group for the new entity to invert and move offshore. These now ignore any shares issued by that company to buy US businesses or assets over the previous three years, thus reducing the “qualifying” stake that determines whether it can obtain the tax benefits from the deal.The change will specifically catch Allergan, which has more than doubled in size through two US deals since 2014, and thus cut — or even eliminate — the fiscal benefits of putting the two sides together. The market has delivered its verdict: Allergan shares have fallen by more than 15 per cent.Few will mourn the upsetting of Mr Read’s latest attempt at fiscal Houdini-ism disguised as an industrial transaction. Politicians from all parties have lined up to attack the unseemliness of a publicly supported pharmaceuticals industry gleefully exploiting tax loopholes.But Washington is not depending on this surgical strike alone to deter the practice of inversions. The Treasury has also ordained another rule of more general application. This will remove the debt interest shield in situations where a non-US company lends to its American subsidiary not to fund specific investments, but primarily to cut its 35 per cent corporate tax rate.This not only makes it harder to achieve the benefits of inversion; it also serves a wider anti-avoidance purpose. It will make it much trickier for multinationals to “manage” their US corporate tax liability by using inter-company loans to carry their profits off to more easy-going climes.There is nothing magical about debt interest that requires it to be tax deductible. There is much to be said for evening up the playing field between corporations with global operations, for whom such tax arbitrages are possible, and smaller companies that have to pay the full whack.But these short-term fixes will do little to resolve the deeper problems with America’s dysfunctional corporate tax code. The system already is a rolling bonanza for clever lawyers and accountants.It would be far better for the White House to grit its teeth and embark on wider reform. Inversions, after all, do not exist in isolation. They are the consequence of an ill-designed tax regime.At 35 per cent, US corporate tax is among the highest in the developed world. Yet while Jack Lew, the Treasury secretary, talks about the need for legislative action, the White House has disdained expending political capital on wider measures. This cannot be the final answer. Constant rule tweaks cannot deliver both fairness and simplicity. The corporate world keeps throwing down the fiscal gauntlet. One day politicians need to pick it up."
4;CF;Cf Industries Holdings;2016-03-07T21:33:43Z;Energy sector stands out as oil extends rebound;Materials sector is firmer on brighter outlook for the Chinese economy;The resurgence in shares of US energy producers remained the most striking trend on Wall Street even as the broader equity market struggled for direction.A strong rally in the oil price lifted the S&P 500 Energy sector up 2.4 per cent, with Murphy Oil and Southwestern Energy clocking gains of 12.6 and 9.7 per cent respectively.The energy sector has chartered a volatile course this year, whipsawed by the swings in the oil price. West Texas Intermediate, the US oil benchmark, fell as low as $26.21 on February 11 but has since rallied hard, rising 42 per cent. On Monday it was up 5.6 per cent at $37.94.The advance comes as the number of rigs drilling for oil in the US has dropped to the lowest level since 2009 and as Saudi Arabia and Russia have agreed to freeze crude output at January levels.The materials sector, whose fortunes are shaped by the outlook for the Chinese economy, also had a better showing with a 1.2 per cent increase. CF Industries was the biggest gainer in the materials sector, advancing 6.6 per cent to $36.88, while shares in Alcoa gained 4.9 per cent to $10.04.The sector was helped after China’s Premier Li Keqiang laid out a plan to target growth of between 6.5 per cent and 7 per cent this year — more ambitious than many economists had forecast.Anxiety about the Chinese economy is enduring a significant retreat from the double-digit growth that marked much of the last two decades and has been one of the several drags on the US stock market in 2016.Monday, though, proved a calmer day for the wider stock market. By the close of markets in New York, the S&P 500, the broadest gauge of large-cap US stocks, had edged up 0.1 per cent to 2,001.76. After a three-week rally, the index has trimmed its loss for the year to 2 per cent from 10 per cent.The relative lack of direction was echoed by the Dow Jones Industrial Average, which was up 0.4 per cent at 17,073.95, and the Nasdaq Composite, down 0.2 per cent to 4,708.25.Elsewhere, gold miners advanced on Monday as the precious metal advanced ahead of the Federal Reserve’s monetary policy setting meeting next week. Expectations for a rate rise in March remain low and that has bolstered sentiment for the non-yielding precious metal.Gold prices have advanced more than 19 per cent so far this year and hit a 13-month high in the previous trading session.Shares in Barrick Gold advanced 1 per cent to $13.86, while shares in Newmont Mining climbed 1.6 per cent to $26.53. Shares in Kinross Gold advanced 0.8 per cent to $3.02 and AngloGold Ashanti shares rose 3.7 per cent to $13.40.Shares in Celldex Therapeutics fell 53.7 per cent to $3.79, after the biopharmaceutical company said it would discontinue a late-stage study of its brain cancer treatment, Rintega, after an independent interim analysis showed disappointing results.Meanwhile, shares in Dunkin’ Brands, the company behind Dunkin’ Donuts and Baskin-Robbins, fell 2.4 per cent to $46.97 after analysts at Guggenheim Securities downgraded the stock to “neutral” from “buy”.
5;CF;Cf Industries Holdings;2015-10-30T17:51:49Z;Pfizer deal provokes further anger over tax inversions;Obama administration eyes measures to crack down on domicile-shifting mergers;The Obama administration is moving towards finalising measures to deter mergers designed to slash US companies’ taxes as further outrage over the deals is stoked by Pfizer, the drugmaker.After a 13-month wait, the US Treasury could announce a second round of action to deter the inversion deals before the end of this year, say well-connected Washington tax experts.Pfizer thrust the deals back into the spotlight this week by confirming it was in talks with Allergan over a $120bn takeover.Acquiring Allergan would allow Pfizer to complete a tax inversion by switching its domicile from the US to Europe, in a move that would slash the amount of American corporation tax it pays. Allergan paid an effective tax rate of 4.8 per cent last year versus 25.5 per cent for Pfizer.The talks triggered more condemnation of the deals from politicians in Washington, where Democrats and Republicans have railed against them for hollowing out the US tax base.Senator Dick Durbin, a senior Democrat and leading critic of inversions, said: “When corporations choose to invert and don’t pay their fair share of taxes, they leave the rest of us to pick up the tab. That isn’t right.”Policymakers, however, have struggled to find a way to put a stop to them.In September 2014 the Treasury announced a first round of anti-inversion measures— which sought to make the deals more difficult and reduce their economic appeal — and promised more.A Treasury spokeswoman said: “We are continuing our review of a broad range of options for further action.” She declined to comment on the timing of its impending measures or the Pfizer-Allergan talks.Although the Treasury’s steps last year initially chilled inversions, the deterrent effect soon faded.At least six companies have successfully struck inversions since it acted, including large transactions this year by Coca-Cola Enterprises, one of Coke’s main bottlers, and CF Industries , the fertiliser maker. And a handful of others have been attempted.Talks to create world’s largest drugmaker face US tax and price hurdlesRead moreThe Treasury spokeswoman said “there is a limit to what we can do administratively” and repeated the administration’s longstanding call for Congress to stop inversions by changing the law, which was unlikely in the near future due partly to bad blood on Capitol Hill.Steve Rosenthal, senior fellow at the Tax Policy Center, a think-tank, has discussed anti-inversion measures with Treasury officials and said the conditions for further action had fallen into place.“Treasury had laid the groundwork, the need for those measures is clear as more companies migrate abroad, and the political impediments have now disappeared, so everything is aligned for them to do something,” he said.The Obama administration had been waiting to see if Paul Ryan’s chairmanship of the House of Representatives’ tax committee this year would spur legislative reform, but turmoil in the Republican party and his elevation to House speaker this week have upended things.In addition, Mr Rosenthal noted, the buzz of the 2016 presidential election is increasing and President Barack Obama’s remaining time in office is shrinking. “I expect [Treasury action] is only a matter of political will now. The technical people are well informed.”The Treasury measures are expected to curb the attractions of “earnings stripping”, a process of loading up US subsidiaries with debt owed to foreign head offices so that the interest payments — often substantial — can be deducted from their US taxable income.Sandy Levin, the top Democrat on the House tax-writing committee, said: “Congress must realise that while the administration’s [initial] actions to curb tax inversions have had some impact, as companies continue to contemplate possible tax inversions, it is our responsibility to act to address this loophole once and for all.”Additional reporting by Arash Massoudi
6;CF;Cf Industries Holdings;2015-08-12T13:41:29Z;US senator rails at CF Industries’ plan to redomicile to UK;Fertiliser group criticised for plan to cut tax exposure via inversion deal after $8bn OCI takeover;"A senior US senator has called an $8bn takeover by fertiliser maker CF Industries “simply wrong”, urging the Illinois-based company not to move its corporate tax base to the UK as part of the deal.The political attention comes as shares in CF Industries fell more than 6 per cent on Tuesday as a devaluation of the renminbi by Beijing raised concerns about lower-priced products from China, one of the largest exporters of nitrogen fertiliser, flooding the market.Dick Durbin, the second-highest ranking Democrat in the US Senate, has been a vocal critic of tax inversions, which involve companies using corporate takeovers to escape the reach of US tax authorities.In a letter to top executives and the board of CF Industries, Mr Durbin said: “After benefiting from investments by US taxpayers that helped make your business what it is today, CF Industries’ plans to invert and move its tax address outside the US are simply wrong.”He added: “When a company with a proud history in the US walks away from our nation for a tax break and a temporary boost to its bottom line, one has to ask whether short-term profit is your only measure of corporate responsibility and success.”In the past week, three US companies including CF Industries have struck deals that pave the way for them to redomicile to Europe and lower their exposure to US taxes.CF Industries has agreed to buy the Europe and North American assets of Dutch-listed rival OCI in an $8bn deal including debt that will create one of the largest nitrogen fertiliser makers in the world. The transaction consolidates CF Industries’ position in North America while giving it an international distribution network.An Obama administration crackdown to stop US businesses pursuing takeovers that let them escape the country’s high corporate tax regime was dealt a sharp rebuke on Thursday, after two deals paved the way for more companies to move their domicile to Europe.Continue readingCF Industries will own about 72 per cent of the combined company and move to the UK as part of the deal. By doing so, it will in effect be able to reduce its corporate tax rate from 35 per cent to 20 per cent.Mr Durbin has singled out other inversions, often involving companies in his home state of Illinois, as the pace of these deals has increased markedly in the past two years. At least 15 inversions were reached in 2014 before the US Treasury took specific actions to reduce the attractiveness of these deals.But the Obama administration and senators such as Mr Durbin have failed to muster support to pass legislation through a Republican-controlled Congress to further inhibit these deals.Deal advisers have said that interest in such deals has picked up once again and that more tax inversions are being attempted, including Monsanto’s $45bn pursuit of Swiss agribusiness rival Syngenta. Mr Durbin has also urged Monsanto’s leadership not to pursue an inversion as part of its bidding efforts.At least one large inversion collapsed last year; Illinois-based AbbVie’s $53bn takeover of UK drugmaker Shire, owing to the crackdown by the US Treasury. Walgreens, another Illinois-based company that Mr Durbin has criticised, also decided not to pursue an inversion last year as part of its deal with Alliance Boots.CF Industries said it would respond to Mr Durbin when it was ready.Start rewriting the archaic US tax laws, Sen Durbin / From Christopher S Buckingham"
7;CF;Cf Industries Holdings;2015-08-11T13:21:44Z;Terex becomes third US group in week to announce tax inversion;Crane maker Terex unveils redomicile deal with Finnish rival Konecranes in blow to US tax regime;Terex, the industrial crane maker, has become the third US company in a week to strike a cross-border deal that will allow it to redomicile to Europe and escape the reach of US tax authorities.In the latest blow to the Obama administration’s efforts to limit so-called tax inversions, the Connecticut lifting equipment group said it had reached an all-stock deal with Finnish rival Konecranes to create an industry leader with $10bn in annual revenues and a combined market value of $5.7bn.Once the deal is completed, the new company will be based in Finland and able to take advantage of that country’s 20 per cent corporate tax rate — rather than the 35 per cent rate for US companies.Terex has paid an average tax rate of about 28 per cent over the past three years, according to its annual reports.By carrying out a tax inversion, Terex will also gain low-cost access to its offshore cash pile, which has grown since it outbid Konecranes to buy European rival Demag in 2011.If Terex had sought to repatriate those funds to the US under its existing structure, it would again have been liable to tax at 35 per cent.Such is the political sensitivity of tax inversion deals that the press release and slides released to announce the deal made little reference to its tax benefits.News of the Terex-Konecranes merger comes days after Coca-Cola Enterprises, a bottler of Coke products in western Europe, and the US fertiliser maker CF Industries announcedseparate deals under which each will redomicile to the UK. The merger brings to six the total of tax inversion deals struck since the US Treasury sought to crack down on the practice.More are being discussed, dealmakers have said, including Monsanto’s $45bn pursuit of its Swiss agribusiness rival Syngenta.Last week, the US Treasury said in a statement that it is continuing to review a broad range of options for further anti-inversion measures. But the Obama administration has failed to muster the support it needs to pass legislation through the Republican-controlled Congress to clamp down on the practice.US companies have regained their appetite for foreign takeovers that allow them to move overseas and escape US taxes, in spite of a White House crackdown to restrict tax inversions last year. According to several senior corporate advisers in the US and Europe, demand for such deals has picked up and raised the expectation that more transactions will be announced this year.Continue readingBilled as “merger of equals”, the Terex deal will involve its shareholders receiving 0.80 Konecranes shares for each of their existing shares.They will own 60 per cent of the combined company, with investors in the Finnish company holding the remaining 40 per cent.Konecranes chairman Stig Gustavson will take up the same role in the new company, while Terex will pick a chief executive. It is unclear whether Ron Defeo, Terex chief executive, will stay with the combined company.Terex will nominate five directors to a new nine-member board, while Konecranes will elect the remainder.A share buy-back programme worth up to $1.5bn will be launched after the deal closes in the first half of 2016.Both groups are seeking cost savings and aim to cut $121m within three years. An additional $35m boost to post-tax income is expected “from financing, cash management and structure optimisation, implemented within first year after closing”, they said.Shares in Konecranes rose 19.3 per cent to €33.43 while Terex climbed 22 per cent to $26.67 in premarket New York trading.Perella Weinberg Partners and Skadden Arps advised Konecranes.
8;CF;Cf Industries Holdings;2015-08-06T19:19:40Z;Deals challenge US inversions clampdown;Revival in tax-driven transactions show limits of Treasury efforts;An Obama administration crackdown to stop US businesses pursuing takeovers that let them escape the country’s high corporate tax regime was dealt a sharp rebuke on Thursday, after two deals paved the way for more companies to move their domicile to Europe.In separate transactions, three of Coca-Cola’s European bottlers agreed a $27.5bn merger to form the region’s largest distributor of Coke products, while fertiliser maker CF Industries acquired assets from rival OCI for $8bn including debt.Both will create new UK-based companies in so-called tax inversion deals, highlighting corporate America’s desire to move its tax base overseas.The deals are a further indication that efforts last year by the US Treasury — and backed by President Barack Obama who labelled inversions as “unpatriotic” — have failed to stem interest in the manoeuvre.At least 15 companies successfully struck inversions last year before the Treasury took action to limit the attraction of such deals.Including Thursday’s activity, five large inversions have been agreed in 2015 and several more attempts are under way, including Monsanto’s $45bn pursuit of Switzerland’s Syngenta.Advisers said that the appetite for inversions has been at fever pitch again in recent months, as the Obama administration failed to gather congressional support to pass legislation intended to further stymie these deals with important tax components.Frank Aquila, a partner at Sullivan & Cromwell, said: “US companies will continue to seek opportunities to level the playing field until Congress and the president recognise that the US tax code disadvantages US businesses.”Dealmakers believe more large inversion deals are coming, given the reluctance of a Republican majority in Congress to clamp down on deals without an agreement for broader tax reform.Three of Europe’s main bottlers of Coca-Cola products are to combine in a $27bn deal to simplify manufacturing at the world’s largest drink maker as it seeks to cut costs at a time when consumers are shifting away from its fizzy drinks.Read on . . .Christopher Cox, chairman of the corporate practice at law firm Cadwalader, Wickersham & Taft, said companies were still able to navigate the Treasury actions to complete beneficial inversions.“The new regulations removed the benefits of so-called ‘hopscotch’ loans, which allow trapped offshore cash to be used to finance inversion transactions,” said Mr Cox. “But the door to do tax inversions is still wide open and for many companies it is still a very effective way to cut tax costs.”The Treasury pledged last year to introduce a second round of anti-inversion measures and a spokeswoman said on Thursday: “We are continuing to review a broad range of authorities for further anti-inversion measures to close loopholes that permit some taxpayers to avoid paying their fair share of taxes and we expect to issue additional guidance to further limit inversion transactions in due course.”The revival in inversions is helping to accelerate the pace of dealmaking since inverted companies have tax advantages over their non-inverted US rivals when seeking further acquisitions.Foreign-domiciled companies have spent $315bn since January to buy US-domiciled targets, according to S&P Capital IQ, close to the record for the whole of 2007, the previous peak.Many of these acquirers have been assisted by a lower tax rate, allowing them to compete more aggressively against would-be US acquirers. That is putting pressure on US companies, who complain that the US tax code is hurting their ability to compete globally.$315bnSpending on US-domiciled targets by foreign acquirers since JanuarySteve Rosenthal, senior fellow at the Tax Policy Center, a non-partisan think-tank said the Obama administration had been distracted by efforts on Capitol Hill — so far fruitless — to overhaul tax laws as part of an infrastructure bill.“But who’s to say Congress will do anything? We’ve been waiting for a decade. It behoves Treasury to write [more anti-inversion] regulations on their own to the extent they can,” he said.The White House would not comment on specific companies, but a spokeswoman said President Obama had made clear that Congress needed to act to close “one of the most unfair tax loopholes that allows” inversions.“Our organisation will be driven by marketing concentrate, not by bottling”, said a Coca-Cola Company executive at a recent investor event. Alas the Coke supply chain is not as simple as the soda’s formula of high fructose corn syrup and water.Read on“While [Treasury secretary] Jack Lew has announced steps that the Treasury department is taking to reduce the benefits of this loophole, only Congress can close this loophole entirely, and the president continues to call on Congress to act,” she said.While Coca-Cola Enterprises has not operated in the US since 2010, the US-based company with the exclusive licence to bottle Coke products in several western European countries has built a large overseas cash pile.It will be able to access its non-US profits at a much lower rate than if it were to repatriate the funds. Coca-Cola Enterprises will own 48 per cent of Coca-Cola European Partners, which will be formed from a combination with its Iberian and German counterparts.Meanwhile, CF Industries has the highest tax rate among its peers at 35 per cent. The deal for OCI will allow it to lower that rate to 20 per cent, the company said.
9;CF;Cf Industries Holdings;2020-04-16T04:01:47Z;Ethical investors want more proof of good deeds;Clients and advisers push for tougher validation of data;Last year, investors ploughed $20.6bn into US sustainable investment funds compared with $5.5bn of net inflows in 2018, according to Morningstar, the data provider.But despite the near fourfold increase in investor interest, advisers are sceptical about the company and asset management data showing the environmental, social and governance impact of the funds themselves.“I struggle mightily. I don’t believe the indexes. They are using self-reported data and I just don’t buy it,” says Traci Richmond, a financial adviser with The Meakem Group in Bethesda, Maryland.The problem with ESG data is the lack of verification. “There’s so much data and information out there, it’s really, truly a data war,” says Tim Williams, the director of education initiatives at the Money Management Institute, a trade association.Morningstar, Bloomberg and MSCI are among the providers of ESG data and rankings. Each has recently attempted to address investors’ scepticism by seeking out more third-party verification. MSCI, for example, points to “alternative data sets” published by “sources outside of the company” that help “minimise reliance on voluntary disclosure”.There is also a growing trend to adopt ESG reporting standards set by organisations such as the Sustainability Accounting Standards Board (SASB) and the Task Force on Climate-Related Financial Disclosures (TFCD). But these bodies cannot set mandatory rules on data verification.I don’t believe the indexes. They are using self-reported dataThe US Securities and Exchange Commission has resisted adopting measures that some investor groups have proposed. Hester Peirce, one of the commissioners, has been openly disdainful of the ESG trend, describing it as “labelling based on incomplete information, public shaming, and shunning wrapped in moral rhetoric preached with cold-hearted, self-righteous oblivion to the consequences, which ultimately fall on real people.”Even so, late last year the SEC sent letters to some fund managers who target socially responsible assets, asking them to provide data on what factors they took into consideration.With no clear state-backed scrutiny of ESG data, investors and advisers must uncover deficits or misrepresentations in the growing pool of facts and figures themselves. “The challenge is how do you take all that information and turn it into useful investment decisions at all levels of the food chain,” Mr Williams says.Many wirehouses, the national brokerages selling investment services via advisers, have started to provide tools and resources to help clients better evaluate ESG data — and not just accept them at face value.Morgan Stanley, Merrill Lynch, Wells Fargo and UBS have increased their spending to acquire higher quality data and better sorting mechanisms for funds and assets that purport to be socially responsible.Last summer, Morgan Stanley launched a tool to help investors and advisers uncover misalignments between their portfolios’ assets and socially responsible objectives. The tool only uses third-party verified data and identifies where data quality deficits persist, says Courtney Thompson, a vice-president in Morgan Stanley’s Global Sustainable Finance group. “Having the data available is a key [and is] driving traction around the investments.”Morningstar also advises investors to be sceptical of fund managers and companies claiming a socially responsible focus. “I would caution investors that, while ESG index funds on the whole separate ‘better’ ESG companies from ‘worse’ ones reasonably well, those decisions are not based on fundamental evaluations and mistakes can be made,” says Jon Hale, Morningstar’s head of sustainability research. “Companies have started to understand that their ESG and sustainability disclosures are being scrutinised more heavily, and that helps.”Investors should seek underlying holdings reports from fund managers “so they can look at really what exposures they have”, says Vanessa Jilot, a financial adviser at Viewpoint Financial Network in Pleasanton, California. “My clients hope that, as you have more money moving to request ESG data, reporting will get better.”
