;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;DVN;Devon Energy Corp;2016-11-10T11:16:21Z;Independent US oil producers increase hedges for 2017;Companies look to support cash flows and investment even if prices weaken;US independent oil producers have taken advantage of the recent bump in crude prices to lock in future revenues, building up derivatives positions for 2017.In third-quarter earnings reports over the past three weeks, several US exploration and production companies said they had hedged significantly more of their expected oil sales for the coming year than they had done at the equivalent point of 2015 in preparation for this year.The additional protection from hedges will support cash flows and investment plans even if crude prices continue to weaken, helping to sustain US oil production.Devon Energy, Cimarex Energy and Murphy Oil are among companies that had no hedges a year ago for 2016 production, but are now using futures and options to guarantee some of their income for next year.Other companies, including Oasis Petroleum and Denbury Resources, that used derivatives to hedge for this year, have put in place higher levels of protection for 2017.David Hager, Devon’s chief executive, told analysts on a call last month that its hedges would help the company cover its planned capital spending from its operating cash flow.He said: “Hedging significantly more helped underpin and provide more comfort to the cash flows that we’ll have in 2017.”Opec ministers’ announcement in September that they intended to cut the cartel’s production helped drive oil prices higher, and benchmark Brent crude hit a peak of more than $53 per barrel last month.Prices have since slipped back, as it became clear that Opec’s members were struggling to agree how to implement the plan, but the temporary bump created opportunities for producers to hedge on more attractive terms.The total volume of oil committed in short positions held by producers, traders and users — a rough guide to production companies’ hedging — last month hit a five-year high at about 608m barrels, more than double its level at the previous low point in September 2014.Philip Verleger, an energy economist, said US oil companies had cut their costs to the point that they could lock in profits for the coming year even though futures prices were lower now than they were a year ago.“They rely on technology to increase yields and they don’t gamble on prices,” he said. “It’s a manufacturing business.”Roger Jenkins, chief executive of Murphy, said the company had traditionally not done much hedging but had now become more active.For its gas production in the Montney shale of western Canada, Murphy has hedged about 50 per cent of its expected sales to lock in returns. Mr Jenkins said the company’s gas wells would break even at any price above C$2.10 ($1.57) per thousand cubic feet, and benchmark US gas is about C$2.80 per thousand cubic feet.Other companies that have made use of derivatives continue to do so. Pioneer Natural Resources has hedged about 75 per cent of next year’s production and Whiting Petroleum has hedged about 49 per cent. For both companies, those are about the same proportions as at the equivalent point last year.The downside of hedging, however, is that it can mean giving away some or all of the upside if prices rise. Some US exploration and production companies, often the larger and financially stronger ones, including EOG Resources, Hess, Noble Energy and Continental Resources, do not hedge.
1;DVN;Devon Energy Corp;2016-08-28T16:27:59Z;Cost reductions help US shale oil industry pass first real test;Companies respond to price plunge with dramatic cost-cutting;The philosopher Friedrich Nietzsche once wrote, “That which does not kill me makes me stronger.” It could be the motto of the US shale industry.Ever since the shale boom started, there have been critics arguing that it was all too good to be true. Sceptical analysts warned that the industry would collapse like a house of cards if oil and gas prices fell.This summer has brought the strongest evidence yet that they were wrong. Since prices began to fall two years ago, some shale producers have wilted, and dozens have folded. Many others, however, have been tempered by adversity. The second-quarter earnings statements from US exploration and production companies earlier this month showed some remarkable cost reduction numbers — not aspirations, but achieved results. Pioneer Natural Resources said it had reduced its production cost per barrel by 26 per cent since last year. Devon Energy said costs were down 40 per cent from their peak.Some of the fall came from lower prices in the supply chain. Pioneer’s contracts for steel tubes and cement ran out last year, and its new contracts cost 30-35 per cent less.Other cost reductions arose from internal innovations in well design, drilling and completions. EOG Resources, for example, is saving money by running drilling and cementing operations on multiple wells at the same site simultaneously. Continental Resources said it had cut the time needed to drill a well in the “Stack” shale oil area of Oklahoma by 44 per cent since last year.The cost cuts achieved by driving down suppliers’s rates could be reversed in a recovery, as staff, rigs and pumps for hydraulic fracturing are put back to work. Dave Lesar, chief executive of Halliburton, the oilfield services group, argued last month that its businesses serving US shale producers “will likely be the first and deepest beneficiary of growing supply shortages”.But savings achieved through efficiency gains will be permanent. Vicki Hollub, chief executive of Occidental Petroleum, told analysts that about 80 per cent of its savings in the Permian Basin of west Texas came from improved well design and drilling techniques, lower materials costs and enhanced logistics.The savings mean that US shale reserves, which a few years ago were in the upper-middle section of the global cost curve, now include some of the world’s lowest-cost sources of new oil, according to Wood Mackenzie, the research company.Meanwhile, the view that shale production will always need a sustained inflow of capital is fading, as companies cut spending to live within their means. In the second quarter, 58 leading E&P companies covered by Bloomberg reported total capital spending that was just $2.7bn greater than their operating cash flow, compared to a $9.7bn deficit in the equivalent period of 2015.Falling costs have made it possible for activity to rise even as spending has shrunk. As Mr Lesar puts it, the industry is “getting back to business”.Last week there were 316 rigs drilling the horizontal wells used for shale oil, up 68 from the low point in May, according to Baker Hughes, the oilfield services group.This increase has come even though US crude has never been above $52 per barrel though that time, and at one point was below $40.In 2015, the recovery in rig use had a false start. It got going when US crude was about $60 per barrel and evaporated as oil slipped lower in the second half of that year. The cost cutting done since then means that this year’s upturn is more likely to be sustained.The pressure on costs and capital spending remains intense. US crude production dropped by 800,000 barrels per day between April 2015 and May 2016, and is still in decline. Companies including Marathon and Continental have indicated that US crude needs to recover to about $60 before they would be happy to make the investments they need to increase production. Pioneer and EOG, which are projecting robust growth at prices around $50, are unusual.However, the fall in US oil output is now gentler than seemed likely in the spring. Some companies, including ConocoPhillips, Continental and Pioneer, have even raised their guidance for expected production.The shale oil industry, born at the end of the last decade, has still not yet been through a complete cycle of rise, fall and recovery. With no precedents, there was inevitably uncertainty about how it would respond, and that has not been dispelled completely. But the industry has now faced its first real test. So far, it is passing.ed.crooks@ft.com
2;DVN;Devon Energy Corp;2016-07-26T04:00:45Z;Dismal delivery puts big oil and gas energy projects at risk;The majors can no longer afford delays or cost overruns on ‘megaprojects’;Oil companies have tens of thousands of employees, tens of billions of dollars in reserves, and decades of experience in running large investment projects.Yet time and again big oil companies prove themselves incapable of completing their projects on time and on budget.In 2009 Chevron’s Gorgon, a liquefied natural gas project in north-west Australia, was expected to cost $37bn and start production in 2014. It has ended up costing about $54bn and came on stream this year. Soon after it started, it suffered a gas leak that meant production had to be shut down.Kashagan, a $50bn oil development in the Caspian Sea in Kazakhstan, took nine years to move into production after it was given the go-ahead in 2004.Within weeks of celebrating first oil, the international consortium running the project was forced to shut it down after corrosive gas was discovered to be leaking from pipelines.Royal Dutch Shell, one of the companies in the consortium running the project said in March that the group expected to restart production around the end of 2016.Those are far from isolated occurrences. A study of 365 oil and gas “megaprojects” by Ernst & Young, the professional services firm, found 64 per cent faced cost overruns and 73 per cent were behind schedule.Of the 20 largest, only seven were being delivered in line with the budget approved when the final investment decision was taken. Three were running 75-100 per cent over their initial budget, and the average cost overrun was 23 per cent.Analysis published in June by McKinsey, the management consultancy, showed eight recent large oil and gas projects had ended up costing more than twice as much as originally estimated.“The industry has got a real problem,” says Chris Pateman-Jones of Ernst & Young. “Projects are becoming larger and more complex and more challenging . . . Even if they were to hit their targets, they could still be uneconomic.”Such analysis illustrates the quandary facing the oil majors such as BP and Chevron, challenged by the boom in shale oil and gas production from their smaller, nimbler rivals in North America and by state-controlled rivals in resource-rich countries. Their fortunes are also threatened by policies to cut carbon dioxide emissions that are curbing demand for fossil fuels.Yet with oil prices low and capital spending plans slashed, the prices of oil services and equipment are falling. So, this could be a good time to start spending on projects that will come into production as oil prices recover.But such a strategy will only pay off if those projects are completed efficiently. “To reap the benefits of investing in these large projects at the bottom of the cycle, it’s critical that the operators deliver them on time and on budget,” says Angus Rodger of Wood Mackenzie, the research company. “The industry’s recent record at delivering major projects has been dismal, so that needs to improve.”Even before the oil price crash of 2014, large developments were falling out of favour because of rising costs and declining profits across the sector. In 2007-13 there were about 40 large projects approved by the oil and gas industry worldwide each year, Mr Rodger says. Last year there were just eight, and this year there are likely to be about 10.Chevron has signalled a shift away from large projects towards smaller investments, including in shale in North America.But even those that do have shale reserves find it hard to compete with their smaller, more agile rivals such Devon Energy and EOG Resources, which have made all the running in the industry. In shale, bigger is not better.If projects cannot be made more efficient, they may never get off the ground.For big oil companies, projects such as deepwater oilfields or liquefied natural gas plants will continue to be critical to their future.There are steps that they can take to improve the economics of those investments, some of them learned from other industries.One is to use new technologies to cut costs. 3D printing, for example, can reduce the need for large inventories of parts to be kept or delivered to projects that are often in remote locations. Another is better contract design that gives suppliers an incentive to hold down costs.“The history of the industry is that there has been an adversarial relationship between operators and contractors not because they are bad people, but because the business incentives set it up that way,” Mr Pateman-Jones says. “I think we will move to much more effective ways of delivering projects.”If projects cannot be made more efficient, he adds, then they may never get off the ground. “If I were investing in some of these really big projects, I would be questioning whether they really made sense over a long period of time.”
3;DVN;Devon Energy Corp;2016-06-28T17:17:21Z;Energy shares lead Wall Street’s rebound as risk aversion eases;Traders cautious on rebound in stocks and decline in market volatility;Energy companies led the way higher on Tuesday as US stocks recouped some of the steep losses suffered in the wake of the UK’s unexpected vote to leave the EU.The energy sector gained 2.6 per cent helped by a move higher in crude oil. The dollar also gave up ground after rallying in recent days, supporting commodities.Traders and strategists were nonetheless cautious on the rebound in stocks, warning that while the losses of the past two days were extreme — the S&P 500 lost nearly $1tn of value in Friday and Monday’s rout — more volatility was likely ahead with the second-quarter ending on Thursday.“It is just simply a technical rebound in response to a very sharp sell-off,” said Randy Frederick, managing director of trading and derivatives at Charles Schwab. “I have been cautioning people that it is probably shortlived and we may see a pullback.”Traders also said a covering of short sales contributed to the move higher on Tuesday.The S&P 500 rose 1.8 per cent to 2,036.09 while the Nasdaq Composite was 2.1 per cent higher. The CBOE’s Vix, a measure of implied volatility for the S&P extended its drop and fell below 20 — its long-term moving average.“The Vix pulling down toward 20, stabilisation in European equity markets and . . . stabilisation in gold or oil [are the right signs],” Mr Frederick said. “But you need a few days before you say there is an opportunity here.”Among energy companies, ExxonMobil rose 2.3 per cent to $90.91 while Devon Energy gained 6.6 per cent to $35.99 and Marathon Petroleum was up 8.4 per cent at $35.70.Bank stocks, which have been hard hit over the past few sessions, also rose on Tuesday. The financials sector of the benchmark index added 2.5 per cent with Citigroup up 5.1 per cent at $40.44, Bank of America adding 4.3 per cent to $12.70 and JPMorgan gaining 3.3 per cent to $59.52.Banks have been pressured as market participants have dialled back tighter interest rate policy expectations from the Federal Reserve in the wake of Brexit and ensuing market turmoil. Sharply lower US Treasury yields worry investors as low rates squeeze margins for banks.Technology shares also rebounded on Tuesday after coming under recent pressure given their natural cyclicality and exposure to Europe. Microsoft was up 2.1 per cent to $49.44.Utilities companies were the laggards, up just 0.3 per cent. As the broader market sold off, utilities had outperformed due to expectations of lower interest rates remaining for an extended period. In spite of selling on Tuesday, high dividend paying companies such as utilities are expected to remain in favour.Meanwhile, Lending Club, the embattled peer-to-peer lender, gained 7.2 per cent to $4.61 on news that it would cut its staff by 12 per cent. The group has also named a new chief executive after the departure of Renaud Laplanche in May over allegations of loan mis-selling and an undisclosed personal interest in a fund. However, an ongoing review, whose results were revealed on Tuesday, found that there had been further improprieties at the company.
4;DVN;Devon Energy Corp;2016-06-06T20:30:40Z;Devon rises on near-$1bn divestiture move;US stocks climb as energy and materials sectors lead the way;Devon Energy shares climbed on Monday after the energy group unveiled nearly $1bn in asset sales as it looked to bolster its balance sheet.Oklahoma City-based Devon, along with many other companies in the sector, has divested assets to raise cash as revenues declined sharply as a result of the drop in crude oil prices that began in mid-2014.While the price of West Texas Intermediate, the US oil marker, has climbed to the $50 a barrel level recently, it sits at less than half of the peak reached in 2014.Indeed, Devon logged a net loss of $3.1bn in the first quarter, its sixth consecutive quarterly loss, according to data from Bloomberg. As a result of the weaker operating metrics, Devon was under more pressure to protect its credit rating.“Combined with other recent asset sales, we have now announced $1.3bn of gas-focused upstream divestitures,” said Dave Hager, Devon chief executive. “As we’ve said previously, proceeds from these tax-efficient transactions will be utilised to further strengthen our investment grade financial position.”The move announced on Monday included the divestiture of upstream assets in east Texas, the sale of non-core positions in the Anadarko Basin’s Granite Wash area and overriding royalty interest across 11,000 net acres in the northern Midland Basin.Devon’s shares jumped 4.7 per cent on Monday to $37.59. They are still down by about 41 per cent over the past 12 months.The broader energy sector also posted a strong performance on Monday as the price of US crude oil climbed by 2.2 per cent to $49.69, a 10-month high.Among the gainers were oilfield servicing group Halliburton, which rose 4.8 per cent to $44.91, and pipeline operator Kinder Morgan, which gained 3.2 per cent to $18.57.Elsewhere, Harley-Davidson’s shares were in the red after Goldman Sachs cut its rating on the motorcycle maker to “neutral” from “buy”.“Our dealer checks over the last two weeks suggest that foot traffic has been mixed if not weak in the first two months of [the second quarter],” said Patrick Archambault, Goldman analyst.Mr Archambault also cautioned over “concerns about long-term brand relevance” and “demographic headwinds” that could weigh on the Wisconsin-based company.Harley’s shares slipped 1.6 per cent to $45.08, bringing their decline over the past 12 months to 17 per cent.Best Buy shares also fell after Hubert Joly, chief executive, said in a regulatory filing after the closing bell on Friday that he had reduced his stake in the electronics retailer by 43.8 per cent.Mr Joly sold about $12.8m worth of stock on June 2 for “diversification of his portfolio”, the regulatory filing said, adding that “he continues to exceed his officer stock ownership requirement with holdings of approximately $40m in vested and unvested [Best Buy] shares, stock units and options”.Best Buy shares fell 3.2 per cent to $31.33.At the close of trade, the S&P 500 had gained 0.5 per cent to 2,109.4, the Dow Jones Industrial Average advanced 0.6 per cent to 17,920.3, and the Nasdaq Composite climbed 0.5 per cent to 4,968.7.The energy and materials sectors led the way higher while the utilities sector lagged behind.
5;DVN;Devon Energy Corp;2016-05-25T20:46:46Z;Intuit shares stumble on growth concerns;Energy sector performs strongly as US oil prices approach $50 a barrel;Intuit shares fell on Wednesday, eroding much of their 2016 gains, as worries about slowing subscriber growth for the group’s online accounting software overshadowed stronger than expected quarterly results.The California-based company said the number of subscribers to its QuickBooks Online service, which allows small businesses to keep track of financials through the cloud, rose 44.8 per cent year-on-year to 1.4m in the quarter to the end of April. However, that represented a decline from the 49.5 per cent, and 56.8 per cent, growth in the previous two quarters, respectively.Investors may have been “fixated” on the cooling subscriber growth, and concerned about whether Intuit could meet its target of 2m to 2.2m QuickBooks Online subscribers by the end of the financial year ending in July 2017, said Brent Thill, an analyst at UBS. However, Mr Thill noted that he still saw the group’s goals as “very achievable”.Intuit’s hopes to shift users to its cloud-based software instead of its PC-based applications echoes many other companies in the software industry, such as Adobe, who are working to transition users to an online version of its image-editing suite.Intuit’s success has helped drive the shares about 8 per cent higher this year. However, they declined by as much as 5.1 per cent at one point on Wednesday in spite of overall results topping Wall Street estimates. It later pared some of those losses, closing down 2.1 per cent at $105.02.Net profits climbed in the April quarter to $1bn from $501m in the same three-month period in 2015. Sales climbed 7.9 per cent to $2.3bn, beating expectations of $2.26bn. Adjusted earnings per share, which excludes certain items, of $3.43, also eclipsed estimates of $3.21.Tiffany shares retreated early in the day after the jewellery maker reported its steepest sales drop in nearly six years and lowered its full-year earnings guidance range.Weak tourist spending and the strong dollar were once again to blame for the weaker than expected results.“As expected, this was a difficult quarter in terms of both sales and earnings growth. We faced numerous challenges, including continued pressure from foreign tourist spending in Europe, the US and Asia, particularly in Hong Kong,” Frederic Cumenal, chief executive officer, said.For the three months to the end of April, sales fell 7.3 per cent year-on-year to $891.3m. That was the group’s sixth consecutive quarter of revenue decline and was the biggest sales drop since the second quarter of 2010. It was also well below the $915m that the market had expected.Net income for the period fell 16.6 per cent to $87.5m, or 69 cents a share — ahead of forecasts of 68 cents.Still, the company warned that it now expected full-year earnings per diluted share would drop by a mid-single digit percentage from 2015. It had previously predicted earnings to stay flat or fall by up to a mid-single digit.Tiffany shares later regained ground, ending the day flat at $63.89. The shares have fallen 16.3 per cent in the year to date.Looking at the markets more broadly, the energy sector was the top performers as US oil prices approached $50 a barrel. Devon Energy, an oil exploration and production company, climbed 5.7 per cent to $36.44, while oil major Chevron added on 1.6 per cent to $101.77.At the close of trade, the S&P 500 had climbed 0.7 per cent to 2,090.5, the Dow Jones Industrial Average had risen 0.8 per cent to 17,851.5 and the Nasdaq Composite had advanced 0.7 per cent to 4,894,9.
6;DVN;Devon Energy Corp;2016-03-31T18:46:50Z;US shareholder votes on climate change hit record;Exxon and Chevron face proposals from investors at their annual meetings;US companies are facing a record number of shareholder votes on climate change related issues at this year’s annual meetings, as pressure from investors has grown and regulators have become increasingly sympathetic.Proposals include calls for ExxonMobil and Chevron, the largest US oil groups, to lift their limits on returning capital to shareholders through dividends and buybacks, rather than investing in projects that could be made unprofitable by restrictions on greenhouse gas emissions.Both companies’ investors will also be able to vote on whether the companies should provide assessments of the impact on their business of policies to limit global temperature rises to less than 2 degrees Celsius — the objective agreed by almost 200 countries at the Paris climate talks last December.Other oil and gas groups including Chesapeake Energy and Devon Energy, two of the larger US independent producers, face proposals to break the link between executive pay and the growth in their reserves.Environmental campaigners seeking to highlight the potential impact of climate change on investors have been making increasing use of shareholder proposals at oil and gas companies’ annual meetings — even though they often win very little support.A record 94 proposals relating to climate change have been filed with US companies this year, according to As You Sow, a campaign group.Companies can prevent shareholder proposals from coming to a vote if they secure approval from the US Securities and Exchanges Commission. But, in recent years, the regulator’s staff have become increasingly unwilling to grant those approvals, known as “no action letters”, for climate-related proposals.This year, the SEC has rejected 11 attempts by companies to keep those resolutions from coming to a vote, and accepted just six, according to the Sustainable Investments Institute.“There has been a convergence of views on the SEC staff that climate is a significant policy issue,” said Kevin Ewing, a partner at Bracewell, the law firm.“So, increasingly, managements have been unable to exclude climate-related shareholder proposals on the grounds that they relate to the ordinary business operations of the company.”There has been a convergence of views on the SEC staff that climate is a significant policy issueShanna Cleveland of Ceres, another group that works with investors on environmental and social issues, said that since the Paris accord “the SEC is having to take more seriously investors’ interest in climate risk”.The SEC does not provide a detailed statement of its grounds for accepting or rejecting requests for no action letters.However, one piece of evidence that its staff’s views are shifting is that this year it insisted that Exxon should allow shareholders to vote on the proposal that it should allow higher dividends and buybacks.As Exxon’s lawyers pointed out in correspondence with the SEC, it was allowed to exclude what was substantially the same proposal last year.A similar resolution was put to a vote at Chevron last year, and won support from investors speaking for just 3.2 per cent of Chevron’s shares.
7;DVN;Devon Energy Corp;2016-02-25T19:22:39Z;Oil sector aims for profits at $50 crude;Industry hopes cost-cutting will generate returns with prices set to stay low;Outside the energy industry’s premier conference in Houston this week, a qualified petroleum engineer, immaculately dressed in suit and tie, has been holding up a sign saying: “Please hire me!”He has been a victim of the sector’s worst downturn for three decades, one of the 95,000 people who have lost their jobs in the US oil industry since 2014. The odds are against him. Oil companies are working to put in place lower cost bases that will enable them to survive in a world in which crude prices could remain at about $50 per barrel for many years to come. Two years ago John Watson, chief executive of Chevron, observed that “$100 per barrel is becoming the new $20”. He meant that the cost of finding and extracting oil had risen so much that companies like his needed a markedly higher crude price to achieve the same profitability that had been possible at significantly lower levels a decade earlier. Today, it seems that $50 is the new $100. As Ali al-Naimi, Saudi Arabia’s oil minister, warned executives at the IHS CERAWeek conference on Tuesday, producers of higher-cost barrels “must find a way to lower their costs, borrow cash, or liquidate”. Oil is a cyclical business, and there is a general consensus in the industry that current prices of about $34 per barrel for internationally traded Brent crude are unsustainably low. But oil executives are not expecting a rebound to anything close to the prices of $100-plus that seemed barely adequate only two years ago. The US shale oil industry, which helped precipitate the collapse in oil prices with a debt-fuelled production boom, is in dire financial straits. Continental Resources and Whiting Petroleum, the two largest producers in the Bakken formation of North Dakota, one of the heartlands of that boom, said this week they were stopping bringing any new wells into production in the region. When prices do pick up again, however, industry executives say activity will recover and production can start to rise again. It may take time to come back, depending on investors’ enthusiasm for committing fresh capital, but shale could act as a long-term cap on prices. David Hager, chief executive of Devon Energy, an independent production company, says that at $55 to $60 oil, “the vast majority” of US shale fields are economically viable. Others put the number rather higher. Scott Sheffield, chief executive of Pioneer Natural Resources, another leading independent, suggests oil would need to be $60 to $70 for US shale production to grow. No one, however, is talking about $90 or $100. Everyone in the industry is going to have to learn to compete at prices influenced by US shale. And given the uncertainties involved — the US shale business is so new, it has still not yet been through one full cycle of growth, downturn and recovery — it makes sense to take a cautious view of how far prices can rebound. As Ryan Lance, chief executive of ConocoPhillips, the largest US exploration and production company, puts it, the upturn will come, “it’s just you can’t bet on it coming quickly . . . You’ve got to be prepared for it taking a little while longer”. At BP, they are preparing for the company to be able to cover its capital spending and its dividend payments from its cash flows with oil at about $50. Last year, BP said it was aiming for that break-even at $60 oil, but Lamar McKay, the newly-promoted deputy chief executive, says executives believe they can “probably do a bit better than that”. Some of BP’s cost reductions come from driving down the prices charged by suppliers, but about a half to two-thirds, says Mr McKay, come from “self-help”: efficiency improvements including job cuts. BP has announced it is losing 7,000 jobs, and Mr McKay says that he expects to go “quite a bit beyond that” by the end of the year.BP’s proposed Mad Dog 2 oil project in the Gulf of Mexico has been redesigned, for example, to make it less expensive, and now the company is haggling with suppliers to make the economics work before it commits to the investment. Other companies are making similar moves. Bespoke engineering, customisation and bureaucratic management structures are being jettisoned, to be replaced by standardised designs and leaner organisations. Statoil, the Norwegian oil company, is aiming to cut the price needed for its US shale oil operations to break even from $90 per barrel in 2014 to $50 in 2018.“It’s a revolution in a company like ours,” says Torgrim Reitan, Statoil’s head of development and production in the US. “To set up the right agility and accountability so that we can move quickly.” Marvin Odum, the head of Royal Dutch Shell’s US business who announced his departure this week, says the company has a similar approach for its North American shale oil and gas operations.“The cost structure is coming down in a very sustainable way,” he adds. “As we get down into the low 50s and now into the 40s in terms of the break-evens . . . in the sweet spots [shale is] a globally competitive resource.” The industry has been here before, not too long ago. In late 2008 and early 2009, oil prices were also in the low $30s, and there was talk about a reset of the oil companies’ cost bases and ways of working. But then oil rapidly rebounded. “I barely remember it,” says Mr McKay. “The fundamental change that’s necessary in the behaviour of vast numbers of people — operators and contractors alike — didn’t have time to take root . . . It sobered everyone up for a moment, and then the party started again.” He thinks those same mistakes may not be made again.“This feels more fundamental,” says Mr McKay. “The surprise of 5m barrels per day of US shale, and the speed with which that was brought on: that’s a fundamental supply and demand issue that’s got to be worked out.”
8;DVN;Devon Energy Corp;2020-04-25T23:17:40+0000;Chesapeake to slash capital spending to conserve cash;Former star of the US shale gas boom reports $14.9bn loss for last year;Chesapeake Energy, the second-largest gas producer in the US, on Wednesday announced a cut of up to 69 per cent in its capital spending for this year, as it seeks to conserve cash amid the commodity price crash.The company set out the plans as it reported a $14.9bn net loss for 2015, compared to a profit of $1.3bn in 2014, following writedowns in the value of its gas and oilfields.Chesapeake was one of the stars of the US shale gas boom of the 2000s, growing rapidly under its founder Aubrey McClendon, who left the company in 2013.Under Doug Lawler, Mr McClendon’s successor as chief executive, Chesapeake has been working to reduce its large debt load and to shift to increased production of crude and other liquids.But the company has been hit hard by the collapse in oil and gas prices. The principal factor behind the loss for 2015 was an $18.2bn pre-tax writedown of Chesapeake’s assets, to reflect those lower prices.The company’s operating cash flow dropped 56 per cent to $2.3bn last year.That cash generation fell short of Chesapeake’s capital spending of $3.2bn in 2015, raising concerns about the sustainability of its finances.Chesapeake’s shares have dropped 86 per cent in the past year.But Chesapeake on Wednesday played down suggestions that it was exploring a possible bankruptcy, saying that it was working on debt exchanges and other moves to reduce its borrowings, and had hired specialist lawyers to advise on that.The results were received positively by the markets, with Chesapeake’s shares rising nearly 23 per cent to $2.69 by the close of trading in New York.However, Jonathan Wolff, analyst at Jefferies, said in a note that Chesapeake’s financial distress was “becoming even more clear and more dire”, and described the company’s cash burn as “alarming”.Chesapeake’s move to cut its capital spending follows other US independent exploration and production companies such as ConocoPhillips, Continental Resources and Devon Energy, which are planning similarly steep reductions in their budgets.The cuts raise the prospect that the number of rigs drilling for oil and gas in the US, which has already slumped since 2014, will fall further this year.Chesapeake said the slowdown in drilling would lead to its production falling by up to 5 per cent this year, excluding the effect of asset sales.Chesapeake said it had a $4bn borrowing facility of which only $77m had been used. It added it expected that credit line would be renewed at a “really strong” level when it was determined with lenders in April.The company added that it planned to repay bonds that reach maturity next month. It would also continue moves it has been making to buy back its debt, taking advantage of the depressed prices of its bonds.
9;DVN;Devon Energy Corp;2020-04-09T15:05:26Z;The top FT stories read by the legal world in the coronavirus lockdown;Professionals are hungry for reporting on how peers are responding to the crisis;How is the legal sector responding to the coronavirus crisis? Since the pandemic hit, the FT has been covering the impact on law firms — from the sudden widespread adjustment to remote working and the disruption to courts, to an influx of client questions about keeping deals alive and managing legal issues emerging from the outbreak.The following stories are taken from our Full Disclosure newsletter, sent to FT subscribers in the industry each week, sharing what has been most popular with legal readers on FT.com.As with most sectors, shouldering the financial blow to business is an urgent priority: readers have zeroed in on our reporting about how law firms are coping, while finding opportunities in growth areas.This week law firms made moves to ease the burden of coronavirus on their bottom lines.None has been so unusual as Norton Rose Fulbright, which is resurrecting a four-day week scheme it enacted during the financial crisis in a bid to save jobs.Staff at the firm earning more than £45,000 have been asked to volunteer to work four days a week when they are less busy and take a 20 per cent cut. Those on lower salaries will take a 5-20 per cent pay cut for the same reduction in hours.Elsewhere the legal world continues to adapt to remote technology. This week the Solicitors’ Disciplinary Tribunal went virtual, with Baker McKenzie’s ex-London boss Gary Senior facing a hearing via Zoom over alleged sexual misconduct. He denies the allegations against him.The move to homeworking has been a big change for lawyers, who are used to face-to-face meetings and close teamwork. But online tools including electronic data rooms for checking documents and video conferencing platforms are making it easier to adapt.Tech tools are also helping from a social perspective — whether it is Friday night drinks on Zoom to “virtual coffee rooms”, lawyers are finding ways to connect with colleagues and bond with teams in the digital realm.Here is our selection of what FT subscribers in the legal sector having been reading in the past week:Lawyers re-tool to take on restructuring boomLaw firms are retraining junior lawyers to become experts in restructuring and insolvency during the pandemic and borrowing partners from quieter departments to work on large deals at firms including Latham & Watkins and Hogan Lovells. As one senior private equity lawyer put it:“Firms expect three or four times the number of core restructuring lawyers to be subsumed into stressed and distressed related work during the Covid-19 crisis.”Norton Rose calls on staff to take on four-day weekNorton Rose Fulbright became the first large law firm in the UK to ask staff to accept a pay cut and reduced hours last week. It will also be delaying the payout of partner profits as well as salary rises and bonus payments.“Norton Rose took similar action during the financial crisis. Other big firms are also making moves to conserve cash and protect jobs in the face of big predicted falls in fee income.”LSE rejects Burford’s claim of stock manipulationThe latest salvo was fired last week in a bitter court row between litigation funder Burford Capital and the London Stock Exchange. Burford believes its share price was manipulated and wants the court to force the LSE to reveal the traders who did it. The LSE called Burford’s claims “completely detached from reality”.“The LSE said it had thoroughly investigated the claim along with the FCA and found no evidence of wrongdoing. For both the LSE and FCA to be wrong, it said, ‘there must have been a catastrophic and incredibly surprising independent failure of their systems and analysis, both automated and manual’, for which there was no evidence.”Neighbourly love in a cold climateThis week the FT’s Jo Ellison looks at what enforced social coldness means for body language. Handshakes are long gone and the elbow bump too — how do we express affection in the age of coronavirus?“Maybe it’s time to introduce my grandmother’s old favourite — when you do something she approves of, you get a little wink. It’s friendly, informal, cheeky, and it shows solidarity. Plus, you can read it from a distance.”Home working leaves UK vulnerable to fraudMass home working as a result of coronavirus has opened up opportunities for fraudsters to target companies and fuelled a sharp rise in attempted scams in recent weeks.“While regulators have been quick to warn about schemes aimed at individuals amid the pandemic — such as financial data ‘phishing’ attempts, or bank payment frauds — the danger to businesses and their investors is equally heightened, say advisers.”Closing argumentThose of us feeling smug about our lockdown exercise efforts will be put to shame this week by 73-year old Rosie Swale-Pope (top picture). The adventurer is currently holed up in a Turkish hotel, but since July 2018 she has spent nine nights in every 10 sleeping inside a three-wheeled trailer she is hauling from Brighton to Kathmandu, Nepal, in a 5,300-mile run through 18 countries.“From 2002 to 2007, Swale-Pope ran almost 20,000 miles from her then home in Tenby, Wales, through northern Europe, Russia, Alaska, Canada and the US, returning to the UK via Greenland and Iceland. She endured broken bones, frostbite and encounters with hungry wolves — and turned 60 on the road.”
