;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;FMC;FMC Corp;2019-05-08T16:22:04Z;Livent shares plunge after sales warning;;Livent lost more than a fifth of its market value on Wednesday after the lithium producer warned of weaker sales and revised guidance, fuelling fresh concerns about demand for the key battery material.The company, which was spun out of FMC last year and listed in New York, dropped as much as 23 per cent to $8.28 as investors digested the new forecasts.Livent, which produces a type of lithium that is used in Tesla electric car batteries, said a “small number of customers” had delayed their 2019 orders, which would lead to lower sales volumes and lower prices.In addition the company said that it did not expect to see a “meaningful change in demand” for its lithium hydroxide “until late 2019 or early 2020” despite rising sales of electric cars.Livent is one of the key producers of lithium hydroxide, a type of lithium that is used in more powerful high-nickel batteries by Tesla and other premium electric car makers.But many car and battery customers in China, the largest electric car market, have yet to switch to higher nickel batteries due to their costs.“We are seeing weaker near-term demand for our high-performance lithium hydroxide, as several major customers have informed us about recent decisions to delay their own commercial launches of high-nickel cathode chemistries,” Paul Graves, Livent’s chief executive said.“This will result in lower delivered volumes of lithium hydroxide to these customers in 2019 than previously indicated and lower overall sales volumes for the year.”Following Beijing’s decision to cut subsidies to its electric car companies in March many Chinese companies have chosen to continue using cheaper lithium-iron phosphate (LFP) batteries that use no nickel. While they are less powerful than high nickel batteries LFP batteries can be used for shorter-range cars and electric buses.The price of lithium hydroxide has fallen by 5.8 per cent this year to an average of $15,177 a tonne, compared to a 4.2 per cent fall for standard lithium carbonate, according to prices monitored by Benchmark Mineral Intelligence. Over the past year prices for lithium hydroxide have dropped by 27 per cent.The price of lithium hydroxide has fallen by 5.8 per cent this year to an average of $15,177 a tonne, compared to a 4.2 per cent fall for standard lithium carbonate, according to prices monitored by Benchmark Mineral Intelligence. Over the past year prices for lithium hydroxide have dropped by 27 per cent.The company now expects revenue of $435m to $475m and adjusted earnings before interest, tax, depreciation and amortisation of $125m to $145m, against $443m and $183m respectively last year.Livent’s warning comes just weeks after Umicore, which makes cathodes for electric car batteries, blamed slowing demand in China for a profit warning that sent its share price into freefall.In spite of the weaker current market conditions, the outlook for electric vehicles and lithium demand remains positive said Mr Graves.“We have seen multiple manufacturers announcing more detailed plans for new electric vehicle model launches. Importantly, for the first time they are now specifying performance requirements that will require the use of high-nickel cathode chemistries, which increases our confidence in the growing importance of high-performance lithium hydroxide.”
1;FMC;FMC Corp;2019-04-05T04:00:40Z;Mitsui boosts Brazil’s lithium ambitions with Sigma deal;Japanese trader invests in mining project as electric car battery demand rises;Brazil is set to emerge as a significant supplier of high-quality lithium — a raw material used in electric-car batteries — after one of the world’s biggest commodity traders agreed to back a new project in the country.Japanese group Mitsui & Co is to invest $30m in Grota do Cirilo, a hard rock lithium deposit being developed by Canadian miner Sigma Lithium Resources, in return for a quarter of its initial output of 220,000 tonnes.The cash from the Mitsui deal and a $40m debt offering will enable Sigma to start construction of a processing plant at the site in the south-eastern province of Minas Gerais.It plans to ship its material to China, where it will be converted into lithium hydroxide, the type of lithium used by Tesla in its car batteries. It is aiming to be in production by 2020.Lithium demand is expected to rise over the next decade because of rising sales of electric vehicles. Australian miners have moved quickly to cash in on the expected boom, opening a handful of hard rock mines in recent years and dominating the market.Minas Gerais needs to show it is opening to mining. So they are looking for projects that tick the box in terms of not having a tailings damThe Sigma financing deal is a rare piece of good news for Brazil’s mining industry, which has been rocked by the deadly mining disaster in Minas Gerais early this year. A dam holding waste material, or “tailings”, from an iron ore mine suddenly burst in January, releasing a torrent of waste material that cut through a local community killing at least 300 people. Following the spill, Vale, the operator, has been forced to halt production at several sites.Calvyn Gardner, Sigma’s chairman and chief executive, said he expected Brazilian regulators to grant an installation licence for Grota do Cirilo in the next couple of months.He said Sigma was using dry processing technology to produce lithium concentrate, a partly refined version of the metal, meaning it did not need a dam to store waste material and water.“We designed the mine two years ago without a tailings pond. We don’t have that issue,” he said.“Minas Gerais needs to show it is opening to mining. So they are looking for projects that tick the box in terms of not having a tailings dam.”During the construction phase 500 people will be employed at Grota do Cirilo, which is located in one of the poorest parts of Minas Gerais.Despite the long distance to its main market in China, Mr Gardner said Sigma would be able to compete with Australian producers because of its low production costs.“We can land material in China for $340 to $360 a tonne,” he said, adding that only the giant Greenbushes mine near Perth in Australia had lower costs.Under the terms of the deal announced on Friday, Mitsui also has the right to buy a further 25,000 tonnes a year of lithium from Sigma over a period of six years.If the company goes ahead with an expansion project to lift production to 440,000 tonnes a year, Mitsui will be able to buy more material if it provides extra funding. That level of output would place Sigma in the ranks of the industry’s midsized producers.Demand for high-quality lithium is expected to increase as carmakers shift to higher nickel-content batteries, whose chemical process tends to use more lithium hydroxide.
2;FMC;FMC Corp;2019-02-13T13:56:30Z;SoftBank backed Nemaska says needs additional C$375m to complete lithium mine;;Nemaska Lithium, a Canadian lithium producer backed by Japan’s SoftBank, said it needs a further C$375M ($283m) to complete its lithium mine in Québec.Nemaska said it had reassessed the costs of its Whabouchi hard-rock lithium asset following the start of construction.“We now have a better understanding on the remaining scope of the project, estimated budget and current market conditions,” Guy Bourassa, the chief executive of Nemaska said. “The revised overall project cost reflects a more precise outlook on installation costs and other key variables to the completion of our project.”The new cost estimate highlights the difficulty of building new lithium mines to meet increased demand for the battery raw material from increased sales of electric cars. It also underline the risks of investing in companies promoting new types of processing technology. Nemaska plans use electrolysis to produce high purity lithium, which means it main input cost will electricity.Shares in Nemaska crashed, falling 35 per cent to C0.35 cents.In May Nemaska raised C$1.1bn in a financing package that included a C$99.1m investment from SoftBank. It also included $350m of senior secured callable bonds and a streaming agreement with private equity fund Orion Mine Finance.The company said the extra C$375m would enable it to complete construction of the mine and meet the drawdown conditions of the debt.Mr Bourassa said construction of the mine is on time and it is working with its shareholders to “identify a variety of funding solutions.” The company aims to complete the mine construction in October, and make its first shipment of lithium-containing spodumene in December.“We are evaluating several options that would enable existing and new shareholders, and project partners to join the table,” he said.Analysts at Canaccord said they “do not doubt there are multiple parties interested in gaining access to the project’s lithium.”The funding shortfall at Nemaska could have consequences for other lithium companies trying to raise money, including Bacanora Minerals. It is also planning to use a new processing technology. Its shares were down 11.6 on Thursday at 19.45p.
3;FMC;FMC Corp;2018-08-28T10:09:32Z;Livent IPO to test faith in electric car revolution;FMC aims to raise $100m for group that supplies lithium for battery-powered vehicles;The upcoming New York listing of FMC Corp is poised to test investor appetite for lithium following the sell-off of this key commodity used in electric cars.FMC Corp said its lithium business Livent aims to raise $100m to help it become a dominant supplier for battery-powered vehicles that rely on the metal.“We believe we are well positioned to capitalise on the accelerating trend of vehicle electrification,” FMC said in a prospectus filed with the Securities and Exchange Commission.Shares of lithium producers have fallen sharply this year. Investors fear there will be an oversupply of the raw material as new mines come into production. Shares in the world’s largest producer Albemarle have dropped 24 per cent year to date, while Chile’s SQM is off by 27 per cent.The price of lithium — a white metal powder used in lithium-ion batteries — also fell for the first time in two years last month, according to London-based Benchmark Mineral Intelligence.Other lithium groups will be keeping a close eye on Livent’s debut. Its IPO comes as two large Chinese producers of lithium — Ganfeng and Tianqi Lithium — are set to raise funds through share sales in Hong Kong.Livent is targeting production of lithium hydroxide, a form of the metal that is set to attract higher demand as carmakers shift to next-generation batteries that offer greater energy density.It aims to produce almost half of the world’s lithium hydroxide for electric car batteries by 2027 from 9.5 per cent last year, according to the prospectus.Lithium hydroxide is the form of lithium used in batteries made by Panasonic for Tesla’s vehicles.“We believe the demand for our compounds will continue to grow as the electrification of transportation accelerates, and as the use of high nickel content cathode materials increases in the next generation of battery technology products,” FMC said in its filing.The company plans to increase lithium hydroxide production from 30,000 tonnes at the end of 2019 to around 55,000 tonnes by the end of 2025.Livent extracts lithium from the Salar del Hombre Muerto in Argentina. However, the group plans to “pursue additional sources” of lithium through further expansion in Argentina, acquisitions and the development of new resources or long-term supply agreements, it said.FMC’s lithium division had net income of $70.2m in the first half of this year, up from $27.6m in the same period of 2017. Revenues rose by 51 per cent to $210.7m as of June 30 due to higher sales of lithium in China.FMC has hired Bank of America Merrill Lynch, Goldman Sachs, and Credit Suisse as bankers for the deal. The company will continue to hold 80 per cent of Livent once it is listed, shares of which will then be distributed to its shareholders. FMC will also offer a $400m revolving credit facility to the company.
4;FMC;FMC Corp;2018-01-18T18:19:34Z;Lithium stocks slide after SQM gets approval to ramp up production;;Lithium stocks were hit hard on Thursday after one of the sector’s biggest producers was given the green light to boost production. On Wednesday, Sociedad Quimica y Minera de Chile, or SQM, said it had resolved a long-running dispute with Chile, striking an agreement to expand production to meet demand from electric cars. Fears that the New-York-listed company, which has a market value of $15bn, could flood the market with fresh supplies have cast a shadow over the sector. Shares in Albemarle dropped 8 per cent to $116, while FMC Corp fell 5 per cent to $89.22. Two years ago they were trading at $50 and $34 respectively. SQM was off 2 per cent at $58.34.“SQM, the global lowest-cost producer, yesterday got the right to increase 4 to 6 times its annual lithium production quota. We expect SQM to aggressively recover market share from 2020 and see downside risk to the lithium price ,” said analysts at Morgan Stanley. “Negative for global lithium equities.”Prices for lithium have jumped by over 200 per cent over the last five years as demand outstripped supply. Those gains and the hype around electric vehicles have driven the share prices of companies like SQM, Albermarle and FMC into the stratosphere. Analysts at Deutsche Bank said they expected SQM to increase production of lithium carbonate equivalent from an expected 63,000 tonnes in 2019 to 163,000 tonnes by 2024.“While SQM's additional volume increases as a result of the license changes announced should not impact the market until 2020, it could impact sentiment in the sector and supports our view that supply options are increasing which should see the market begin to balance by late 2018,” said Deutsche. The sell off in lithium stocks comes Canada’s PotashCorp attempts to sell a 32 per cent stake in SQM.
5;FMC;FMC Corp;2018-01-17T18:37:52Z;Focus on electric cars lights up lithium;Demand for metal used in rechargeable batteries looks healthy but supply is growing;In the aftermath of recent car emission scandals, governments in countries such as France are strongly encouraging carmakers to go electric. Paris wants to banish petrol and diesel cars by 2030.Elsewhere, such as the UK, diesel car demand has slowed. In turn this shift has refocused attention on low or zero emission electric vehicles. Those EVs require batteries, and prices of their key inputs — lithium, cobalt, lead and nickel — have soared.The first two of these have attracted the most interest given their current importance to batteries. Together they make up about half of a battery’s cathode. No surprise that prices for each have trebled in less than three years.Neither it is no surprise that share prices of both lithium and cobalt producers have also rocketed. But while nickel could replace some of the cobalt required over time, as cathode technology evolves, lithium should remain integral to all batteries for some time.And lithium demand looks healthy, compounding at a 14 per cent rate between 2017 and 2022. That’s because sales of rechargeable batteries should treble by 2025 to $59bn, according to Credit Suisse, as buyers take up electrified vehicles, both hybrids and fully electric.You know a bull market has arrived, though, when specialist indices and exchange traded funds appear for lithium. Have a look at what’s inside, though. The Solactive Global Lithium index not only has lithium makers such as US listed Albemarle and FMC Corp, it also contains carmakers Tesla and BYD. More than 40 per cent of index members at best only consume lithium. This index has more than doubled since early 2016. Junior miners such as Australia’s Galaxy Resources have been six baggers.Even as demand builds, supply too is surging. Although Argentina and Chile used to make a large proportion of lithium carbonate, that balance will shift.Australia’s contribution is increasing so rapidly that an excess supply of lithium carbonate is likely for the next couple years at least. “It’s our top short idea,” says Vivienne Lloyd at Macquarie.Should lithium prices finally tumble, expect the lithium miners to head back to ground.alan.livsey@ft.com
6;FMC;FMC Corp;2016-07-26T23:23:28Z;FMC contract underlines rising battery demand for Lithium;Lithium producer FMC wins new contract from major electric carmaker;The lithium market received a boost after FMC said it planned to double its output of battery raw material lithium next year, in a sign the largest producers are increasing supply to meet demand from electric carmakers.The Philadelphia-based chemical company, one of the world’s four largest producers of lithium, said it would accelerate expansion of lithium hydroxide as a result of a “new multiyear supply agreement with a major manufacturer of electric vehicles”.“We partner closely with leading manufacturers of lithium ion batteries and electric vehicles to ensure our production meets their current and future demand,” said Tom Schneberger, vice-president and global business director at FMC Lithium.Prices for lithium hydroxide, a refined type of lithium used by in batteries by carmakers such as Tesla Motors, have risen 38 per cent this year, according to Benchmark Minerals Intelligence. That’s been driven by strong demand in Asia, the centre of global battery production.Demand is expected to remain robust as Tesla completes its battery gigafactory near Reno in Nevada, which will start producing battery cells for its mass market Model 3 for delivery next year. The company currently obtains battery cells from Panasonic in Japan.FMC will produce an additional 4,000 tonnes of lithium hydroxide next year, raising the company’s total global capacity to 18,000 tonnes. It did not give details of the electric vehicle manufacturer it struck a deal with.The additional production would be almost enough to supply Tesla’s Gigafactory or roughly 500,000 mass-market electric vehicles, according to Aleksey Yefremov, an analyst at Japanese bank Nomura.“The fact that FMC wants to bring incremental capacity on in the near term confirms a tight market for battery grade lithium,” he said.FMC extracts lithium from the Salar de Hombre Muerto operation in Argentina before it is sent overseas to be further refined into products such as lithium hydroxide.But analysts said FMC would need to expand its supply of lithium carbonate, the raw feedstock that gets converted to hydroxide, in order to double its production. That could come from other raw lithium producers such as Chile’s SQM or Orocobre, according to Robert Baylis, an analyst at consultancy Roskill.Mr. Baylis also expects lithium hydroxide prices to peak in the second half of this year as supply has increased.“The gloss on the lithium industry is therefore going to come off pretty quickly into 2017, although demand growth still remains robust,” he said.
7;FMC;FMC Corp;2016-05-19T18:49:54Z;Oil services groups agree $13bn merger;FMC Technologies of the US is expected to gain tax benefits from tie-up with France’s Technip  ;Two of the world's leading providers of services to the offshore oil industry are merging and selecting the UK as the combined company’s domicile, following the trend of groups in the sector relocating to Britain to benefit from favourable tax treatment.FMC Technologies of the US and Technip of France have agreed a merger of equals to create the world's second-largest listed oil services group by revenues, with a market capitalisation of about $13bn.Oil services companies have been hit hard by the decline in crude prices since mid-2014, as exploration and production groups renegotiate or even cancel contracts with their suppliers in efforts to cut costs. Several oil services groups have pursued consolidation deals to try to better withstand the downturn.The combined company, to be called TechnipFMC, will be dual listed in Paris and New York, but domiciled in the UK, and have operational headquarters in Paris, Houston and London.Executives and advisers of the two companies declined to say whether the merged company would pay less tax as a result of the relocation to the UK. But one person close to the deal said that it would generate tax benefits for FMC, which is incorporated in the US.Other oil services companies including Ensco and Noble Corp, the offshore drilling contractors, have relocated to the UK to benefit from its favourable tax treatment.Doug Pferdehirt, the president of FMC and intended chief executive of TechnipFMC, denied that the deal was being done to minimise either company’s tax bill.“We have not determined what the tax rate of the new company will be — we pay tax wherever we generate revenue,” he told the Financial Times. “Tax was not the major concern here.”He added that the deal was “transformational for the oil and gas industry . . . By bringing these two companies together we can extract cost and improve returns for our customers”.Technip, Europe’s biggest oil and gas services group by market capitalisation, has been trying to do a deal with another company for the past two years to diversify its pipes and oil infrastructure construction business.In 2014, the Paris-based company abandoned a €1.5bn unsolicited takeover offer for CGG, a French seismic surveyor that uncovers and determines the size of hydrocarbons reserves.Since the summer of 2014, shares in FMC have fallen from more than $60 to less than $30.Over the same period Technip’s shares have fallen by almost half, and last year the company issued a profit warning and announced it would cut 6,000 jobs.Technip’s shares closed up 6.3 per cent to €49.30 on Thursday. FMC’s shares were down 3.8 per cent to $27.58 in New York trading on Thursday afternoon.Thierry Pilenko, Technip chief executive who will become executive chairman of the merged group, said: “We have complementary skills, technologies and capabilities which our customers can access on an integrated basis or separately as they prefer.”David Thomas, analyst at Mirabaud Securities, said: “This will allow the new company to offer a solution to clients from the seabed right up to the surface level and beyond. I don’t think there will be many people who doubt the strategic sense of this deal.”Goldman Sachs and Rothschild are financial advisers to Technip. Evercore and Société Générale are advisers to FMC.
8;FMC;FMC Corp;2016-05-19T14:28:25Z;Technip/FMC: tasty;Investors need to know who is in charge of the cooking;Combining the finest ingredients is all very well, but the choice of chef can be just as important. The $13bn all-share combination of two oil service companies, France’s Technip and FMC Technologies of the US, has a nice enough aroma. Making the deal go down smoothly will be a matter of deciding who is in charge.The combination makes good industrial sense. The two know each other, having run a joint venture called Forsys Subsea since June. And they are not direct competitors. Technip specialises in putting together complicated offshore oil and gas projects, only some of which involve its own equipment (mostly flexible underwater pipes). Adding FMC, a specialist in the underwater pressure valves for oil wells should lead to more compelling bids for offshore projects. Management also promise $400m of cost-cutting annually — 3 per cent of combined operating costs. This could prove conservative.As Forsys had already received regulatory approval last year, the deal should not face objections from antitrust authorities similar to those which did for Halliburton’s $35bn bid for Baker Hughes in the US, which was blocked by the Department of Justice last month. A better comparison would be Schlumberger’s $14bn acquisition of Cameron, FMC’s US rival, which closed last month.That combination put Schlumberger firmly in control. Cameron shareholders were left with a tenth of the combined companies. Technip and FMC tout their deal as a merger of equals, and it is — in the narrow sense of each set of shareholders receiving half of the new group. Based on the undisturbed prices, Technip benefits from a small 10 per cent premium, explaining its shares’ rise on the announcement.In terms of profits, it is a different story. FMC will initially contribute less than a third of the combined group’s profits. The fact that its shareholders will receive a 50 per cent stake suggests they are the ones getting the premium, and that FMC, not Technip, is the target. In the merged company’s boardroom, a US chief executive from FMC will answer to a French executive chairman from Technip.That is better than having co-chief executives, but only just. Investors need to know who is in charge of the cooking. Otherwise they could end up with blancmange.Email the Lex team at lex@ft.com
9;FMC;FMC Corp;2020-04-16T04:01:47Z;Crisis of a lifetime shakes up risk tactics for financial advisers;Strategies to deal with investment dangers now take centre stage;For 11 years, US investors could mostly treat “risk” as an abstract concept that could be easily traded in for ever-higher returns. The coronavirus pandemic changed that, ending the longest US stock market bull run in history and replacing it with a bear market that throws investment danger into sharp relief.Some investors reacted early to the market volatility by moving assets into relatively safe investments: the first half of March saw large net outflows of dollars from US stock and bond mutual funds and net inflows into money market funds.Financial advisers typically caution that such sudden shifts in portfolios may be short-sighted and prefer that their clients focus on the long run.Even an unprecedented market crash is no reason to toss out one’s entire investing strategy. Advisers note that careful deliberation is vital. For instance, some investors should trim their exposure to stocks, but others should sit tight and wait for markets to recover.The first step is accepting that some risk is necessary to produce returns. For example, US stocks had an excellent 2019, resulting in a total return of 31.5 per cent for the benchmark S&P 500 — but that included sharp reversals in January, May and August.“How we talk about risk has some bearing,” says Chris Cooke, principal at Cooke Financial Group, an advisory firm in Indianapolis, Indiana. “These are really difficult discussions. Because the investments that offer decent returns in the long run may offer volatility in the short term.”That is why a basic tenet of investing is to spread risk among different asset classes that do not typically move in tandem, such as stocks, bonds and cash (also usually diversified among US and non-US holdings). Accredited investors with a net worth of $1m or annual income of at least $200,000 can add “alternative” assets such as hedge funds, private equity and commodities to their mix.Advisers believe that most investors can embrace the concept of asset allocation. “In theory, investors understand not putting all your eggs in one basket,” says Jan Spielman, an adviser with Quest Wealth Management of Storm Lake, Iowa.There are myriad ways to allocate assets, however, and they can be combined. Among FT 400 advisers, the most popular method is to build a “core” of lower-risk, passive investments that track market indices, complemented by riskier “satellite” investments. Some portfolios diversify across different types of risk, including volatility and correlation, rather than among asset classes.And many advisers favour allocating tactically in reaction to market developments, while others use computer-aided “model portfolios” designed for different risk levels.FT 400 advisers typically use an average of three different portfolio-building methods, including those described and others. Retirement investing can be its own category, where the long timelines lead some advisers to prefer a gradual reduction in equity exposure as a planned retirement date approaches, to reduce volatility as the investor increasingly relies on investment income.To tailor for risk, advisers sometimes deploy several techniques for different parts of one client’s account. That is important because many investors like to divide investors’ accounts into easily identified “buckets” that represent, say, different levels of risk. Tactical allocation might be right for a “high risk” bucket, but not for a retiree’s “income” bucket.This kind of compartmentalisation can ease investors’ minds if they know most of their money is in their “low risk” bucket.Ms Spielman uses buckets based on time horizon, so assets aimed at short-term use are put into shorter-term investments, as an example. “I don’t know if I have any client who can tell you how many large capitalisation stocks they own, but they can tell you how much they have invested for different timeframes,” she says.These buckets can make the various investment risks more tangible for investors. Traci Richmond, an adviser and co-founder of the Meakem Group in Bethesda, Maryland, finds that most investors worry about the risk of investment losses but not about other risks such as the risk of outliving one’s savings or the risk of inflation sapping their purchasing power.Like many advisers, Ms Richmond recommends investors keep enough emergency cash to cover at least one year of expenses. Many clients have found that approach helpful this year, she says, knowing that they do not have to sell assets at a loss to access cash.Even though having a “cash” bucket is a good general principle, the specific risk level in every portfolio has to be customised to the individual. That is why new clients at many brokerages are given questionnaires asking how they would feel about a large loss, what their investment goals are, and other ways to assess how much risk they can stand.Unfortunately, the extreme test of recent weeks could reveal that some people are poor judges of their risk tolerance.Of course, the recent market crash is the sort of event that provokes investors to rethink how much risk they want to build into their investment portfolios. But reassessing risk tolerance while markets are plunging may not be a wise long-term move.“People tend to think very short-term, but investing is about managing long-term risk,” says Dan Egan, managing director of behavioural finance and investing at Betterment, a wealth manager. “Investors should only reassess risk with a cool mind. Don’t deceive yourself into believing that panic is going to be useful.”If the coronavirus bear market teaches investors anything about risk, it might be that some people overestimated how much risk they are comfortable with in their portfolios. “If investors can’t sleep, that’s stress that we can’t just ignore,” says Ms Richmond. “But people should wait until things normalise before making any big changes.”
