;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;HES;Hess Corp;2018-03-08T13:32:33Z;Hess signals confidence in oil market with $1bn share buyback;;Hess signalled growing confidence in the outlook for the global oil market on Thursday by announcing plans to buy back $1bn of its shares this year.The US oil producer said the new buyback programme was in addition to the $500m plan announced in late 2017.“With a continued positive outlook for oil prices, a successful asset sale program, and increased visibility on production growth, cash flows and capital requirements for future phases of development on our Guyana asset, we can expand the buyback authorisation without compromising our ability to fund this world-class investment,” said chief executive John Hess.Shares in Hess rose more than 3.2 per cent in pre-market trading on the news.The move by Hess comes on the heels of similar buyback plans from other North America energy producers. Devon Energy, Chevron, Pioneer Natural Resources and Anadarko Petroleum are among those that have announced new share buybacks or enlarged existing programmes amid a continued rebound in oil prices.
1;HES;Hess Corp;2017-12-15T00:53:38Z;Elliott calls for urgent changes at oil group Hess;Activist fund loses patience with US exploration company over poor returns;Elliott Management, the activist fund, has called for an urgent shake-up at Hess, the US oil exploration and production company, arguing for changes that could include replacing the chief executive, share buybacks or a takeover by another group.The fund’s loss of patience with Hess, one of the leading oil producers in the Bakken formation of North Dakota, is the latest sign of investors’ growing concerns about poor returns on investment in the US exploration and production industry.In 2013 Elliott, which owns 6.7 per cent of Hess, fought acampaign to improve shareholder returns, achieving changes including asset sales and cost reductions. John Hess, son of the company’s founder Leon Hess, was forced to give up the role of chairman but stayed on as chief executive.Now Elliott is seeking a further shake-up, and says other shareholders agree that management must change course to improve performance.Hess has responded that its board “unanimously and unequivocally supports the company’s current strategy and John Hess as CEO”.Since Elliott and Hess agreed their truce in May 2013, just hours before an investor vote at the company’s annual meeting, its shares have underperformed the market, weighed down by the oil price slump that began in the summer of 2014. Hess shares have dropped about 37 per cent over the past three years, while the S&P 500 index has risen 63 per cent.John Pike, a senior portfolio manager at Elliott, said the fund was “frustrated by the company’s continuing underperformance”.Shareholders are getting impatient, because the changes needed to remedy Hess’s severe undervaluation are substantial . . .He added: “Shareholders are getting impatient because the changes needed to remedy Hess’s severe undervaluation are substantial and need to be announced without delay.”The fund’s ideas for achieving that objective, as well as replacing Mr Hess, include selling Hess’s assets in Malaysia, buying back shares, cutting the company’s dividend, and soliciting a takeover bid, according to people familiar with Elliott’s thinking.Hess is a partner in ExxonMobil’s Liza field in deep water off the coast of Guyana, which is one of the most exciting new offshore oil provinces to be opened up anywhere in the world in the past few years.That project is scheduled to deliver its first oil in 2020, providing a significant boost to Hess’s finances, creating an opportunity to buy back its shares while they are temporarily undervalued, Elliott believes.Hess said in a statement that while it acknowledged these were “challenging times for the entire industry”, it thought Mr Hess and his team had “done an excellent job” in repositioning the company, by developing Liza, selling $3.4bn worth of assets, cutting costs and returning capital to shareholders.
2;HES;Hess Corp;2017-10-15T04:43:32Z;BlackRock and Vanguard’s climate change efforts are glacial;The engagement excuse on global warming is wearing thin, writes Attracta Mooney;BlackRock, a large investor in companies that rely heavily on fossil fuels, does not seem a likely environmentalist.But one year ago, the world’s largest asset manager issued a stark warning about global warming. “Investors can no longer ignore climate change,” said the fund house, which oversees $6tn in assets.The New York-listed company argued that even if one did not agree with the science, investors could not disregard the “swelling tide of climate-related regulations and technological disruption”. Investors, it said, needed to act to protect their portfolios.Yet just a few months later, BlackRock appeared to forget its own warning. Throughout the year to June 2017, the fund house repeatedly voted against resolutions at annual general meetings that called on companies to provide more clarity about how they might be affected by climate change.According to Proxy Insight, the data provider, BlackRock voted against so-called scenario-planning climate change resolutions, which are typically put forward by shareholders and often not supported by management, at 14 oil and gas companies, including Southern Company, Noble Energy and Hess. It backed the measures at just two, the big oil majors ExxonMobil and Occidental.In most cases, the resolutions asked that companies annually assess how they might be affected by measures to limit temperature rises to 2C, in line with the 2015 Paris agreement.BlackRock is not alone in its inconsistent voting. JPMorgan and Vanguard, which have also warned of the risks posed by climate change, failed to back resolutions at 14 companies, but supported them at two. State Street Global Advisors, the world’s third-largest fund house, supported resolutions at eight oil and gas companies, abstained at five and voted against at three, according to Proxy Insight.This patchy record makes little sense. If a fund house believes climate change could hurt stocks over the longer term, it seems sensible that investors should demand as much information as possible on these risks at all companies.Investors with inconsistent records typically explain the difference in their voting record as “engagement”. Big investors often speak to management privately during the year, and particularly before AGMs, and will try to use their influence to change company policy behind the scenes.This is BlackRock’s explanation for its voting record. It says it takes “climate change seriously and engages with relevant companies”.“We do vote for shareholder proposals on climate when we think our engagement has not led to the change we seek,” BlackRock told FTfm. “We don’t decide how to vote based solely on our views on the issue under consideration. Our vote reflects our assessment of the company’s response to our engagement in light of the long-term financial impact.”But almost two years after the Paris agreement, the excuse of engagement is wearing thin. Climate change will not just affect a few, it has the ability to alter entire sectors radically. And secret discussions will not drive the sector-wide disclosure that is required.As Carolyn Hayman, who co-chairs Preventable Surprises, a lobby group, says: “We are talking about systemic risk from climate change that will effect the whole economy worldwide. [Investors] have a fiduciary duty to understand this.“A case-by-case approach doesn’t get the sector-wide change that is really needed. No one but the people engaging can know what the impact of engaging is. [This] requires a top-down approach rather than company by company.”The climate change issue is here to stay. Even with the US withdrawing from the Paris agreement, governments show few signs of slowing down their drive to limit global warming — including France and the UK, which will both ban the sale of petrol and diesel cars from 2040.Investors will of course continue filing resolutions at a wide variety of companies over climate change. But it is now up to the world’s biggest investors to put their vote where their mouth is. A couple of high-profile protest votes that generate nice headlines is no longer good enough.As Ms Hayman says: “A lot of investors are very concerned and are voting against management in really large numbers [on climate change resolutions]. It’s time for Vanguard and BlackRock to get with the project.”Attracta Mooney is the FT’s investment correspondent
3;HES;Hess Corp;2017-07-23T16:46:51Z;US oil output growth hit by lack of operators and equipment;Number of drilled but uncompleted wells rises sharply;"US oil production growth this year is on course to be significantly lower than government forecasts, as companies struggle to find the operators and equipment they need to complete the wells they have drilled, according to a new energy research firm.The steady rise in shale oil output from the US has weighed on global crude prices but the projections Kayrros, a Paris-based research firm backed by former Schlumberger chief executive Andrew Gould, suggest there may be less oil coming than expected coming on to world markets over the next few months. This would help support oil prices that have already risen about 10 per cent since the Brent benchmark dipped below $45 per barrel last month.The signs of capacity shortages are also good news for oilfield services companies such as Halliburton and Schlumberger, enabling them to raise rates after steep cuts during the industry downturn that began in 2014, but suggest the profitability of US oil and gas producers will remain under pressure.Once a shale well has been drilled it needs hydraulic fracturing or fracking and other procedures to start production. The number of drilled but uncompleted wells, often known as DUCs, in the US main shale oil and gas regions has been rising sharply this year, going from 4,944 last December to 6,031 in June, according to the US government’s Energy Information Administration.Kayross argues that the number will continue to rise, slowing the growth of US oil output. By October, the firm sees onshore US production in the lower 48 states growing by 560,000 barrels per day from the end of last year to 7.09m, compared to the 900,000 b/d increase forecast by the EIA.Antoine Rostand, president of Kayrros, said: “The fracking industry is taking time to ramp up; there are not enough crews available to complete all the wells that have been drilled.”Activity in the US shale industry has been recovering for more than a year, even though companies have in aggregate been unable to cover their capital expenditures from operating cash flows at present oil and gas prices.The number of wells being drilled in the US has more than doubled, from 2,168 in the second quarter of 2016 to 4,433 in the equivalent period of this year, according to S&P Global PlattsRigData.As the recovery continues, capacity constraints have started to emerge. Brad Handler, an analyst at Jefferies, estimated that if all the wells being drilled in the US were to be brought into production promptly, they would need about 14m horsepower of pump capacity for the fracking to complete them, and the industry actually had only about 12m horsepower of active capacity. He said prices for fracking services had nearly doubled from their lows a year ago, although they were still below their peak in 2014.Patrick Schorn, vice-president for new ventures at Schlumberger, the oilfield services group, said on a call with analysts on Friday that its revenues from US hydraulic fracturing in the second quarter were up 68 per cent from the first quarter, and its capacity was already fully booked well into the fourth quarter.The number of rigs drilling the horizontal wells used for shale oil production last week dropped for a second week in succession, the first such fall since May 2016, according to Baker Hughes, the oilfield services group, in a sign that financial pressures and the decline in crude prices between April and June may have constrained activity.Nevertheless, the larger exploration and production companies including EOG Resources, Hess, Pioneer Natural Resources and Marathon Oil have been saying that their “2017 plans are more or less set at this point”, Paul Sankey, an analyst at Wolfe Research, wrote in a note earlier this month.Some analysts believe that the capacity constraints will ease by the start of next year. Mr Rostand said that DUCs would be available to be brought into production in the future, but their contribution could be offset by a slowdown in activity and declining drilling productivity."
4;HES;Hess Corp;2017-03-08T23:38:31Z;Light dims from energy stocks as glow of higher oil prices fades;With a fall of 6.7 per cent, energy is worst performer of 11 major sectors on S&P 500;Having outperformed the wider US stock market in 2016, energy stocks are no longer feeling the glow of higher oil prices to the same degree as other costs start to offset the benefits.This year the energy sector, which is made up of major oil producers as well as oil servicing companies, is the worst performer of 11 major sectors on the S&P 500. It is down 6.7 per cent compared with a 5.7 per cent rise for the broader index.While oil prices have fallen this year, the declines have been modest. Brent crude is down 3 per cent, while West Texas Intermediate, the US benchmark, has declined 2.8 per cent.Part of the sharper weakness in energy stocks is down to profit-taking by investors on last year’s advance and a rotation into other sectors that have been lifted by the election of Donald Trump as US president, according to Ebele Kemery, portfolio manager and head of energy investing at JPMorgan Asset Management.But energy companies are facing fresh headwinds. In particular, Ms Kemery points to rising service costs — or all the inputs from labour to the sand used for shale that go into producing oil.“Service costs are increasing in part because of the tight labour market,” she said. “During the downturn a lot of people lost jobs, the industry consolidated, and that labour force has moved into other sectors. That has left a labour shortage.”What is more, some oil producers, especially those with lower credit ratings, will have already hedged the price before it began its rebound. That means they have already fixed the price they can sell it, so they don’t feel the benefit of the rise.There are other factors at play beyond crude for energy companies. The price of Nymex April gas futures is down 18 per cent from the start of this year, helping make Southwestern Energy the biggest decliner on the S&P 500 energy sector with a 29 per cent drop. Chesapeake Energy and Hess are also among the worst performers on the benchmark index this year, with declines of 27 per cent and 22 per cent, respectively.“Crude oil is not the only game in town,” said Robert Yawger, director of the futures division at Mizuho Securities. “Natural gas names in particular have been punished. [And] gasoline crack and heating oil crack have been pounded, so refiners have been down.”It is a sharp contrast to last year when the energy sector led the advance on the benchmark index, rising nearly 24 per cent as the price tracked prospects of a global deal to cut supply that eventually arrived in November.Opec and other non-cartel members, including Russia, struck a deal to curb output by 1.6m barrels a day in the first half of this year. That, alongside hopes of softer regulations after Mr Trump’s victory, helped the stocks of energy companies rebound from the steep declines in 2015.
5;HES;Hess Corp;2017-01-25T13:13:01Z;Quarterly losses at Hess widen to near $5bn;;Hess continued to bleed red ink during the fourth quarter, with the US oil and gas explorer posting a $4.89bn net loss as low crude prices force it to cut the value of its assets and pull back on production.The company’s loss for the final three months of last year compares to the loss of $1.82bn in the year ago period. Revenue for the quarter held steady at $1.38bn.Like other energy companies, Hess has struggled in the wake of the collapse in global crude prices. But while some big oil majors have been able to lean on their “downstream” refining business to help stem some of the bleeding from its “upstream” oil exploration and production unit, this has not been the case for Hess.Under pressure from activist shareholder Elliot Management, the company announced plans to exit its refining business in 2013 to focus on what was then the more profitable work of exploring for and extracting oil and gas. It followed up a year later with the sale of its iconic gas station chain to Marathon Petroleum for $2.87bn.Of the near $5bn net loss recorded during the fourth quarter, Hess said a big part of that is related to a $3.75bn “noncash charge to establish valuation allowances against net deferred tax assets.” The company is also taking a $693m impairment charge to its Equus gas project and $145m in “after tax charges”. Excluding these, adjusted net loss came in at $305m, compared to the $396m loss in the year ago period and smaller than the $321m loss the market was expecting.But in a sign that Hess thinks the worst of the oil price slump could be over, the company is increasing its production and exploratory spending for 2017 to $2.25bn. That’s up from the $414m spent in 2016 and the $943m spent in 2015.“We see 2017 as the start of an exciting new chapter of value-driven growth for our company and our shareholders,” said chief executive John Hess.“We are increasing activity in the Bakken, our two offshore developments at North Malay Basin in the Gulf of Thailand and Stampede in the Gulf of Mexico are on track to come online in 2017 and 2018, and the Liza Field in Guyana is one of the industry’s largest oil discoveries in the last 10 years.”Shares in the company, up 50 per cent over the past 12 months, rose 0.2 per cent in pre-market trading.
6;HES;Hess Corp;2017-01-12T15:35:19Z;Hess shares fall 8% even as it eyes more capital spending in 2017;;Hess shares fell by the most in 11 months on Thursday after the energy company announced it would take more than $4.6bn in charges for the fourth quarter, even as it prepares to nudge up capital and exploratory spending in the coming year.The glimpses of optimism in Hess’s 2017 capital and exploratory budget were not enough to keep investors from selling off its shares on Thursday, with its stock retreating quickly from a modest pre-market gain to shed more than 8 per cent at the start of trading.The company had announced it would take more than $4.6bn in charges in the fourth quarter related to various issues, including its decision to defer further development in the Equus natural gas field off the coast of Australia.Nevertheless, Hess seems to be eyeing slightly bolder action in 2017, with rebounding oil prices spurring energy companies more broadly to start shifting out of survival mode and revive postponed projects.Hess said on Thursday that it had set an exploratory and capital budget of $2.25bn for 2017, up from the $1.9bn actual spend in 2016. Among the projects Hess is eyeing for the coming year include increasing from two to six the number of rigs it has in the US Bakken formation, development activities in Guyana and restarting drilling at the Valhall Field in Norway, according to the company.Those and other planned 2017 activities are forecast to boost production as much as 12 per cent from the beginning until the end of the year, Hess said, with net production for the year expected to average between 300,000 and 310,000 barrels of oil equivalent a day, excluding Libya.Hess chief executive John Hess said the budget “reflects our balanced approach to investing in short-cycle and long-cycle growth options while maintaining our financial flexibility.”While the budget represents a modest increase from last year’s actual spend, it is still significantly less than the $4bn it actually spent on capital and exploratory items in 2015, before oil companies began to implement deep cuts following oil prices’ crash from more than $100 a barrel in 2014.But following an agreement between producer nations both inside and outside the Opec cartel in December, prices have been climbing back steadily, with both Brent crude and the US West Texas Intermediate benchmark trading above $50 a barrel.
7;HES;Hess Corp;2016-10-20T12:04:45Z;Oil producers optimistic that the slump is over;But companies are divided over whether a supply crunch is coming after huge cuts;As several of the world’s top oil executives rolled up at a Mayfair hotel in London this week for an industry summit, Brent crude, their benchmark product, was trading at $52 per barrel — exactly same the level as a year ago.This might not seem like a cause for celebration. But, after the brutal retrenchment since prices collapsed from above $100 per barrel in mid-2014, the near 12-month highs of recent days have added to confidence that the worst is over for oil producers.“We are at the end of a considerable downturn,” said Khalid al-Falih, Saudi Arabia’s energy minister and chairman of Saudi Aramco, the state-controlled oil company, at the annual Oil & Money conference. “The fundamentals are improving and the market is rebalancing.”His comments were echoed in London by executives, traders and investors from across the sector, reflecting the steady rise in optimism since members of Opec, the oil producers’ cartel led by Saudi, reached a provisional agreement last month to curb output. Brent has risen by 15 per cent in the past three weeks and by three-quarters since a 12-year low of less than $30 per barrel in January.There have been tentative signs of the upturn spurring renewed investment. A US explorer called Extraction Oil & Gas last week raised $644m in the biggest energy listing since the oil price crash. Meanwhile, the number of drilling rigs active worldwide — a proxy for exploration — has risen for the past four consecutive months after falling for most of the previous year.Recovery is clearest in the US, where the rig count is up by a quarter since May after declining by three-quarters since 2014. Activity is concentrated in shale oil and gas reserves which, owing to their relatively low costs and high flexibility, are being remobilised faster than conventional resources.It is too soon, however, to declare a wider resurgence of animal spirits in the oil and gas industry. Tom Ellacott, head of corporate research at Wood Mackenzie, the energy consultancy, says the deep investment freeze of the past two years will take longer to thaw beyond the onshore US. “The sector is moving beyond survival into the recovery phase. But companies are still cautious with a focus on capital discipline and cash flow.”The scale of the industry’s contraction has been epic in its proportions. Capital expenditure on exploration and production has fallen from about $700bn in 2014 to $400bn this year and, according to Wood Mac, $1tn of planned E&P work has been cancelled or deferred.The 2.7bn barrels of new reserves discovered last year was the smallest amount for almost 70 years and just a tenth of the long-term average. This year is on course to be even lower.The slump has led some industry leaders to warn of supply shortages in years ahead unless the brakes on spending are loosened. Saudi Arabia says the proposed action by Opec to put a floor under prices will help incentivise more drilling.Wood Mac estimates that 20m barrels a day of new production needs to be developed by 2025 to meet rising demand, and replace existing fields that are in decline. “There’s a crunch coming,” says Paul Horsnell, head of commodities research at Standard Chartered. “We need a signal to the market that more supply is needed.”Not everyone shares his sense of urgency. Several industry leaders told the London conference that the ability of US shale producers to quickly ramp up production would keep a ceiling on prices. Ryan Lance, chief executive of ConocoPhillips, said this meant that justifying big investments in conventional exploration would continue to be hard. “Those free-spending days are over,” he said, referring to the era of $100-per-barrel oil.Mr Lance and other executives described a shift away from high-risk, multiyear exploration in far-flung offshore frontiers — instead companies were focused on improving the efficiency of existing operations while looking to add new resources in places where infrastructure is already in place. “In the 1990s and 2000s the industry needed mega projects for growth,” said Mr Lance. “[Shale] oil has changed those economics. Companies are looking for shorter-cycle projects . . . you need the flexibility to throttle up and throttle down.”An example of this shift was BP’s decision last week to drop multibillion-dollar plans for a complex and environmentally contentious new development in the Great Australian Bight — a marine park off the south coast of Australia. Another big BP project called Mad Dog 2 in the Gulf of Mexico is expected to go-ahead, but it is an expansion of an existing field and its estimated cost has been cut from $20bn when first proposed to $9bn today. As Bob Dudley, BP chief executive, said: “Investments are back. But it’s only going to be the very best.”Royal Dutch Shell said offshore exploration could still be competitive provided costs were rigorously controlled. Andy Brown, head of Shell’s upstream business, said the oil price needed for some of the group’s new deepwater projects to be profitable had fallen from $70 per barrel to $45. Savings came from simplification and standardisation of designs and processes, and by driving a harder bargain with suppliers.“The mantra is value over volume,” said Mr Ellacott. “Projects will not get sanctioned unless they meet strict rates of return. We are going to see more activity but mainly in the real sweet spots, like offshore Brazil, where the economics are most attractive.”John Hess, chief executive of Hess Corporation, one of the largest independent US oil companies, said prices would have to reach between $60 and $80 per barrel before a wider resurgence in investment can take root. “If $100 was too high for the world, $50 is too low for the industry. It will have to be somewhere in between.”Weakness in the oil market has been bad for mergers and acquisitions because of the difficulty of reaching agreement on valuations. Buyers have demanded fire sale prices, while sellers have been holding out for better offers.Excluding Royal Dutch Shell’s $50bn takeover of BG Group unveiled last year — the industry’s only true megamerger of the past decade — the number of deals worth over $1bn fell from 46 in 2014 to only 14 in 2015. This was the lowest for over a decade, according to Wood Mackenzie. However, there has been a gradual upturn this year driven by renewed interest in US shale oil and gas.A $1.6bn deal on Tuesday for SM Energy to buy shale acreage in west Texas added to more than $30bn of M&A in US exploration and production in 2016. Half of it has come in the Permian basin, an area of Texas and New Mexico with among the country’s most economically attractive reserves.“Costs have come down so much that people in the productive basins like the Permian can make things work,” says Ian Taylor, chief executive of Vitol, the oil trading company. which sold a Texas crude terminal and pipeline system to Sunoco for $760m last month.Bankers say stabilisation in the oil market could encourage wider revival in M&A by narrowing the price gap between buyers and sellers. Several cash-rich private equity-backed investors are looking for assets in the North Sea and beyond, while some oil majors are under pressure to shed assets to shore up their balance sheets.As for acquisitions by majors, Statoil and ExxonMobil each struck deals worth $2.5bn in July to buy assets in Brazil and Papua New Guinea, respectively.However, executives say that, after a two-year clampdown on capital expenditure, they have plenty of in-house investment options before they go shopping outside for growth. One US executive expresses a preference to buy shale acreage rather than a whole company, saying many groups had significant debts.
8;HES;Hess Corp;2016-07-13T20:34:08Z;Juno Therapeutics surges as drug trial suspension lifted;US equities maintain ground after move into record territory as energy sector slips;Juno Therapeutics shares shot higher on Wednesday after a suspension of its experimental cancer treatment trial was lifted by the US Food and Drug Administration.Last week, the FDA ordered the Seattle-based company to halt the Phase II clinical trial of its drug, JCAR015, after two patient deaths. But Juno said late on Tuesday that the FDA removed the clinical hold on the trial in adult patients with a type of blood cancer known as acute lymphoblastic leukaemia and revised the protocol for the treatment.The news spurred shares in Juno higher by 20 per cent to $33.19 at one point, but they later gave up some ground, closing the day 9.5 per cent higher at $30.42. The gains trimmed the share’s year-to-date losses to 30.8 per cent.Juno is among a group of companies developing a new type of cancer therapy, which involves extracting a patient’s white blood cells, modifying them in a laboratory so they can recognise and attack cancer, and then reinjecting them into the patient.“The rapid response from the FDA and the allowance of some flexibility [mid-trial] in the preconditioning regimen could be interpreted as an early signal that if the impressive rates of patient response and improvements in overall survival continue, as they have so far, the first CAR-T therapies . . . could gain approval as early as 2017,” said Jason McCarthy, analyst at Maxim Group.The advance in Juno shares arrived as US stocks struggled to hold on to their gains after the S&P 500 closed in record territory for the first two days of the trading week.At the close, the S&P 500 was little-changed at 2,152.4, the Dow Jones Industrial Average gained 0.1 per cent to 18,372.1, while the Nasdaq Composite slipped 0.3 per cent to 5,005.7.Energy experienced the biggest decline among the S&P’s 10 major sectors, down 0.7 per cent, as an unexpected build in inventories of US gasoline pushed crude prices lower.Chesapeake Energy shares fell 5 per cent to $4.35 — the biggest decliner on the S&P 500 energy sector index. Meanwhile, Hess shares fell 3.5 per cent to $58.02, ConocoPhillips shares dropped 2.1 per cent to $42.87 and Halliburton shares declined 1.8 per cent to $45.21.Elsewhere, shares in Darden Restaurants slipped 0.2 per cent to $62.68 after analysts at Wells Fargo downgraded the company behind Olive Garden and LongHorn Steakhouse to “market perform” from “outperform”.The downgrade was driven by a deterioration in same-store sales and the company’s plans to reinvest its cost savings, marking “a departure from FY16 when cost savings were dropped to the bottom line driving a five-quarter run of approximately 20 per cent EPS upside”, Jeff Farmer, an analyst at Wells Fargo, said.Elsewhere, shares in Host Hotels & Resorts fell 4 per cent to $16.48, after analysts at JPMorgan downgraded the stock to “underweight” from “neutral” and lowered their price target by $1 to $15.The cut was motivated in part by the company’s “high exposure to urban and gateway markets [specifically New York City], and therefore adverse supply growth, Airbnb and US dollar impact,” said Joseph Greff, an analyst at JPMorgan. The recent outperformance in Host’s shares compared to its peers and the S&P also prompted the cut from the bank.mamta.badkar@ft.comTwitter: @mamtabadkar
9;HES;Hess Corp;2020-04-09T15:05:26Z;Lockdown life puts a strain on lawyers’ mental health;Homeworkers look to video apps and virtual tools to replace human interaction with colleagues and clients;Lawyers’ mental health is taking a hit as a result of the coronavirus pandemic, with studies finding partners and associates feeling stressed and isolated.Covid-19 has triggered global lockdowns and forced the legal industry to adapt to suddenly ubiquitous technologies such as videoconferencing platforms Zoom and Google Hangouts.Use of these tools has ensured the smooth running of much of the lawyers’ output but they have reported a toll on their mental health, which they blame on the lack of face-to-face interaction with colleagues and others.According to LawCare, a UK legal mental health charity, calls about the effects of coronavirus accounted for half of its helpline traffic since March 10. Lawyers reported feeling lonely and anxious about their health and job security.“The main thing people are calling about is pressure to go into work and not being allowed to work from home,” says Elizabeth Rimmer, LawCare chief executive. “We had one call very recently from someone with a family member with [Covid-19] symptoms who was not allowed to work from home.”Others are dealing with anxiety connected to homeworking, she says. “Particularly younger lawyers are feeling that they are on their own and haven’t got someone they can easily ask about things.”Firms are instigating virtual hang-outs including Friday night videocon drinks as a way of retaining a sense of team bonding, or offering courses such as meditation onlineA worldwide survey of 108 lawyers and law firm staff at all levels of seniority by RSG Consulting, the FT’s Innovative Lawyers research partner, also found isolation and lack of interaction constituted one of the main challenges of remote working, Women were twice as likely as men to report being affected by this.Most solicitors — and particularly more junior lawyers — are used to working closely within a team, often under high-pressure and close knit conditions that can be difficult to replicate in a virtual world.According to RSG, some 14 per cent of associates surveyed cited isolation and lack of personal interaction as the main challenge of working from home, compared to just 6 per cent of equity partners.“We are trying to keep morale up but it’s worse for the younger lawyers who are often alone in flats in London and feel more alone than the lawyers with families,” says one senior lawyer at a US firm based in the capital.Firms are instigating virtual hang-outs including Friday night videoconference drinks as a way of boosting morale and retaining a sense of team bonding. Other offerings include online courses in mindfulness and meditation.Some firms have devised similar systems to mirror human interaction via a screen. Linklaters’ corporate team, for example, has set up a “virtual coffee room” that remains open 24 hours a day.“The idea is that if people want to go and have a cup of coffee and a chat they can go in and see who’s around. I got five associates the other day and we had a coffee together on the videocon line,” says James Inglis, corporate partner at Linklaters.Meanwhile teams are having to grapple with new ways of communicating, via Zoom, Google Hangouts, Microsoft Teams or WhatsApp, which brings unique challenges.“We did have someone message our team WhatsApp group accidentally, inviting their friends round for dinner. Someone in our team responded asking if their friends could bring round some loo roll,” says one corporate partner.Some law firms, such as Mayer Brown, already had the infrastructure in place for employees to work from home, making the move to doing so full time during the pandemic more straightforward. Sally Davies, the senior partner in the London office of the international firm, says communication is critical, both internally and with clients.“We asked partners to set up regular calls with teams to listen and assess how people were coping,” she says.Often, the best technology is developed in times of crisisThe firm created an internal communications portal and a global messaging tool, and encouraged one-to-one virtual coffees particularly with new starters and trainees. It also set up response teams to act as central co-ordinators for client communications, though there is an expectation that every lawyer will reach out to their clients.Long-term positive changes may come from this: “We introduced [the online conferencing tool] Webex for all in a matter of a couple of weeks,” says Ms Davies. “Use the opportunity to develop new ways of working, a bit like [how] often the best technology is developed in times of crisis.”The fact that lawyers are used to working on deals and cases that cross jurisdictions and time zones means that most are used to handling matters remotely.“I have been practising law for 30 years in the City and in that time it has changed dramatically from requiring a physical presence for huge numbers of hours in the office, towards things like electronic data rooms where you don’t have to go anywhere to inspect documents,” says Simon Beddow, corporate partner at Bryan Cave Leighton Paisner.Transactional lawyers use “virtual deal rooms” in which document drafts are exchanged and questions answered in an entirely virtual world, sometimes without parties ever having to meet.However, not everything can be done in a virtual world. Site visits for due diligence purposes have been put on hold, which means that deals are paused, while company meetings that must take place in a certain physical location for tax reasons are kiboshed.Remote working has been quite good for team morale so far because we’ve been having a bit of a laugh with itCriminal lawyers are hampered too, in their inability to attend court. Jury trials were suspended in the UK last month in an attempt to safeguard those attending court, though some hearings can take place remotely.For others, however, the biggest change has been working-from-home attire and glimpses of each other’s home life.Charles Thomson, a litigator at global firm Baker McKenzie, says his team have been bringing pets to team Skype sessions and even showing up in their nightclothes to morning video calls.“We have been having daily videoconference catch-ups where some people are still in their pyjamas,” he says. “[Remote working] has been quite good for team morale so far because we’ve been having a bit of a laugh with it.”
