;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;INTU;Intuit Inc;2020-04-24T17:05:36+0000;Intuit’s big bet says a lot about the debt-laden US consumer;Deal to buy Credit Karma for $7.1bn comes as household borrowings break new records;It was hard to tell what investors in Intuit, the California-based financial software company, made of its $7.1bn deal this week to buy Credit Karma, the most successful of the apps built around giving consumers their credit scores for free.Reaction to the deal, announced on Monday, was swamped by fears over the worsening coronavirus outbreak, which had by Thursday led to the most rapid correction in the S&P 500 since the Great Depression.But by then Intuit’s Nasdaq-listed shares were down about 10 per cent on the week, slightly less than the market. That suggests that investors are more excited than alarmed about the 37 year-old company’s biggest ever deal, to be paid in equal parts cash and stock, and its first since Sasan Goodarzi took over as chief executive about a year ago.The acquirer is buying access to a gold mine of data: Credit Karma, which claims to have more than 100m “members” in the US, Canada and the UK, says it has thousands of data points on each of its customers, scraped together from a huge variety of sources. As its new owner, Intuit now stands a good chance of creating the “Facebook for financial services,” said Sheel Mohnot, a venture capitalist who focuses on fintech start-ups.“If Intuit is able to execute on this . . . plan, they will have everything about your financial life,” he said.At the moment Intuit makes most of its money by selling accounting software (QuickBooks) and tax-preparation tools (TurboTax) to consumers and small businesses. If those customers want to know their credit scores, that normally means they are anxious about improving them — and thus susceptible to offers of a new credit-card, a car loan or a student loan. Intuit already owns Mint, a budgeting platform that also pitches individuals financial products.“We wake up every day trying to help consumers make ends meet,” Mr Goodarzi said about the deal.The price looks high: seven times Credit Karma’s revenues last year, which were up 20 per cent from 2018. Then again, to use Facebook as the yardstick, it paid 1,900 times historic revenues to buy WhatsApp in 2014 and $1bn to buy Instagram, a company with no sales at all at the time. Building a community in which you can take a commission for connecting buyers and sellers, as Credit Karma does, does not come cheap.And the fundamental bet — that demand for free credit scores will keep rising — looks like a sound one. The US consumer is in a precarious state. Debt accumulated on credit cards rose to a record in the final quarter of 2019, according to figures from the Federal Reserve Bank of New York, with total balances increasing by $46bn to $930bn. That is well above the previous peak seen before the 2008 financial crisis.Moreover, the proportion of that debt classed as seriously delinquent, meaning payments were late by 90 days or more, rose to 5.32 per cent in the fourth quarter, the highest level in almost eight years, from 5.16 per cent in the third. The total household debt mountain reached $14tn: the twenty-second consecutive quarterly increase.With so much debt outstanding and with incomes failing to rise accordingly, it is no wonder that Intuit is not the only company trying to get deeper into the financial lives of ordinary Americans.Just last week, Morgan Stanley, with nearly 15,500 financial advisers and $2.7tn in client assets, said it was buying ETrade, an online brokerage and digital bank, for $13bn. The purchase — the biggest takeover by a US bank since the 2008 financial crisis — underscores a trend among giant Wall Street banks to cater to less wealthy consumers. ETrade’s average account size, at $69,000, is less than half Morgan Stanley’s.Four years ago, Goldman Sachs moved to Main Street with the launch of Marcus, an online bank that began with relatively high-yielding savings accounts and quickly added personal loans.In its annual report, filed last week, Goldman reported that it made a combined pre-tax loss of $700m for 2019 on Marcus, along with a new credit-card business and a fledging transaction banking service. But it is committed. “We’re trying to deliver a retail bank branch through your phone,” said Eric Lane, Goldman’s consumer and wealth-management chief, during an event last month. “This is only the beginning.”Intuit, too, feels like it is just getting started. In the slide deck shown to investors this week, there was excited language about Credit Karma helping to “transform the personal finance industry and power the economy.”There was also a sobering statistic to justify the outlay: half of all Americans live from pay cheque to pay cheque.
1;INTU;Intuit Inc;2020-04-24T17:05:36+0000;Intuit/Credit Karma: the trial;Execution risks loom large for Intuit, which does not have a history of integrating large acquisitions;The downbeat genius of Franz Kafka would be required to describe adequately the misery the US tax system induces in many Americans. Even Intuit, whose software helps them cope, appears alienated by it. With competition ratcheting up in the tax prepping industry, it has mounted a $7.1bn swoop on fintech darling Credit Karma.Intuit, the $74bn group behind TurboTax software, needs to diversify. It also has to do a better job of integrating acquisitions, judging from its track record.Credit Karma started by providing consumers with free credit scores and now boasts more than 100m users — including a large number of picky millennials. Buying the privately-held group gives Intuit access to a huge database of potential customers for Intuit products. A deal would also allow Intuit to absorb and eliminate Credit Karma’s competing free tax filing service.However, execution risks loom large. Intuit does not have a history of integrating large acquisitions well. Digital Insight, acquired in 2007 for $1.3bn, was sold for about a fifth less six years later. Intuit made a foray into personal finance with the purchase of Mint in 2009 for $170m, only to let it languish.Intuit says Credit Karma will operate as a standalone company. Some cannibalisation is inevitable given the overlap between the two companies’ product portfolios. The combined group will also hold a staggering amount of personal financial data. Regulatory scrutiny will be an issue.Credit Karma was valued at about $4bn in a private share sale just two years ago. But the price offered seems reasonable at roughly 7 times Credit Karma’s trailing revenues. That is about average for credit checkers Experian, TransUnion and Equifax. Anyway, Intuit can afford to be generous. An 80 per cent jump in its share price since 2018 has given it additional currency for this share and cash offer. Cash and equivalents stood at about $1.6bn at the end of January.Intuit promises to empower consumers to make smart decisions about their money. Given its acquisition record, shareholders can only hope Intuit took some of its own advice.If you are a subscriber and would like to receive alerts when Lex articles are published, just click the button “Add to myFT”, which appears at the top of this page above the headline
2;INTU;Intuit Inc;2020-02-24T22:08:45Z;Intuit agrees $7.1bn deal to buy Credit Karma;Consolidation sweeps financial technology sector as groups seek to control more data;Intuit, the owner of TurboTax and QuickBooks, agreed to buy credit report provider Credit Karma for $7.1bn on Monday as consolidation sweeps the financial technology industry.The deal highlights the growing appetite among financial services groups for data and its increasing value in the digital age. Intuit is now worth more than $74bn.Sasan Goodarzi, Intuit chief executive, said: “By joining forces with Credit Karma, we can create a personalised financial assistant that will help consumers find the right financial products, put more money in their pockets and provide insights and advice.”The takeover is the latest significant acquisition in the financial technology sector, as banks, payment processors, brokerages and other providers seek to bolster their tech prowess by taking over fast-growing start-ups and industry disrupters.More than $200bn of deals involving financial technology groups were agreed last year — a record, according to investment bank Financial Technology Partners.The deals included Fidelity National Information Services’ near $50bn purchase of payment processor Worldpay, Fiserv’s $46bn takeover of rival First Data and Global Payments’ $27bn all-stock buyout of TSYS. This year, Visa agreed to pay $5.3bn for Plaid, which connects fintech companies with their customers’ bank accounts.Shareholders of Credit Karma, which is backed by private equity group Silver Lake and venture capital firm Ribbit Capital, will receive cash and stock in Intuit. Credit Karma generated nearly $1bn in revenue last year and was expected to explore an initial public offering. However, the lacklustre debuts of several tech companies last year pushed it towards a sale instead.Founded in 2007 by Ken Lin, Credit Karma has more than 100m users in the US and Canada, and generates revenue by analysing users’ credit reports to suggest products such as personal loans. It also helps users with tax preparation and price comparisons for other financial products.The company receives a fee from banks when a customer takes out a product it recommends, and says it has been profitable since 2015.The deal would be the largest takeover by Intuit since its founding in 1983, and the biggest deal orchestrated by Mr Goodarzi since he became chief executive last year. In 2019, the group bought data analytics and integration company Origami Logic.The deal would help diversify Intuit’s revenue, which last fiscal year reached $6.8bn — roughly two-fifths of it from consumer offerings.Citigroup analysts said this month that Intuit investors needed to be “wary” of regulatory risks after the Internal Revenue Service last year modified an agreement with private companies that prevented the government from offering its own tax return software or e-filing service.The change followed reports that Intuit and other private tax preparation groups had steered consumers who qualified to use their free tax services towards paid products. An audit by the tax authority found only a very small fraction of people who could file their taxes for free doing so.
3;INTU;Intuit Inc;2020-04-24T20:15:06+0000;Intuit reckons on good data karma;Berners-Lee Solid steps, tech week ahead, Huawei’s new folder;"FT subscribers can click here to receive tech news daily by email in the #techFT newsletterI'm a big fan of services that help you budget ahead and track your personal spending with clarity, so I find it disconcerting when some favourites display blurred vision and turn out not to have a financial future themselves.Back in the 1990s, the choice was between Intuit's Quicken and Microsoft Money, with the US justice department blocking a Microsoft buyout of Quicken at one point. I used both before settling on Quicken, but then Intuit dropped its product for UK users after I had moved back home. When I returned to the States in the 2000s, I adopted Mint's superior online service, only for Intuit to stage a buyout in 2009 (the same year Microsoft stopped selling Money) and eventually replace Quicken with Mint. Since then, Mint has suffered from apparent neglect, as Intuit has focused more on its TurboTax tax prep software and QuickBooks accounting for small businesses.In this context, Intuit's latest reported move suggests perhaps a lack of intuition on where the personal finance market has been heading. It is close to buying the fintech portal Credit Karma for about $7bn, according to the Wall Street Journal, in what would be its biggest ever deal.Credit Karma is one of those online credit score companies, but it has also added tracking of personal spending and an online tax preparation service. So there is duplication here and, for an existing Intuit user, this deal would seem to offer few benefits. However, Intuit's move does make more sense for the company, in terms of the aggregation of personal data made possible. “With 100m members and a service built on using customer data to drive targeted offerings, we think Credit Karma can accelerate Intuit's AI efforts and open up new opportunities to build data-powered services,” say UBS analysts.Back in the UK again, I can't use Mint, but I can sign up for Credit Karma here and find out my credit score and get sold lots of financial products. No thanks. We've moved on over here and with Open Banking there are plenty of alternatives. Money Dashboard is my current favourite and I hope Intuit stays well away from it.1. JPMorgan to launch UK digital bank
In other fintech news, JPMorgan has lined up a former senior regulator in the City of London to lead its efforts to launch a digital bank in the UK, as it follows Goldman Sachs in trying to force its way into the crowded British market. Ecommerce enabler Shopify has joined Facebook’s Libra currency association. We've also an in-depth look at the increasing influence of Aladdin, BlackRock’s vast technology platform. The system links investors to the markets, ensures portfolios hold the right assets and measures risk in the world’s stocks, bonds and derivatives, currencies and private equity.2. Berners-Lee takes Solid steps towards new web
Inrupt, the start-up founded by Sir Tim Berners-Lee to redesign the way the web he invented works, is expanding its operational team and launching pilot projects in its quest to develop a “massively scalable, production-quality technology platform”. It's hired a further five leading technologists, including Bruce Schneier, a veteran cryptography expert, as head of security architecture.Track trends in tech, media and telecoms from around the worldSign up here with one click3. Covid-19 crushes and divides
Fears over coronavirus spreading are crushing the markets today, and further out, it could be speeding up the decoupling of economies, writes Rana Foroohar, with tech particularly affected. She predicts this could mean an increased risk of violence in Taiwan, the inability of Europe to defend its own liberal democratic values, and a world in which smart devices can no longer speak to each other across borders. We've also commentary from Wolfgang Munchau on the EU's inadequate response to the US and China dominating the AI market and the FT editorial board looks at the implications of AI helping to create powerful antibiotics.4. VC steps up start-up funding
Venture capital groups are trying to raise larger sums at an even faster pace to plough into start-ups, despite the high-profile struggle of Uber and the near collapse of WeWork, reports Miles Kruppa. Kleiner Perkins, which provided early backing to Amazon and Google, is hoping to raise up to $700m this quarter, while General Catalyst and Khosla Ventures are in the market for billion-dollar funds. Miles also has the B-Z on billionaire investments from Bezos to Zuckerberg in this FT Wealth special report.5. Alphabet faces human rights challenge at annual meeting
At least 10 large shareholders in Google’s parent company, including Axa Investment Managers, the Church of England and Aviva Investors, have co-filed a resolution calling on the company to strengthen its oversight of the human rights risks posed by its business. The group is responsible for more than $2.4tn in assets.Mobile World Congress (MWC) in Barcelona may have been cancelled due to coronavirus, but companies are still going ahead with their announcements this week (see Huawei's today below). The RSA security conference will go ahead in San Francisco and runs all this week. Other tech happenings:Monday: Intuit announces quarterly results after the market close and we may hear more on that reported Credit Karma deal. HP Inc also reports and should address Xerox's attempted takeover.Tuesday: Salesforce.com will report earnings after the market close. It is expected to post a rise in fourth-quarter revenues as demand for its business software increases driven by more enterprises shifting to the cloud. We have a profile today of its Australian rival Atlassian. Cristiano Amon, Qualcomm's president, will present an online MWC conference to showcase the company's 5G chips, including the Snapdragon X60 5G modem chips. Wednesday: Apple shareholders will gather in Cupertino for an update from chief executive Tim Cook at the company’s annual meeting, which comes just weeks after the iPhone maker posted all-time record quarterly revenue driven largely by international sales. The outlook for the future appears to be less rosy, however, with the firm warning this month that it is unlikely to meet its Q2 forecast due to the coronavirus-induced closure of manufacturing sites in China.Thursday: Advertising group WPP reports in the UK with investors hoping a strategy shift can deliver again after it bounced back to quarterly growth for the first time in more than a year last October. However, chief executive Mark Read still faces a challenge to revive flagging growth at a time of sweeping change in the industry and he has warned the turnround will not be “a linear progression”. Dell is expected to report a slight fall in its fourth-quarter revenue, as it struggles with lower demand, higher costs and competition with other PC makers. Investors will look for any commentary on the impact of the coronavirus outbreak.Friday: Nasdaq-listed Baidu will report its October-December earnings. The Chinese search giant suffered a loss in the previous quarter, largely due to a one-time charge.Huawei has livestreamed a closed event from Barcelona with the highlight being the unveiling of an improved foldable smartphone — the MateXs. 9to5Google says: “The Huawei Mate Xs is a refresh of the folding Mate X unveiled at MWC last year. It comes with a Kirin 990 5G chipset, 8GB of RAM, 512GB of internal storage, and a 4,500mAh split battery. When unfolded, it retains the same 8-inch display as seen last year, but with some improvements made to the display structure that is said to be 80 per cent stronger than the previous display.”The folding design is said to be smoother and more stable than the previous model. there is no access to Google's Play Store though and the price will be steep: €2,499 for the 8GB RAM, 512GB storage variant when it becomes available later this year."
4;INTU;Intuit Inc;2020-04-24T20:15:06+0000;Intuit names CEO replacement, revenue beats expectations;;Intuit’s chief executive is stepping down at the end of December, the tax and accounting software company announced on Thursday.Intuit chief executive and chairman Brad Smith will continue to lead the firm through 2018, but will be replaced on January 1 by Sasan Goodarzi, who currently serves as executive vice-president and general manager of the small business and self-employed group. Mr Goodarzi will also join the board of directors at that time.Intuit’s chief technology officer Tayloe Stansbury will also step down, effective January 1. The company tapped Marianna Tessel, currently senior vice-president and chief product development officer for the small business and self employed group, to replace Mr Stansbury in the role.The announcement came as Intuit reported revenue of $988m in the company’s fourth fiscal quarter, which ended July 31. That is up 17 per cent year over year, beating average analyst predictions of $952.2m.The company pointed to 43 per cent revenue growth in its online ecosystem division and 20 per cent revenue growth in the small business and self-employed group.Earnings per share were 18 cents for the quarter, short of analyst expectations of 23 cents per share. That included a $79m charge for the sale of a data centre in Quincy, Washington, but the impact of this on net income was offset by recognised tax benefits, the company said. Adjusted earnings per share came in at 32 cents.Intuit said it finished its fiscal year with more than 3.4m subscribers to its QuickBooks Online programme, a 43 per cent increase from the prior year.The board approved a quarterly dividend of 47 cents per share.Intuit projected revenue of $955m to $975m in the first quarter of its 2019 fiscal year, which ends October 31, and projected full-year revenue to grow 8 to 10 per cent in fiscal 2019, to a range of $6.53bn to $6.63bn. The company forecast a loss per share of 17 to 19 cents in the first quarter, and diluted earnings per share of $5.25 to $5.35 for the full year.Intuit shares were down 1.9 per cent in post-market trading after the firm’s earnings results were released. Company shares were up 34.6 per cent year to date, as of the close of the market Thursday.Last quarter Intuit got a boost from the gig economy as freelancers and small-business owners drove up sales for its small business and self-employed unit and its consumer group division, as reported.
5;INTU;Intuit Inc;2018-05-22T20:40:51Z;TurboTax maker Intuit gets ‘gig economy’ bump;;Intuit continued to cash in on the rise of the “gig economy”, with demand from freelancers and small-business owners for its tax and accounting software programmes helping the company deliver fiscal third-quarter results that trounced expectations.Revenue at the company jumped 15 per cent to $2.92bn in the three months to end of April, handily topping Wall Street’s forecast for $2.8bn.The gains were driven by growth across both its small business and self-employed unit as well as its consumer group division, where its TurboTax software is used to help individuals file IRS tax returns.QuickBooks Self-Employed subscribers stood at 683,000 at the end of the quarter, compared to the 360,000 a year ago, helping to drive a 45 per cent increase in total QuickBook subscribers to 3.2m in the quarter.Net income was up nearly a quarter at $1.2bn, or $4.59 a share, compared to estimates of $4.46 a share.“We achieved very strong results this quarter,” said chief executive Brad Smith. “We are pleased with our momentum . . . and we are encouraged by our strong performance through the tax season, including the successful debut of TurboTax Live, which we’ll continue to scale next season.”Underscoring its confidence, the company also raised its outlook for the fiscal 2018 year. It now sees full-year revenue at $5.915bn to $5.935bn and expects diluted earnings per share to come in at $4.50 to $4.52.It had previously forecast revenue of $5.640bn to $5.740bn and earnings between $4.20 and $4.30 a share.The stock, up 52 per cent over the past 12 months, hit a record high of $194.30 earlier this month. It rose 0.2 per cent in after-hours trading.
6;INTU;Intuit Inc;2020-04-24T20:15:06+0000;Twitter names former Intuit executive as CFO;;Twitter on Tuesday named Ned Segal, a former executive at Intuit, as its chief financial officer, taking the reins from Anthony Noto, who will remain chief operating officer.“Ned’s experience in financial operations as a public company and business unit CFO, along with his background serving technology companies and investors, are an ideal fit for Twitter as we work to extend our positive momentum,” said chief executive Jack Dorsey.Mr Segal, who most recently worked as a senior vice-president in Intuit’s small business group, will report to Mr Dorsey and oversee several areas, including the group’s finance, accounting and investor relations departments, Twitter said in a statement.The 43-year old will earn an annual salary of $500,000, a signing bonus of $300,000 and stock awards, Twitter said in a filing with US securities regulators. Mr Segal is an alumnus of Goldman Sachs, having worked there from 1996 – 2013, which overlaps Mr Noto’s tenure at the New York investment bank.Twitter added that the appointment was unrelated to its first-quarter shareholder letter that was released in April. The second-quarter results are due out on July 27.
7;INTU;Intuit Inc;2017-03-06T17:54:38Z;H & R Block, Intuit: preparer scarer;Trump’s tax simplification will not destroy tax preparation, technology might;It is the season when Americans waste hours assembling 1098s, 1099s, W2s and a myriad of other obscurely-coded documents to complete their 1040s, otherwise known as the US federal tax return.One in seven still take the mess of paperwork to H & R Block. But the tax preparer, which reports quarterly earnings on Tuesday, is in peril. President Donald Trump promises to simplify the tax code.Move to a model like the UK’s and fewer people would be forced to file a return. Most of those that do would use a free and relatively simple government software. Intuit, which makes the popular TurboTax do-it-yourself software, would also be hurt.Simplifying US tax is one of the more complicated tasks Mr Trump has set himself. He is likely to fail. H & R Block, however, faces a more intractable problem. Between the 2015 and 2016 tax seasons, assisted returns fell from 13m to 12.3m. Customers are shifting online. TurboTax users in the same period rose from 30.7m to 34.2m. H & R Block does offer software, too, but those users actually declined last year from 7.6m to 7.4m. In the past 12 months, its shares have fallen by a quarter while Intuit’s have risen by a similar amount. Barring some huge data breach or other own goal, Intuit will continue to advance — though its 9 per cent revenue growth rate is not fast enough to explain its valuation of more than 20 times earnings before interest, tax, depreciation and amortisation. H & R Block’s best option is to be a cash cow. But it needs to arrest the decline in profit margins and slow the fall in customer numbers.There is one bright spot. Mr Trump may not bring simplicity but he is likely to deliver a lower corporate tax rate, with an aim of 15 per cent down from 35 per cent. This will be of outsized benefit to both H & R Block and Intuit, which pay effective rates of more than 30 per cent. For tax preparers, they are unusually bad at avoiding it.Email the Lex team at lex@ft.com
8;INTU;Intuit Inc;2020-04-24T20:08:49+0000;Intuit shares stumble on growth concerns;Energy sector performs strongly as US oil prices approach $50 a barrel;Intuit shares fell on Wednesday, eroding much of their 2016 gains, as worries about slowing subscriber growth for the group’s online accounting software overshadowed stronger than expected quarterly results.The California-based company said the number of subscribers to its QuickBooks Online service, which allows small businesses to keep track of financials through the cloud, rose 44.8 per cent year-on-year to 1.4m in the quarter to the end of April. However, that represented a decline from the 49.5 per cent, and 56.8 per cent, growth in the previous two quarters, respectively.Investors may have been “fixated” on the cooling subscriber growth, and concerned about whether Intuit could meet its target of 2m to 2.2m QuickBooks Online subscribers by the end of the financial year ending in July 2017, said Brent Thill, an analyst at UBS. However, Mr Thill noted that he still saw the group’s goals as “very achievable”.Intuit’s hopes to shift users to its cloud-based software instead of its PC-based applications echoes many other companies in the software industry, such as Adobe, who are working to transition users to an online version of its image-editing suite.Intuit’s success has helped drive the shares about 8 per cent higher this year. However, they declined by as much as 5.1 per cent at one point on Wednesday in spite of overall results topping Wall Street estimates. It later pared some of those losses, closing down 2.1 per cent at $105.02.Net profits climbed in the April quarter to $1bn from $501m in the same three-month period in 2015. Sales climbed 7.9 per cent to $2.3bn, beating expectations of $2.26bn. Adjusted earnings per share, which excludes certain items, of $3.43, also eclipsed estimates of $3.21.Tiffany shares retreated early in the day after the jewellery maker reported its steepest sales drop in nearly six years and lowered its full-year earnings guidance range.Weak tourist spending and the strong dollar were once again to blame for the weaker than expected results.“As expected, this was a difficult quarter in terms of both sales and earnings growth. We faced numerous challenges, including continued pressure from foreign tourist spending in Europe, the US and Asia, particularly in Hong Kong,” Frederic Cumenal, chief executive officer, said.For the three months to the end of April, sales fell 7.3 per cent year-on-year to $891.3m. That was the group’s sixth consecutive quarter of revenue decline and was the biggest sales drop since the second quarter of 2010. It was also well below the $915m that the market had expected.Net income for the period fell 16.6 per cent to $87.5m, or 69 cents a share — ahead of forecasts of 68 cents.Still, the company warned that it now expected full-year earnings per diluted share would drop by a mid-single digit percentage from 2015. It had previously predicted earnings to stay flat or fall by up to a mid-single digit.Tiffany shares later regained ground, ending the day flat at $63.89. The shares have fallen 16.3 per cent in the year to date.Looking at the markets more broadly, the energy sector was the top performers as US oil prices approached $50 a barrel. Devon Energy, an oil exploration and production company, climbed 5.7 per cent to $36.44, while oil major Chevron added on 1.6 per cent to $101.77.At the close of trade, the S&P 500 had climbed 0.7 per cent to 2,090.5, the Dow Jones Industrial Average had risen 0.8 per cent to 17,851.5 and the Nasdaq Composite had advanced 0.7 per cent to 4,894,9.
9;INTU;Intuit Inc;2016-04-29T12:09:51Z;Bill Campbell, Silicon Valley executive and mentor, 1940-2016;A coach whose counsel was valued by Apple and Google alike;When Sheryl Sandberg started at Google, she met an older man in the lobby one day who asked what she did there. Still in her first week, she admitted she did not yet really know. “Well, you better figure it out,” he told her.Ms Sandberg rose to be a sales vice-president there before joining Facebook as chief operating officer. Her interrogator-turned-mentor was Bill Campbell, known as “Coach” — a charismatic adviser who, largely from behind the scenes, was deeply influential in shaping Silicon Valley’s largest companies.Campbell, who has died aged 75, spent two long spells at Apple and was among the few to enjoy the simultaneous trust of leaders there and at Google, which he joined at the behest of an investor in 2001. The three-year-old search company was struggling to find a business model in the wake of the dotcom bust but, recalls Eric Schmidt, its chief executive of the time, “I was pretty sceptical of having a coach”.That quickly changed. For 14 years Campbell was a constant presence at the company, attending board meetings and staff gatherings even though he was neither a director nor an employee.“He was colourful and gruff and emotive, a promiscuous hugger. He had a great big hearty laugh and enjoyed beers and board meetings at the Old Pro [a nearby bar],” says John Doerr, the investor who steered Google’s founders towards Campbell. “I thought the Coach would make them more successful. The astonishing thing about it is he ended up coaching the whole company.”William Vincent Campbell had previously been a coach in the sporting sense, leading Columbia University’s football team from 1974-79 after playing for the squad. Born on August 31 1940 in Homestead, Pennsylvania, where his father was a steelworker, he turned football into his ticket out of town.While at Columbia as a student he is also remembered for convincing his fraternity brothers to attend Roman Catholic mass at 7am — a feat for a college jock. Following his gridiron years he joined an advertising agency and then worked for Kodak. The call from Apple came in 1983 when John Sculley, newly appointed as chief executive, asked him to be its head of marketing.Campbell brought a whiff of the East Coast to the casual Apple workplace. “He wore a coat and tie almost every day,” remembers Dave Cote, who reported to him for several years as head of consumer marketing.The team-builder helped to congeal an organisation known for its strong personalities, for example by instituting a Friday beer bash after work. “For a company that was oftentimes about individual effort, this was a way to see your peers, a way to bring people together,” says Mr Cote.Though Campbell did not have a technical background — neither did Steve Jobs, his friends point out — in 1987 he set up Claris, an Apple-backed software company, which he ran for several years before it was absorbed back into the group. After that he led Go, a maker of personal computing devices including an early iPad-like product that flopped. In 1994-98 he was chief executive of Intuit, a provider of financial software.Even more than for his executive record, Campbell is remembered in the Valley for his mentorship and his deep friendships. “I quickly discovered that if I had a problem I should have a conversation with Bill, because he was trustworthy,” says Google’s Mr Schmidt.At Apple he was seen in the same way. A confidant of Jobs, Campbell joined Apple’s board when the founder returned to the company in 1997. “When things got tough for Steve, who did he call? He called Bill,” says Mr Schmidt, referring to the last years of Jobs’s life when he was suffering from cancer. “He knew that Bill loved him and would never do anything that would hurt Steve. It is a very special thing.”Campbell’s influence is still felt at Apple, which this month delayed its quarterly earnings announcement to avoid conflicting with his funeral.Usually refusing to accept payment for his counsel, he was at times critical of what he saw as a culture of wealth in the Valley where, seemingly, “being rich makes you smart” rather than the other way around.In his later years he continued mentoring and coached sports at Sacred Heart Schools even long after his children, Margaret and Jim, had graduated. They survive him along with his second wife, Eileen.“He really cared about people. That was his magic,” says Ben Horowitz, a venture capitalist who was close to Campbell. “There really is no one else in Silicon Valley who cares about other people the way that Bill did.”Leslie Hook
