;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;NUE;Nucor Corp;2018-07-24T03:00:27Z;Trade war winners and losers grapple with Trump tariff chaos;Companies bewildered by judgments on exemptions as backlog of decisions rises;"Specialised wire for windscreen wipers: yes. Steel plates for repairing broken bones: no. Bill Brebrick, sales manager for Zapp Precision Wire, has been learning fast about what the US government will exempt from its tariffs on imports of steel and aluminium.Specialised wire made in Germany, sold by Zapp to be made into windscreen wipers in Mexico, is available only on import, the US department of commerce has ruled, and has therefore won an exemption. Shaped plates used to repair badly broken bones, however, could in the government’s view be made in the US, so Zapp faces tariffs on those unless it finds a domestic supplier.The Trump administration in March introduced tariffs of 25 per cent on steel and 10 per cent on aluminium, and also set up a process for US importers to request exclusions. As application for requests on tens of thousands of products have flooded in, many companies said they were finding the bureaucracy frustrating and the decisions bewildering.Winners and losers are being chosen seemingly arbitrarily by the government, they complain, distorting markets and disrupting supply chains. Meanwhile, a backlog of decisions continues to grow.“Manufacturing was doing so well,” said Mr Brebrick. “People would like to get back to business as usual. Let us compete on a level playing field and leave us alone. No more regulation, please!”Zapp, which is German-owned and has its US manufacturing centre in South Carolina, filed more than 30 requests for exclusions and has received just 12 decisions so far. One has been granted, 11 were declined. Mr Brebrick is finding it hard to get explanations for the decisions. He has called the commerce department half a dozen times, using the numbers published for inquiries, and left messages but has heard nothing back.A Financial Times analysis of the exemption requests filed and published by the government suggests Zapp has been less fortunate than other companies in its hit rate with tariff exclusions. As of the end of Friday, 55 per cent of the 933 decisions announced by the commerce department on requests for exclusions from the steel tariff had been to approve an exemption.But Zapp’s experience is typical of the daunting bureaucratic complexity of the process and the unpredictability of its results. Officials in the commerce department are being called on to make snap judgments about highly complex questions of industrial capacity.Companies that want to import products that are not, or cannot be, made in the US, according to the government’s judgment, can be granted selective exemptions. Products deemed to have home-produced alternatives cannot escape. US businesses are often cautious about discussing the process on the record, not wanting to jeopardise their chances of securing one of the valuable exclusions. But complaints about the process are widespread. As one industry representative put it, there is “a lack of transparency and a lack of consistency”.The sour joke among opponents of Mr Trump’s strategy is that while his tariffs may do little to bring manufacturing jobs back to the US, he has at least been highly successful in creating work for the federal government. As of close of business on Friday, more than 16,000 requests for exemptions from the steel tariff had been posted on the regulations.gov website. The commerce department’s Bureau of Industry and Security had granted 516 and denied 417. The total number of requests that have been sent in is thought to be several thousand higher: it can take a few weeks for the department to post the request online.Companies have taken widely different approaches to requesting tariffs. Voestalpine, the Austrian steel group, has filed more than 3,000 exclusion requests, each covering a particular highly detailed product specification. Other companies have filed much broader requests for general categories.The decisions made by officials are similarly variable. The notices announcing decisions are brief, giving only a cursory explanation of the department’s reasoning, and have often left companies struggling to understand their thinking. Product: Seamless stainless steel tubing 3.5 inches outer diameter x 9.2lbs per foot
Supplier: Nippon Steel & Sumitomo Metal Corporation
Exemption: Granted

Product: Seamless stainless steel tubing 4.5 inches outer diameter x 15.1lbs per foot
Supplier: Nippon Steel & Sumitomo Metal Corporation
Exemption: DeniedProduct: Flat-rolled strip of cold-rolled stainless 13C26 Blade Steel 0.099mm x 14.86mm. Tensile strength: 896-1137 MegaPascales
Supplier: Sandvik
Exemption: Granted

Product: Flat-rolled strip of cold-rolled stainless AEB — L Blade Steel 0.099mm x 12.09mm. Tensile strength: 862-1068 MegaPascales
Supplier: Voestalpine
Exemption: DeniedRoyal Dutch Shell, for example, applied for tariff exemptions for high-specification steel pipes able to resist the pressures, temperatures and corrosive threats found in deep water oil and gas production, arguing that only Nippon Steel & Sumitomo Metal Corporation of Japan supplied a product that could meet these demands. The commerce department ruled that it accepted the argument for tubing 3.5 inches in diameter — but not for tubing 4.5 inches in diameter.Sometimes the differences mean varying treatment for competing companies in the same industry. Schick, the razor company, has been granted 16 exemptions for different grades of the steel used to make blades. Gillette, the razor division of Procter & Gamble, which employs about 1,350 people in Massachusetts, has applied for similar exemptions but as of Friday had not received any decisions.So far, the department seems to be close to meeting its objective of delivering a decision on applications for exclusions within 90 days, but the size of the backlog is raising fears among steel-using industries that delays could start to mount, creating additional problems. Wilbur Ross, commerce secretary, made a request to Congress for more funds to pay for the increased workload, but he was turned down, and the department has been redeploying staff from other activities to help process applications.The Department of Commerce said that it was making “considerable progress” on the requests for tariff exemptions, adding new decisions daily. The total reached 1,150 on Monday, it said. “We will be posting substantially more in the coming weeks,” a spokesperson said. “We are optimising our efforts with the resources we have.”Sometimes, officials appear to be denying exemptions for more advanced imported products on the grounds that less sophisticated US alternatives are available.Plains All American, the US pipeline group, is importing steel pipe from Greece, made using an advanced manufacturing process that it says is not available from US suppliers. The commerce department turned down its request for an exemption from the tariff on the grounds that similar pipe using an older technology was produced in the US.Lewis Leibowitz, a trade lawyer who represents many companies seeking tariff exclusions, said there was a risk that US steel producers would use the tariffs to protect outdated technologies. “They are saying ‘we are going to stop anybody that tries to bring in a better mousetrap’, and the commerce department has just bought into that. And that is disturbing,” he said.Plains said the project, a pipeline in Texas to carry oil from the booming Permian Basin shale region, will still go ahead using the imported pipe, which has already been paid for. But it argued that the tariff “risks US energy security and American jobs” and said it was “reviewing our options to challenge this decision”.Its chief executive will be raising his concerns at a hearing on the exclusion process held by the House Ways and Means Committee on Tuesday.Under Section 232 of the 1962 Trade Expansion Act, the legal basis of the tariffs, there is no formal process for appealing against a decision. Many of the denials have been issued on the basis that the application was incomplete, offering companies the chance to resubmit requests providing more detail. That restarts the process from the beginning, adding delays and increased paperwork for both the companies and the commerce department, but does at least leave open the possibility of relief. For other companies, the only option seems to be legal action, but that looks like a long and expensive process.US steelmakers, including US Steel and Nucor, have been active participants in the process, filing hundreds of objections to proposed exclusions. Sometimes they argue they can already supply the product or an equivalent, other times they say they could be in a position to produce it within weeks or months.The burden is being placed on the Bureau of Industry and Security to decide speedily which side is representing the position most accurately.Wiley Rein, Nucor’s law firm, has submitted objections to about 10 per cent of the published applications for exemptions from the steel tariffs. Alan Price, a lawyer at the firm, said he thought the bureau had done a good job in setting up a new process for deciding on exclusions so quickly: “In the long run, there is probably some room for improvement. But decisions have not been unduly delayed.”He added: “If people want to turn this into a legal process to make lawyers rich, they can do that. But Commerce [department] set the process for section 232….and that process is moving forward.”Some US companies worry, however, that as Mr Trump pushes ahead with additional tariffs, including new measures aimed at China and the threatened charges on imported cars and components, the administrative process will become only more complex.“You are going to see these same types of issues occur again,” said Alexander Russ of the Association of Equipment Manufacturers. “The problems are going to be compounded.”"
1;NUE;Nucor Corp;2018-03-14T10:00:38Z;Nucor chief on Trump and the case for protection;John Ferriola wants end to piecemeal ‘whack-a-mole’ response to steel dumping;For Nucor, the largest US steel group by market capitalisation, 2017 was a paradoxical year. The domestic market was difficult, with the share taken by imports rising sharply, but the group had its most profitable year since before the financial crisis of 2008-09.“For us and our customers it was a better year than the market,” says John Ferriola, Nucor’s chief executive since 2013 — speaking shortly before the March 1 White House meeting of steel executives, at which he sat alongside the president as Mr Trump announced plans to introduce tariffs.Nucor’s pre-tax profits in 2017 were $1.75bn, up 35 per cent from 2016. The company has outpaced much of the US steel industry over the past few decades. Its mini-mills, using mostly scrap metal as an input, have proved highly competitive against rivals using the older basic oxygen furnace technology to make steel from pig iron.Mr Ferriola adds that the company has also benefited from sustained investment, which it kept up during the downturn. Among those investments were increases in capacity for mills in Nebraska, Tennessee and South Carolina that make engineered bar, which is used in industries including energy, transport and in manufacturing earthmoving equipment and vehicles.The investment paid off with a 7 per cent rise in sales of engineered bar and sheet products to the carmaking industry last year, even though vehicle production fell by 3 per cent.Mr Trump had helped the steel industry before his decision on tariffs, Mr Ferriola says. The deregulation strategy has been important, not so much for rules directly affecting steelmaking, but in a regulatory approach that aims to remove barriers to investment for the industry and clients. He says: “Time can be spent meeting the needs of our company and serving our customers, rather than filling out paperwork.”He is a strong supporter of the shake-up of the US tax system that was passed into law at the end of last year, including a reduction in the main rate of corporate tax from 35 per cent to 21 per cent, and temporarily enhanced allowances for some types of capital investment. The company booked a $175m gain from the tax changes in the fourth quarter of 2017, but Mr Ferriola expects a much broader impact.“Tax reform was an important issue for Nucor, for the whole industry, and for our customers,” he says. “The additional returns that we will see from this . . . I am sure will spur us to make even greater investments quicker.”The company has six growth projects (such as installing a new micro mill) under way this year, five in the US and one in Mexico. Overshadowing all of these developments, however, is the question of competition from imports.“We’ve been fighting illegally traded imports for as long as I’ve been in the business, which is a long time,” Mr Ferriola says. He began his career in 1974 with Bethlehem Steel, a one-time pillar of industrial America that went bankrupt in 2001. Mr Ferriola had moved over to Nucor, the rising power in the industry, 10 years before.He talks about illegally traded imports because he says that steel has often been dumped in the US at below-cost prices and supported by subsidies from foreign governments. The frequent successes of the US industry in making cases for countervailing and anti-dumping duties are evidence enough of that, he says.But he argues that those cases have been a game of “whack-a-mole”: as soon as a particular abuse has been identified and blocked, another problem emerges with a different product or a different country. Hence the need for a “comprehensive solution” to protect the industry. He was speaking before the tariff plan was announced, but said he would applaud whatever action the president took.“It’s going to be extremely beneficial to the steel industry . . . and it will be President Trump fulfilling a promise he made on the campaign trail,” he says.Steel-consuming industries such as appliance makers were concerned about possible import restrictions and higher prices, but Mr Ferriola says they ought to be supportive. “If we don’t enforce our trade laws today, it becomes obvious to other countries that they can violate our trade laws with impunity. It might be steel today, but tomorrow it will be appliances.”
2;NUE;Nucor Corp;2018-03-14T10:00:36Z;US steel industry changes up a gear for carmakers;Producers are developing new, lighter grades, but R&D investment is needed;President Donald Trump’s pledge to revive the US steel industry now has foundations. The decision by Washington to impose heavy tariffs on overseas steel has cheered the domestic sector, which has long complained of being undercut by imports.Yet for the industry to return to anywhere near its past glories, innovation driven by research and development spending will also be essential.Even if less foreign steel arrives on US shores, the metal faces increasing competition from other materials — particularly in carmaking. Steelmakers will also be under pressure to keep down prices, given warnings from other industries that higher steel costs could make their own plants in the US uncompetitive and result in job losses.“The cost of steelmaking in the US is higher than anywhere else in the world. They need to look at how they can reduce it,” says Alex Griffiths, senior research analyst at Wood Mackenzie, the consultancy.The American Iron and Steel Institute, a lobby group, says labour productivity in the sector has increased fivefold since the early 1980s, but argues investment opportunities could be lost without tariffs. But economists and policymakers opposed to protectionism say the measures may stifle innovation by insulating companies from foreign competition.“Domestic mills have never spent a lot of money on research,” says Chuck Bradford, a veteran industry analyst. Even so, he adds that US steelmakers have been developing new grades to help car manufacturers produce lighter vehicles to improve fuel efficiency, as required by tighter emissions regulations.A wake-up call came in 2014 when Ford began to use aluminium, which is lighter and more expensive than steel, for the body of its F150 pick-up truck, the country’s best-selling car. This raised questions about whether steel’s dominant position in one of its key markets would be eroded. The car industry accounts for about a quarter of US steel demand, according to the AISI.The largest US-listed steelmaker by output, Nucor, is working on the development of “third generation” advanced high-strength steels (AHSS) for automotive use. These grades are stronger, so can be rolled out very thinly, meaning that less is used, saving weight. They are also more ductile, meaning they are easier to work on without damage.“In the past you’ve seen some of the Asian companies develop some of these third-generation steels a little bit earlier than the rest of the industry, but the US has responded pretty quickly,” says Dean Kanelos, automotive technical lead at Nucor.As the world’s largest steelmaker with industrial operations in 18 countries, ArcelorMittal’s research and development activities are by nature international and spread widely. But it, too, is developing new grades in the US.At its Calvert plant in Alabama, one of the world’s most advanced steel finishing facilities that it co-owns with Japan’s Nippon Steel & Sumitomo Metal, ArcelorMittal is developing a new third-generation AHSS.A wake-up call came when Ford said it would use aluminium for the best-selling car in the US“This particular product doesn’t exist any place in the world,” says Greg Ludkovsky, ArcelorMittal’s head of global R&D. “We aren’t declaring commercial victory on this, but we produced this material with the desired characteristics in Calvert.” The company says it could be used in structural car parts, such as bumper beams, door beams and rails.Despite the financial pain felt by some companies in recent years, a number of investments into new facilities demonstrate a confidence among US steelmakers. In some cases, this is being driven by a desire to supply “differentiated” steel products, as opposed to commodities.Nucor is spending $230m on an expansion at its Arkansas plant, with an additional cold rolling mill to make advanced high-strength grades for the automotive industry. In Ohio, a $400m zinc galvanising line is being built by US Steel and its partner Kobe Steel of Japan, on the back of demand from carmakers.Another development that some observers believe could reshape the industry are so-called micro mills. Traditionally, steel was made on massive sites with large blast furnaces that turn raw materials into molten iron.The US industry was transformed in the 1980s by “mini mills”, which are smaller, more flexible, cheaper to build and today represent the majority of US production. They use electric arc furnaces to re-melt and refine scrap steel.Micro mills are smaller still. Advocates say they allow for the efficient production of commodity steels, used in construction, for local markets. Texas-based Commercial Metals Company has run one for almost a decade and has commissioned a second one, while Nucor has committed $250m to build a micro mill and is eyeing sites for another.Mr Bradford says, however, there is limited scope for US companies to innovate the steelmaking process itself, because equipment is largely bought from Germany, Italy or Japan. “Domestic steelmakers do not have the capability to develop new [production] technology and more money won’t matter,” he adds.
3;NUE;Nucor Corp;2018-03-08T19:12:18Z;US steel stocks trim gains ahead of White House meeting;;US steel stocks are sharply lower on Thursday just a couple of hours out from Donald Trump’s expected signing of a bill to impose heavy tariffs on imports of steel and aluminium.It has been one trading week since the US president caught the market off guard last Thursday with the tariff announcement. Notwithstanding today’s performance, the direction for US and global metals producers has been clear.Although US names like Nucor, US Steel, Steel Dynamics and AK Steel are all more than 3 per cent lower today, they have largely clung to the gains posted since March 1 when the tariffs were announced. International steel and aluminium producers, which would suffer from the proposed duties, are down, in most cases by 2 per cent or more.Analysts at Moody’s noted that the tariffs announcement was favourable for the domestic steel and aluminium sector in the near term, but “the long-term implications of this decision may not be as favourable”.For US manufacturers, the tariffs “will likely lead to significant increases in steel and aluminium prices in the US, which will hurt domestic industrial manufacturers that rely on these commodities as key raw materials in production,” said David Berge, senior vice-president at Moody’s.Meanwhile, the impact of the tariffs “would be manageable for the Asian steel sector . . . because exports to the US account for relatively small portions of their total steel production,” according to Sean Hwang, an analyst at Moody’s.
4;NUE;Nucor Corp;2017-10-16T20:26:18Z;Rising concern over weak prices knocks steelmakers;Sector underperforms broader market as US stocks close at record highs;US steel manufacturer shares sank on Monday as concerns over weaker prices for the alloy mounted.Steel manufacturer Nucor fell 1.9 per cent to $57.21. US Steel dropped 2.5 per cent to $26.67, Steel Dynamics fell 2 per cent to $36.17 and AK Steel fell 1.9 per cent to $5.69.The price of hot rolled coil steel index futures dipped 6.8 per cent to $590 per contract this year with a drop of 7 per cent since the start of September putting pressure on steel companies in the near term, said analysts.“HRC prices remain under pressure,” said Chris Olin, an analyst at Longbow Research. “Trading and distribution contacts now see downside risk toward $560-$580.”Estimates from the World Steel Association show the growth in global demand for steel set to slow in 2018 as China’s consumption is expected to flatline.Overall steel demand will increase 1.6 per cent to 1.65bn tonnes in 2018, said the trade body, down from a 2.8 per cent underlying growth rate in 2017.US steel companies have had a turbulent year so far, mired in the debate over possible trade tariffs and the impact it could have on steel prices.But despite vocal urgency from the current administration, plans have failed to advance.Mr Trump is said to have rejected a Chinese proposal to cut steel overcapacity that was endorsed by some of his top advisers, according to several people familiar with the internal debate.Nucor and Steel Dynamics are both set to report earnings this week. US Steel and AK Steel both report at the end of the month.The companies underperformed the broader market as the S&P 500, Dow Jones Industrial Average and Nasdaq Composite all reached new closing highs. The S&P 500 gained 0.2 per cent to 2,557.64, lead by telecommunications and financials. The Dow Jones Industrial moved 0.4 per cent higher to 22,956.96 and the Nasdaq Composite rose 0.3 per cent to 6,624.00.Elsewhere, computer software company Adobe also struggled, falling 2.3 per cent to $150.46 after Deutsche Bank analysts downgraded the company.Adobe has enjoyed a strong rally this year, rising 46 per cent so far, but the Deutsche analysts expect the company’s rapid growth to slow, adding that they have concerns over its cloud marketing business.“More cautious feedback from partners on lengthening sales cycles in Digital Marketing — the main growth driver — and a relatively full valuation likely means the stock trades sideways for the near term,” said the analysts.
5;NUE;Nucor Corp;2017-08-15T23:40:07Z;Latest departures leave Trump’s manufacturing council with 17 execs;;The latest resignations from President Donald Trump’s American Manufacturing Council by the head of the US’s largest union, an aide and a figure close to the steel industry have left the headcount for those remaining at 17 members. These include the heads of major companies ranging from the likes of General Electric and Johnson & Johnson to Campbell Soup Company.Below is a full list of those who have left Mr Trump’s manufacturing council and those who remain.Business leaders who have announced their departure from Donald Trump’s American Manufacturing Council (7):Business leaders remaining on Donald Trump’s American Manufacturing Council (17):Business leaders who have retired or moved on from the companies or organisations in question (4):An original list of business leaders involved in Mr Trump’s Manufacturing Jobs Initiative is available here.
6;NUE;Nucor Corp;2017-08-15T05:53:10Z;GE chairman, Johnson & Johnson CEO among execs still on Trump manufacturing council;;The chief executive officers of Intel, Merck Pharma and Under Armour this week announced their departures from Donald Trump’s American Manufacturing Council in response to the US president’s reluctance to condemn white supremacist groups.But 19 business leaders from major American companies and organisations are still on the council, including those of GE, 3M and Johnson & Johnson. Below is a full list of those who have left Mr Trump’s manufacturing council and those who remain.Business leaders who have announced their departure from Donald Trump’s American Manufacturing Council (4):Business leaders remaining on Donald Trump’s American Manufacturing Council (19):Business leaders who have retired or moved on from the companies or organisations in question (5):
7;NUE;Nucor Corp;2017-07-20T17:24:14Z;The corner of the US stock market that cannot tune out Trump;Steel investors and analysts must pay close attention to the US president;No investor could ignore Donald Trump when he captured the White House. Promises to cut corporation tax galvanised the stock market while a pledge to repeal Obamacare put the healthcare sector on edge.Six months since his inauguration, it is becoming easier for money managers to tune out the 45th US president as confidence in the ability of Mr Trump and a Republican-controlled Congress to deliver on promises dwindles. Ambitions to kill Obamacare foundered in Congress this week.The president, for example, has been mentioned by just two of the first 25 companies to have reported second-quarter earnings, according to Factset. That compares with 16 mentions from the first 25 companies in the fourth quarter.However, there is one corner of the US stock market where the requirement to follow Mr Trump’s every word is as urgent as it was at his election: those invested in steel companies.With gridlock resurfacing in Congress, attention has turned to sectors where the president can change policy through executive orders — and the steel industry is on the frontline.“The fact that the legislative agenda has gone a lot slower makes the likelihood that something will happen on the executive side more likely,” says Brian Nick, chief investment strategist at fund manager TIAA Investments. “Steel companies and steel users are definitely the most susceptible to that at this point.”Overproduction by China’s heavily subsidised steel sector has left life harder for US producers, making the industry — and its workers — a prime target for Mr Trump’s America First agenda.The Department of Commerce has been instructed to investigate the implications of steel imports on US’s national security under Section 232 of the 1962 Trade Expansion Act. The US has in recent years imposed anti-dumping tariffs on a bevy of steel products, cutting direct imports from China. However, there is concern within the industry that Chinese mills are circumventing the rules by rerouting imports to America via countries exempt from restrictions. Any moves by the Trump administration on steel “would provide a good amount of red meat to a core constituency”, says Matthew Korn, a metals and mining analyst at Barclays.The sensitivity of investors to the prospect of Mr Trump introducing measures on steel was underlined last week when comments the president made on Air Force One en route to Paris were reported. “I'm stopping it. It'll stop,” Mr Trump said of China dumping steel in the US. “There are two ways — quotas and tariffs. Maybe I'll do both.”Shares of AK Steel, a Pittsburgh-based producer, rival US Steel, Nucor and Steel Dynamics shot higher in response. The shares were buoyed further on Thursday as talks with China intensified.The recent buoyancy in the shares of US steel producers echoes their performance in the weeks after the election but is a contrast to the weakness some of them had earlier this year. AK Steel, for example, is down 35 per cent this year while others such as Nucor and Steel Dynamics have eked out modest gains.During the first-quarter earnings calls with investors, US steel companies offered broad support for the administration’s appetite for tackling the steel glut. That is not expected to change as the companies wrap up their second-quarter earnings over the next few days. Some analysts and investors, though, are concerned about how little is known about potential plans. Will new tariffs be introduced or will quotas be preferred? Will any countries be exempted? If it is tariffs, how high will they be and on which products? “He (Mr Trump) could do essentially whatever he wants to do,” says Mr Korn of Barclays. “There are plenty of people who worry he could get up in the morning and tweet 25 per cent tariffs on everything. And I am only being somewhat facetious.”A broad tariff on all imports would likely push steel prices higher, initially helping domestic producers. However, that move would also have a knock-on effect on companies, such as carmakers, that are dependent on steel and potentially increase costs to consumers or even prompt factories to move abroad where they can purchase cheaper steel, Mr Korn cautions. Michael Gambardella, a metals and mining analyst at JPMorgan, is less concerned, anticipating quotas as the most likely path the administration will take.That will help curb importers circumventing existing restrictions. Quotas can cap imports from particular countries with tariffs able to be set on anything above those levels.“You could really address the problem of circumvention because it would close off markets for countries receiving high tariffs to redirect their products through,” he says. “Trump needs a win and this is an easy win for him.”
8;NUE;Nucor Corp;2017-07-14T20:33:36Z;Trump claims of Chinese dumping lift US steel shares;US president considers both tariffs and quotas to protect domestic industry;"Shares of US steel companies outperformed this week in anticipation that Donald Trump will impose tariffs after accusing China of dumping the metal in the US market.This week’s rally in US steel companies, including AK Steel, a Pittsburgh-based producer, and US Steel, the largest domestically based steel producer, was given added impetus on Thursday after Mr Trump said his administration will take action.Other countries are “dumping steel [in the US] and destroying our steel industry”, Mr Trump told reporters on Air Force One en route to Paris. “They’ve been doing it for decades and I’m stopping it. It’ll stop.”The comments by Mr Trump were initially off the record and not reported by journalists travelling with the president, who was on his way to Paris to attend Bastille Day festivities.However, the White House later changed the ground rules and released a transcript of his remarks, sparking the steel rally.The White House is awaiting a US Department of Commerce report that will help determine whether Mr Trump can impose tariffs.An end of June deadline for the report has slipped. Mr Trump said on Thursday that “there are two ways: quotas and tariffs. Maybe I’ll do both. We’re like a dumping ground, OK?”Over the week, AK Steel rose 9.2 per cent to $6.50; US Steel jumped 8.3 per cent to $23.21; Nucor rose 2.6 per cent to $59.72 while Steel Dynamics climbed 1.8 per cent to $36.56.Nonetheless, share prices in the sector remain off their peaks from earlier in the year as investors’ optimism over the Trump administration’s policy agenda has faded.On Thursday, Wilbur Ross, commerce secretary, told members of the Senate Finance Committee that he would present Mr Trump with the options for potential action as early as next week.Several agricultural lobby groups have signed a joint letter to Mr Ross claiming any restrictions on steel or aluminium imports could lead to other countries retaliating by restricting imports of agricultural products from the US.“If the . . . investigations on steel and aluminium result in new trade barriers, the aftermath could be disastrous for the global trading system and for US agriculture in particular,” the letter read.Mr Trump was asked on the flight whether he would use trade as a bargaining chip with China over its relationship with North Korea.“The biggest strength we have are these horrendous trade deals, like with China,” he said. “That’s our strength. But we’re going to fix them. But in terms of North Korea, our strength is trade.”"
9;NUE;Nucor Corp;2017-04-20T17:17:42Z;US steel stocks jump as Trump orders import probe;;Shares in US steel companies advanced after President Donald Trump signed an order directing a probe into whether steel imports from China and other foreign countries were a threat to US national security in his latest attempt to reinvigorate the American steel industry.Commerce secretary Wilbur Ross will lead the investigation, which could provide the basis for wider import restrictions, for which US steel providers have long advocated, arguing that cheap Chinese steel, in particular, hurts domestic production and workers.Shares in AK Steel Holding were up 5.6 per cent to $6.63 on Thursday, while shares in United States Steel Corporation and Steel Dynamics were both up more than 4 per cent at $29.70 and $34.03, respectively. Nucor also gained 2.3 per cent to $58.93.The price differential between US and China has been steadily raising in recent months, increasing the demand for Chinese imports, according to Citibank analysts. The price, rather than protectionist sentiment, is likely to remain the key driver of Chinese steel imports, unless US prices are lowered.“It’s a very serious impact on the domestic industry,” Mr Ross said in a White House press briefing, saying repeated claims by China that it would reduce its steel capacity were false.However, the Citi report showed the US makes up a tiny portion of Chinese steel exports, at only 2 per cent of the total. China’s neighbors, meanwhile, absorb 60 per cent of its steel exports.The investigation is the latest move by the Trump administration to protect American steel and part of his broader ‘America first’ strategy. On Monday, Mr Trump also signed an executive order requiring all federal construction project use American steel, while late last month he also ordered tougher enforcement of anti-dumping laws.Thomas Gibson, president of the American Iron and Steel Institute, said foreign imports has cost the US 14,000 steel jobs and that the new probe was an “impactful way to help address the serious threat”.
