;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;PRU;Prudential Financial Inc;2020-01-09T10:00:26Z;Voya Financial held talks over sale to insurance groups;AIG, Principal and Prudential Financial considered takeover of US retirement plan provider;Voya Financial has explored selling itself and held discussions with a number of companies potentially interested in buying the US retirement plan provider, according to people briefed on the matter.Voya held talks late last year with insurer AIG, asset manager Principal Financial Group and life insurance and retirement plan provider Prudential Financial, among others.The talks did not lead to a deal, although the Voya board remains open to a sale and may explore the matter again this year, the people said.A takeover could value Voya at $10bn or more, above its current $8bn market capitalisation, one of the people added.Voya said it did not comment on rumour or speculation. AIG, Principal and Prudential declined to comment.While the Voya brand — drawn from the word voyage — was only created in the past decade, the company’s roots date back to the 1970s when ING Group predecessor Nationale-Nederlanden expanded into the US life insurance market. The Dutch banking and insurance group made a string of US acquisitions before being devastated by the financial crisis.ING required a €10bn bailout in 2008 and was subsequently forced by the European Commission to offload assets. Voya was listed on the New York Stock Exchange in 2013 as part of those divestitures.Voya has changed dramatically since then under Rodney Martin, chief executive, who joined in 2011 from AIG. Like other life insurers, Voya has spent the past few years ridding itself of capital-intensive businesses, many of which involved offering financial guarantees to customers.Two years ago Voya sold its annuity business to a consortium led by private equity group Apollo. And in December it sold another $1.25bn block of life insurance business to Resolution, a company led by insurance entrepreneur Clive Cowdery. Goldman Sachs advised Voya on the sale of that unit.Suneet Kamath, an analyst with Citi, said the transaction transformed Voya into “one of the cleanest, simplest stories” that he tracks covering the life insurance business. He added: “What we like in life isn’t really life.”Voya could now be more attractive to a buyer that wants to focus on the capital-light markets in which the company has specialised. Voya shares surged to a high after the group announced the December sale, which left the company focused on its three remaining business lines: retirement, investment management and employee benefits plans.Potential acquirers include US life insurers and asset managers who are trying to focus on the same markets, as well as overseas companies who want to tap into the potential growth in demand for US retirement products as the population ages.
1;PRU;Prudential Financial Inc;2018-11-13T11:22:18Z;Sushil Wadhwani hedge fund sold to Prudential Financial;Acquisition comes amid renewed interest in quantitative investment managers;US insurer Prudential Financial’s funds arm is to buy former Bank of England policymaker Sushil Wadhwani’s computer-driven hedge fund, the latest move in a land grab for quantitative investing.Wadhwani Asset Management will become part of QMA, the quant unit of Prudential’s funds arm PGIM, although the London-based hedge fund will operate independently, QMA said on Tuesday. Mr Wadhwani, who has previously worked at Goldman Sachs and hedge funds Tudor and Caxton, will continue as chief investment officer.The acquisition comes amid a renewed wave of interest in quant funds, even though the performance of many of these portfolios has been lacklustre of late.Investors have been hunting for new trading techniques less dependent on the skill and whims of an individual trader and more on emotionless algorithms. Since the start of 2016 investors have poured $25.2bn into quant funds, even as they have withdrawn $71.4bn from the wider hedge fund industry, according to data group HFR. But some quant funds have struggled in markets dominated by central bank stimulus that often lack the long-lasting trends or volatility on which they like to trade.Wadhwani Asset Management, which runs $1.4bn in assets and which names its funds after economist John Maynard Keynes, has itself found returns hard to come by. Its $666m Keynes Multi Asset Value AMX fund is down 12.8 per cent in the year to the end of October, having lost 3 per cent last year, according to numbers sent to investors and seen by the Financial Times. However, its Leveraged Quantitative Strategies fund scored double-digit gains in 2014.While there have very recently been signs that funds’ poor returns are finally damping demand from some investors, large asset managers are still keen to snap up the intellectual property they believe will be of greater value in more favourable market conditions. Swiss money manager GAM Holding, for instance, agreed to buy Cambridge-based Cantab Capital in 2016 and has been among the many firms launching new computer-driven funds.In addition, US-based asset managers have been looking abroad as a way of diversifying away from what they view as highly competitive US markets dominated by algorithmic traders and into markets they see as offering greater opportunities for profit.Andrew Dyson, QMA chief executive who first met Mr Wadhwani in the 1990s when Mr Wadhwani was working at Goldman Sachs and Mr Dyson was at consultancy Mercer, said he had been looking for ways to broaden QMA’s US-focused client base.Wadhwani Asset Management, which was set up in 2002, tries to profit from following market trends while also analysing investor behaviour to calculate if markets have under-reacted or over-reacted to news. For instance, around the end of September the firm’s systems indicated that global equity markets had not fully priced in negative news about Italy’s plans to increase spending sharply. That was a factor in the firm cutting exposure to stocks shortly before October’s sharp sell-off.The deal is set to close in the first quarter of next year, QMA said. It did not disclose the price it was paying.Despite quant funds’ recent poor returns, Mr Dyson said he and Mr Wadhwani expected the “very unusual period” of benign equity markets to end, which could benefit these strategies.“We feel there’s a lot more volatility in equity and bond markets to come,” he said. “People have forgotten these markets can be volatile.”
2;PRU;Prudential Financial Inc;2018-10-18T12:03:07Z;US financial regulation: ImPrudent;Reviewing Obama-era protections is sensible but undermining the FSOC is still hazardous;"“Oversight” can mean surveillance. It can also mean a lapse. The decision this week by America’s Financial Stability Oversight Council (FSOC) to free the last of the big non-banks from heightened regulatory supervision could turn out to be a blunder.The council was put together by the US Treasury department in the wake of the financial crisis to keep an eye on vulnerabilities in financial markets that had suddenly been thrust into the spotlight. If regulators were going to tighten capital, liquidity and reporting standards on the likes of Citigroup and Goldman Sachs, the argument went, they should also do so on the biggest non-banks that were woven into the fabric of the financial ecosystem.Starting the list of “systemically important financial institutions” with AIG was straightforward enough. For a while, notes Capital Alpha, it was a fun parlour game around Washington, guessing which giant asset managers, hedge funds or private equity firms might join it and GE Capital on the list.The project began to unravel when insurer MetLife sued the government in 2015, saying its SIFI designation was unfair. GE Capital then shrank enough to lose its label. AIG followed it last year, arguing that credit markets were doing a good enough job of keeping executives in check through the discipline of bond spreads. Having just one SIFI still on the list — Prudential Financial, a Newark-based insurer — was looking a little strange, even if the company’s assets had grown almost a fifth while under FSOC review.Reviewing Obama-era protections is sensible; much of the 2010 Dodd-Frank Act, drawn up in haste and confusion, may have overshot. But undermining FSOC is still hazardous. One of the main factors behind the crisis, after all, was regulatory blind spots. New York’s uber-regulator, the Department of Financial Services, was created from a recognition that the predecessor bodies covering banking and insurance barely talked to each other.Treasury secretary and FSOC chair Steven Mnuchin, a former Goldman banker, says he wants to focus on risky activities rather than risky companies. But it is unclear that he has the appetite to do so. Meetings of the council are running shorter and shorter; the last was adjourned after 26 minutes. That suggests mounting complacency, deep into a bull market. An image of an FSOC spinning its wheels, without a single institution to fasten on to, is not a comforting one.Lex recommends the FT’s Due Diligence newsletter, a curated briefing on the world of mergers and acquisitions. Sign up at ft.com/newsletters"
3;PRU;Prudential Financial Inc;2018-10-17T12:44:40Z;Prudential Financial taken off US ‘too big to fail’ list;Ending of extra-close supervision further undermines Obama-era post-crisis regulation;Washington is ending its “too big to fail” supervision of Prudential Financial, further undermining the post-crisis financial regulatory regime introduced by former President Barack Obama.A body of senior officials led by Treasury Secretary Steven Mnuchin voted to drop additional regulatory scrutiny of Prudential, the largest US insurer by assets.Prudential was the last insurance group to remain on a list of non-bank companies deemed “systemically important”, a label that carries extra-close supervision by the Federal Reserve. Officials had considered the company so large and complex that its collapse would endanger financial stability.“We are pleased with this decision, which affirms our longstanding belief that Prudential never met the standard for designation,” Prudential said.“This outcome reflects Prudential’s sustainable business model, capital strength and comprehensive risk management, which have and continue to enable us to fulfil our promises to our customers, deliver consistent performance and meet regulatory obligations.”The decision in effect kills off a main plank of the Dodd-Frank reforms, which were designed to make the financial system safer after the bailout in 2008 of AIG.Officials had already rescinded AIG’s too-big-to-fail status, agreeing with the insurer that it had become smaller and less risky since the crisis. MetLife was also freed from the regulations after a court found regulators had failed to follow proper procedure when they designated it. But Prudential was still subjected to the regime even after its two rivals escaped it.$190bnGrowth of Prudential Financial’s total assets over the past six yearsIn contrast to AIG and MetLife, Prudential has expanded since the crisis. Its total assets have risen by about $190bn over the past six years. As well as its life insurance and annuity operations the New Jersey-based group is also the world’s ninth-biggest asset manager. It employs about 50,000 people.The Trump administration has been critical of post-crisis financial regulation, blaming it for crimping economic growth, and has been sympathetic to industry arguments that the too-big-to-fail designations are too crude.Unlike systemically important banks, whose designation is set in law as part of the post-crisis Dodd-Frank reforms, the Financial Stability Oversight Council has discretion to determine whether other companies should carry the label.The council is comprised mainly of the heads of top regulators, including the Securities and Exchange Commission, Federal Deposit Insurance Corporation and Consumer Financial Protection Bureau.Designations require a two-thirds majority vote, although the Treasury Secretary, who chairs FSOC, has veto powers.Systemically important institutions are supposed to be subjected to higher capital requirements. They also must provide regulators with a “living will” to demonstrate how they would be wound up in a crisis.The Treasury says, however, that a designation does not bring with it any new access to government liquidity sources or guarantee any bailout.
4;PRU;Prudential Financial Inc;2018-06-13T00:06:20Z;Big banks slip into bear market territory as rates rise;Sixteen global financial companies are down more than 20 per cent from peaks;More than a dozen of the world’s biggest banks have slipped into a bear market, highlighting risks to the global economy even as equity indices reach new highs and the Federal Reserve prepares to raise interest rates.Investors on Tuesday sent the Nasdaq to a record close on the eve of a meeting at which the Fed is expected to lift rates for a seventh time since the end of 2015. But strategists note that beneath the bright economic data and rising benchmarks, strains have begun to emerge among a group of banks and insurers deemed to be critical to the health of the global financial system.Among the 39 “Sifis”, financial institutions considered systemically important by the Basel-based Financial Stability Board, 16 are down more than 20 per cent from their recent peaks in dollar terms, meeting the standard definition of a bear market.They are Deutsche Bank, Nordea, ICBC, UniCredit, Crédit Agricole, ING, Santander, Société Générale, BNP Paribas, UBS, Agricultural Bank of China, AXA, Mitsubishi UFJ Financial Group, Bank of China, Credit Suisse and Prudential Financial.If these banks are supposed to be systemically important then policymakers ought to be watching them to see what is happeningThe synchronised dips were a sign of global financial stress, said Ian Harnett, managing director of global strategy at Absolute Strategy Research in London, who this week used the data to send out his first “Black Swan” alert since 2009.At some point, he said, central bankers might have to respond to bearish signals from almost half the global Sifis, rather than continuing to tighten monetary policy.“The clue is in the name,” he said. “If these banks are supposed to be systemically important then policymakers ought to be watching them to see what is happening.”The Fed’s gradual interest rate increases — more recently coupled with shrinking its balance sheet by shedding bonds acquired in its crisis-fighting “quantitative easing” programme — have begun to ripple through financial markets, pushing up short-term borrowing costs for households, companies and banks.The three-month Libor rate, the rate at which banks lend dollars to each other, climbed to a 10-year high of 2.37 per cent in May, and although the rate has since dipped slightly to 2.33 per cent, analysts say that the dollar funding market is noticeably tighter of late.The spread between Libor and the “overnight index swap” rate, a gauge for the future expected level of the Fed’s base interest rates, is another popular measure of stresses in the banking sector. Although the Libor-OIS spread has slipped from the highs touched in April — when US companies were repatriating dollars held overseas and depleting the available short-term funding for banks — it remains at about twice the post-crisis average.What many of the harder-hit Sifi banks have in common, said Mr Harnett, was a heavy dependence on US-dollar funding, putting them at risk of a squeeze if US rates continue to rise and the dollar continues to strengthen. Banks in Canada, Australia and Sweden, in particular, came through the last crisis in relatively good shape, thanks largely to their exposures to China and a strong commodities market. But in the years since then, the banks had overextended, he said, trying to support rapid asset growth with wholesale funding, rather than traditional deposits.The alert he put out on Monday was his first since a warning on inflationary risks in June 2009, as oil prices climbed higher. Mr Harnett drew parallels to another bearish note he wrote in March 2007, when European banks began to sink while non-banks marched higher.There were 30 banks ranked as “GSIBs” — global systemically important banks — by the FSB last November, including JPMorgan Chase, the biggest US bank by assets. The nine insurers classed as critical to the world’s financial system include AIG, Allianz, Ping An and Prudential of the UK.The big dips in the Sifis’ stock prices were ominous, said Bert Ely, an adjunct scholar at the Cato Institute and a principal of Ely & Company. He noted bullish remarks from Jamie Dimon on CNBC last week, when the JPMorgan chief celebrated strong consumer and business sentiment and said he could find no “real potholes” in the outlook.“The good news does not last for ever,” he said. “Those kind of comments are usually just before things start heading down.”
5;PRU;Prudential Financial Inc;2018-04-23T02:00:29Z;Movers and shakers: April 23;Calpers appoints Elisabeth Bourqui as chief operating investment officer;• Calpers, the $351bn Californian state pension fund, has appointed Elisabeth Bourqui as chief operating investment officer. Ms Bourqui, who will move into the role in May, joins from ABB where she serves as head of pension assets and liabilities management for the Swiss engineering group. She succeeds Wylie Tollette who left in December to rejoin Franklin Templeton, the US asset manager.• Alistair Lowe has joined JPMorgan Asset Management as senior portfolio manager for quantitative beta strategies. Mr Lowe has spent most of his career at State Street Global Advisors, most recently as chief investment officer of global equities.• Ken Poliziani has moved to PGIM as chief marketing officer, a new position at the $1.2tn investment arm of Prudential Financial, the US-listed insurer. He previously worked for JPMorgan AM.• Zahra Sachak has joined the UK institutional team atBMO Global AM as director, relationship management. Ms Sachak joins the investment arm of the Canadian financial services provider from Investec AM.• Julien Halfon has joined BNP Paribas Asset Management as head of pension solutions in the multi-asset, quantitative and solutions investment group. He previously worked for Mercer, the investment consultant.• Credit Suisse Asset Management’s private fund arm has created a direct and co-investments group that will be led by veteran managing director Paul Van Hook. CSAM has also hired Imran Hameed as a director for the new group from Mercury Capital Advisors, a New York private equity firm.• NN Investment Partners has recruited Yvette Babb as an emerging market debt portfolio manager. Ms Babb has moved to the $296bn asset management arm of the Dutch insurer NN from JPMorgan where she served as chief economist and strategist for sub-Saharan Africa.• Jupiter, the £46.9bn UK asset manager, has hired Darren Starr as a portfolio manager to run a new US equity long/short Ucits fund that will be launched later this year. Mr Starr has run similar strategies for Segantii Capital, a Hong Kong hedge fund manager, and UBS.• Mercer has named Joanne Holden as UK chief investment officer. Ms Holden previously worked as DB leader in the investment consultant’s office in Liverpool.• Pimco has hired David Forgash as head of European high yield portfolio management, a newly created position in London for the $1.8tn Newport Beach asset manager. Mr Forgash previously worked in a similar role at Millennium Capital Partners.
6;PRU;Prudential Financial Inc;2018-03-26T02:00:27Z;Movers and shakers: March 26;Fidelity hires Christian Staub as managing director for continental Europe;• Fidelity International, the £239bn Bermuda-based asset manager, has recruited Christian Staub as managing director of its continental European business. He joins from BlackRock.• John Hancock has appointed Sofia Teixeira as head of diversity and inclusion, a newly created post at the $410bn US investment arm of Manulife, the Canadian-listed financial services provider. Ms Teixeira previously worked for Kimberly-Clark, the US consumer goods supplier.• Ben Chan will join Ontario Teachers’ Pension Plan as Asia Pacific managing director in June. Mr Chan will move to the C$180bn Canadian pension scheme from Khazanah Nasional Berhad, the sovereign wealth fund of Malaysia. He replaces Nicole Musicco who was promoted to senior managing director for public equities at OTPP in January.• After more than a decade with Goldman Sachs, Alastair Leather has moved to Investec AM as UK institutional sales director.• Pimco, the $1.8tn Newport Beach-based asset manager, has hired Gavin Power as chief of international affairs and sustainable development. Mr Power joins from the United Nations where he was deputy executive director of the UN Global Compact responsible investment platform.• Rupert Brandt and Peter Cawston, managers of the $475m Findlay Park Latin American fund, have joined the London investment team at Brown Advisory, the $64bn US asset manager. The Findlay Park fund will merge into a new Brown Advisory Latin American fund which will follow the same investment process. No financial consideration was involved.• Robert Henderson has joined RBC Global Asset Management as a portfolio manager to run RBC’s $980m US mid-cap value strategy. Mr Henderson moved to the investment arm of Royal Bank of Canada from Boston-based Rutabaga Capital.• Howard Nowell has moved to PGIM, the $1tn investment arm of Prudential Financial, the US listed insurer, as managing director of the institutional relationship group based in London. He previously worked for BlackRock.• Three new faces at Heartwood, the £3.4bn UK asset management arm of Handelsbanken. Alistair Campbell and Nikki Howes join as investment associates from Sarasin and JPMorgan respectively. Siobhan Pandya moves to the role of head of investment communications from M&G.• SGG, the Luxembourg-based fund services provider, has hired Camille Clemons as US business development director. Ms Clemons joins from UMB Fund Services.
7;PRU;Prudential Financial Inc;2018-02-14T18:10:27Z;MetLife hires investigators in search for missing pensioners;US insurer sets aside $510m for missing payments for almost 13,500 people;US insurer MetLife has hired investigators to track down thousands of pensioners as the company seeks to resolve a scandal over missing payouts that has wiped about $8.5bn off its market capitalisation.Executives on Wednesday said they were doing “everything humanly possible” to locate almost 13,500 people— owed on average $20,000 each — after they acknowledged MetLife failed to make proper efforts to find them over 25 years.The failure arose because of practices dating back to the 1990s at MetLife’s pensions “ risk transfer” business, under which companies transfer their retirement liabilities to insurers.MetLife sought to contact eligible pensioners only twice: when they turned 65, and again a few months after the age of 70. If these efforts were unsuccessful, the company presumed the individuals would never be found.As a result, the insurer mistakenly released funds from reserves that support future annuity payouts. The problem was brought to the attention of Michel Khalaf, recently appointed head of Metlife’s US division, in October.The second-biggest US insurer by assets has had to provision $510m to account for the unpaid annuities. It has turned to location professionals at California-based Pension Benefit Information to help find the lost retirees by the summer.Staff are also using the public records specialist Accurint, a division of LexisNexis, and have launched a campaign of phone calls and certified mailings. Retirees who they manage to locate will be due a lump sum to compensate for missing back payments.In a hint that employees might lose jobs over the episode, Steven Kandarian, chairman and chief executive, said managers were “taking action to hold people accountable”.To date, MetLife has not found any evidence of intentional wrongdoing. We are undertaking a thorough review of our practices, processes and people to understand where we fell shortMr Kandarian — the former head of the Pension Benefit Guaranty Corporation, a federal agency that safeguards retirement schemes — said the episode was “especially distressing to me” and “deeply embarrassing”.Shareholders in MetLife have taken fright at the reserve charge and the threat to its reputation. Shares have fallen 14 per cent since the company warned two weeks ago it would need to book a charge of more than half a billion dollars to cover the unmet obligations.The mishap has prompted investors to question other US insurers about their practices. Mark Grier, vice-chairman of Prudential Financial, said last week that the debacle at MetLife was “certainly getting a lot of attention”.“There are inevitably some customers we can’t locate for a number of reasons, but that number is small,” he said, adding he was “comfortable” the company was “meeting our obligations”.As part of efforts to ensure the episode does not happen again, MetLife said it would now start sending annual letters to workers once they turned 55. They would send three letters as soon as they reached 65, including a certified mailing.Regulators at the Securities and Exchange Commission and the New York Department of Financial Services are investigating.Mr Kandarian said: “To date, MetLife has not found any evidence of intentional wrongdoing. We are undertaking a thorough review of our practices, processes and people to understand where we fell short.”
8;PRU;Prudential Financial Inc;2018-02-05T03:00:27Z;Movers and shakers, February 5;Och-Ziff has appointed Robert Shafir as chief executive after succession battle;• Och-Ziff has appointed Robert Shafir as chief executive after a succession battle that followed a bribery scandal involving the $31.9bn New York-listed hedge fund manager. Mr Shafir, previously chief executive of Credit Suisse Americas and co-head of the bank’s private banking and wealth management division, will succeed Dan Och who will remain as chairman until March 2019.• Sir Damon Buffini, a senior figure in the UK’s private equity industry, is returning to Schroders to take on a non-executive director role at the $577bn UK-listed asset manager. Mr Buffini started his career at Schroder Ventures in 1988 before it was spun out as Permira in 2001. He led Permira as managing partner between 1997 and 2007 and then served as chairman of the private equity group until 2010.• Legg Mason, the $767bn US asset manager, has hired Regina Curry as chief diversity officer. Ms Curry previously served in a similar role at McCormick & Co, the US food group.• Carmen Altenkirch has joined Aviva Investors as a sovereign analyst in the emerging markets debt team at the £351bn investment arm of Aviva, the UK-listed insurer. Ms Altenkirch previously worked for Axa IM.• Eaton Vance, the $432bn US asset manager, has hired a five-strong fixed income team from Oechsle, a privately owned investment boutique. Astrid Vogler joins as lead portfolio manager along with Roman Kostal in a similar role.• Two new faces in the global real estate client portfolio management team at JPMorgan Asset Management are Marie-Claire Bolton who has moved from JPMorgan Private Bank while Masami Takizawa will focus on Japanese institutions after joining from UBS.• Kimberley West has moved to the Asset Management Exchange (AMX) to serve as US head of the low-cost investment services provider launched in 2017 by Willis Towers Watson. She previously worked at BlackRock.• Carlos Hardenberg has resigned unexpectedly as lead manager of the £2.4bn Franklin Templeton Emerging Markets Investment Trust. Mr Hardenberg assumed responsibility for running the fund in 2015 from Mark Mobius, the veteran emerging markets investor. Chetan Sehgal, a senior managing director at Franklin, will replace Mr Hardenberg.• Lisa Davis has joined PGIM Real Estate as a portfolio manager to lead initiatives focused on US affordable housing developments. Ms Davis worked in the past on similar strategies at the Ford Foundation before her move to PGIM, the $1tn investment arm of Prudential Financial, the US-listed insurer.
9;PRU;Prudential Financial Inc;2020-04-17T03:30:43Z;NMC scandal proves a boon for global advisers;The UAE-based healthcare group’s troubles have amplified concerns about local regulators;It took four decades for NMC Health to ascend from its humble origins as a small clinic founded by Indian entrepreneur BR Shetty to its pinnacle as a FTSE 100 favourite.It took less than four months for the success story of the largest private healthcare provider in the United Arab Emirates to sour after short-sellers questioned NMC’s debt and cash position last December. Angry denials quickly collapsed as an independent investigation triggered a series of damaging revelations that saw NMC admit evidence of fraud and more than $4bn of undisclosed debt.Earlier this month, NMC’s major creditor, Abu Dhabi Commercial Bank (ADCB), successfully applied to a UK court to place the London-listed business in administration. Restructuring consultancy Alvarez & Marsal has taken over management of the hospitals and clinics, replacing the entire board.“Clearly something has gone very wrong with the management and oversight of this company,” said Judge Sebastian Prentis at the hearing.The unfurling scandal has been lucrative for consultants, with boutique investment banks coming in to advise the company’s management, shareholders and creditors.The appointment of Alvarez & Marsal to handle the UK administration comes after the previous management brought in investment bank Moelis & Co and accountancy firm PwC to assist them with debt restructuring and operational advice as NMC sought a debt standstill. Shareholders, such as Mr Shetty, have also engaged their own advisers, including investment bank Houlihan Lokey, to steer them through the situation.The crisis at the UAE’s largest private healthcare provider has coincided with the onset of the coronavirus pandemic. “The turmoil at NMC couldn’t come at a worse time given the growing Covid-19 crisis,” says one healthcare consultant. The number of cases had risen by Wednesday to more than 5,300, with 33 deaths.The Gulf state has introduced tight restrictions on movement, with Dubai imposing a 24-hour curfew that requires residents to apply for a permit to leave their homes to collect essentials. A mass testing programme has involved opening 13 drive-through testing centres across the seven-emirate federation, as well as the construction of a laboratory in Abu Dhabi that can assess tens of thousands of samples a day.While some non-essential NMC facilities have closed because of the nationwide lockdown, one person close to the company says any hospital and clinic that can serve patients is staying open. NMC has more than 2,200 beds and 2,000 doctors in 200 facilities across the UAE.The company’s former management attempted to block the administration effort, arguing that such a move would destabilise the business at a critical juncture. Alvarez & Marsal quickly wrote to assure staff that the administrators would strive to allow medical staff to deliver healthcare efficiently, including a commitment to pay salaries on time. NMC struggled to meet February payroll.Clearly something has gone very wrong with the management and oversight of this companySome local healthcare executives believe that the government would have intervened if it feared a shortage of intensive care beds. As it is, Dubai alone already has up to 5,000 available for Covid-19 patients and can handle more than 10,000 with the construction of two field hospitals. It also plans to convert deserted hotels into medical facilities if the need arises.“The government has a full handle on the number of intensive care beds needed,” says one healthcare executive. “If they needed the hospitals, they would have acted differently on NMC.”Alvarez’s three joint administrators working on NMC are all senior managers based in the UK, rather than in the consultancy’s UAE office. In a letter to staff, Richard Fleming, managing director of Alvarez & Marsal Europe, said this was because NMC is registered in the UK.At the administration hearing, the judge expressed his confidence that the new management, backed by fresh funding, would be able to keep NMC a going concern. ADCB has pledged to provide new working capital facilities.Yet the scandal has once again tarnished the UAE’s reputation as a commercial centre. Coming less than two years after the fall of Abraaj — a Dubai-based private equity group that collapsed when it was accused of misusing investor money — it has intensified concerns about local regulators’ capacity to deal with such complex cases.Abraaj started to unravel when overseas investors in the group’s healthcare fund raised the alarm on its alleged use of their money for internal purposes, rather than investments. Alissa Amico Kole, managing director of the Govern Center, which advises on corporate governance, points out that the original whistleblower on NMC’s financial problems — research firm Muddy Waters — also came from outside the region.To bolster local ability to handle such crises, Nasser Saidi, a governance consultant, says the financial regulator’s powers could be expanded into a supervisory body to screen regional companies seeking to list abroad. He also believes that a UAE version of the UK’s Companies House — providing information on corporate ownership and financials to the public — would benefit transparency.While the Abraaj scandal damaged the fundraising prospects of the Middle Eastern private equity industry, NMC threatens to do likewise for UAE companies seeking to access the deep pools of capital in western markets.“The level of scrutiny for companies from here will be off the charts,” says one investment banker.
