Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",7.13,7.24,6.20,6.84,6.84,"670,948,500"
"Apr 06, 2020",7.07,7.75,6.94,7.14,7.14,"415,148,900"
"Mar 30, 2020",7.54,8.18,6.58,6.73,6.73,"502,858,700"
"Mar 23, 2020",6.45,8.30,6.03,7.62,7.62,"579,491,300"
"Mar 16, 2020",6.99,7.33,5.90,6.52,6.52,"600,186,100"
"Mar 09, 2020",8.33,8.85,6.83,7.85,7.85,"592,302,800"
"Mar 02, 2020",11.21,11.38,9.18,9.40,9.39,"573,665,200"
"Feb 24, 2020",11.69,12.06,9.86,10.88,10.87,"490,807,100"
"Feb 17, 2020",12.71,12.95,12.22,12.25,12.24,"181,324,900"
"Feb 10, 2020",12.84,13.26,12.75,12.83,12.82,"228,070,100"
"Feb 03, 2020",12.46,13.09,12.25,12.83,12.82,"275,108,900"
"Jan 27, 2020",11.45,13.00,11.38,12.45,12.44,"504,933,800"
"Jan 20, 2020",11.74,11.89,11.35,11.71,11.70,"238,224,700"
"Jan 13, 2020",11.74,12.19,11.68,11.81,11.80,"240,496,800"
"Jan 06, 2020",11.84,12.24,11.59,11.67,11.66,"335,959,600"
"Dec 30, 2019",11.07,12.00,10.96,11.97,11.96,"278,111,600"
"Dec 23, 2019",11.00,11.23,11.00,11.18,11.17,"125,140,700"
"Dec 16, 2019",11.28,11.36,10.90,11.03,11.01,"291,638,000"
"Dec 09, 2019",10.98,11.60,10.92,11.34,11.32,"240,706,300"
"Dec 02, 2019",11.31,11.52,10.76,11.10,11.08,"274,378,600"
"Nov 25, 2019",11.66,11.84,11.22,11.27,11.25,"189,142,100"
"Nov 18, 2019",11.41,11.72,11.26,11.55,11.53,"224,665,900"
"Nov 11, 2019",11.40,11.58,11.18,11.52,11.50,"217,526,600"
"Nov 04, 2019",10.42,11.55,10.42,11.52,11.50,"380,726,900"
"Oct 28, 2019",9.02,10.39,8.93,10.38,10.36,"462,144,500"
"Oct 21, 2019",8.99,9.15,8.61,9.00,8.98,"241,560,100"
"Oct 14, 2019",8.84,9.10,8.61,8.96,8.94,"202,402,400"
"Oct 07, 2019",8.55,8.92,8.24,8.80,8.78,"196,894,700"
"Sep 30, 2019",9.08,9.10,8.25,8.57,8.55,"262,290,200"
"Sep 23, 2019",9.22,9.39,8.94,9.04,9.02,"198,454,300"
"Sep 16, 2019",9.30,9.54,9.17,9.37,9.35,"215,438,800"
"Sep 09, 2019",8.75,9.52,8.73,9.34,9.31,"283,377,100"
"Sep 02, 2019",8.10,9.23,8.08,8.71,8.68,"291,039,900"
"Aug 26, 2019",8.06,8.26,7.76,8.25,8.23,"287,819,700"
"Aug 19, 2019",8.88,8.89,7.76,7.97,7.95,"495,943,300"
"Aug 12, 2019",9.04,9.59,7.65,8.79,8.76,"878,543,700"
"Aug 05, 2019",9.79,9.81,9.12,9.15,9.12,"339,558,800"
"Jul 29, 2019",10.50,10.79,9.82,10.00,9.97,"407,376,100"
"Jul 22, 2019",10.05,10.70,10.05,10.51,10.48,"235,659,500"
"Jul 15, 2019",10.25,10.40,9.96,10.04,10.01,"215,123,700"
"Jul 08, 2019",10.42,10.43,10.04,10.37,10.34,"195,566,200"
"Jul 01, 2019",10.62,10.72,10.37,10.50,10.47,"122,572,700"
"Jun 24, 2019",10.46,10.53,10.10,10.50,10.46,"183,526,700"
"Jun 17, 2019",10.20,10.71,10.02,10.48,10.44,"311,768,100"
